"time","x","y","z"
"2022-04-29 12:19:23.274 GMT+09:00","-0.29561087","0.5502091","0.084155895"
"2022-04-29 12:19:23.434 GMT+09:00","-0.29561087","0.5502091","0.084155895"
"2022-04-29 12:19:23.614 GMT+09:00","0.8511463","-0.561927","1.3198626"
"2022-04-29 12:19:23.753 GMT+09:00","-0.34940675","-0.23276028","0.22903186"
"2022-04-29 12:19:23.913 GMT+09:00","0.96086854","-1.267132","0.3270362"
"2022-04-29 12:19:24.073 GMT+09:00","-0.5486112","1.1100056","-0.30786142"
"2022-04-29 12:19:24.233 GMT+09:00","-0.3435478","0.9752496","-0.41705105"
"2022-04-29 12:19:24.393 GMT+09:00","-0.3206446","-0.28708878","-0.34141725"
"2022-04-29 12:19:24.553 GMT+09:00","-0.14594123","0.8580705","-0.3334278"
"2022-04-29 12:19:24.713 GMT+09:00","0.2561961","-0.104928546","0.058056913"
"2022-04-29 12:19:24.873 GMT+09:00","0.24341293","0.13528858","0.3270362"
"2022-04-29 12:19:25.033 GMT+09:00","0.55606806","0.16564862","0.10546118"
"2022-04-29 12:19:25.193 GMT+09:00","0.35153726","0.0974717","0.49321744"
"2022-04-29 12:19:25.353 GMT+09:00","0.25513083","0.22743396","0.18801917"
"2022-04-29 12:19:25.513 GMT+09:00","0.1667139","-0.12996227","-0.16884442"
"2022-04-29 12:19:25.674 GMT+09:00","-0.28176245","-0.034621093","0.10226539"
"2022-04-29 12:19:25.836 GMT+09:00","0.165116","-0.0063915867","-0.15020229"
"2022-04-29 12:19:25.997 GMT+09:00","-0.014913702","0.24767399","-0.010652645"
"2022-04-29 12:19:26.153 GMT+09:00","-0.06764429","0.24341293","-0.15393071"
"2022-04-29 12:19:26.320 GMT+09:00","0.09640643","-0.4644553","0.1257012"
"2022-04-29 12:19:26.474 GMT+09:00","0.27803403","-0.15446335","-0.13262543"
"2022-04-29 12:19:26.639 GMT+09:00","0.05752428","0.025566347","0.21358553"
