"time","data"
"2022-04-29 12:21:04.528 GMT+09:00","28015.0"
"2022-04-29 12:21:04.529 GMT+09:00","28057.0"
"2022-04-29 12:21:04.530 GMT+09:00","28100.0"
"2022-04-29 12:21:04.530 GMT+09:00","28143.0"
"2022-04-29 12:21:04.551 GMT+09:00","28186.0"
"2022-04-29 12:21:04.552 GMT+09:00","28205.0"
"2022-04-29 12:21:04.554 GMT+09:00","28225.0"
"2022-04-29 12:21:04.560 GMT+09:00","28245.0"
"2022-04-29 12:21:04.562 GMT+09:00","28265.0"
"2022-04-29 12:21:04.574 GMT+09:00","28236.0"
"2022-04-29 12:21:04.578 GMT+09:00","28208.0"
"2022-04-29 12:21:04.584 GMT+09:00","28180.0"
"2022-04-29 12:21:04.586 GMT+09:00","28152.0"
"2022-04-29 12:21:04.599 GMT+09:00","28130.0"
"2022-04-29 12:21:04.602 GMT+09:00","28109.0"
"2022-04-29 12:21:04.606 GMT+09:00","28088.0"
"2022-04-29 12:21:04.610 GMT+09:00","28067.0"
"2022-04-29 12:21:04.626 GMT+09:00","28068.0"
"2022-04-29 12:21:04.631 GMT+09:00","28069.0"
"2022-04-29 12:21:04.634 GMT+09:00","28070.0"
"2022-04-29 12:21:04.639 GMT+09:00","28072.0"
"2022-04-29 12:21:04.650 GMT+09:00","28062.0"
"2022-04-29 12:21:04.655 GMT+09:00","28052.0"
"2022-04-29 12:21:04.658 GMT+09:00","28042.0"
"2022-04-29 12:21:04.662 GMT+09:00","28032.0"
"2022-04-29 12:21:04.678 GMT+09:00","28014.0"
"2022-04-29 12:21:04.682 GMT+09:00","27997.0"
"2022-04-29 12:21:04.687 GMT+09:00","27979.0"
"2022-04-29 12:21:04.690 GMT+09:00","27962.0"
"2022-04-29 12:21:04.704 GMT+09:00","28007.0"
"2022-04-29 12:21:04.706 GMT+09:00","28053.0"
"2022-04-29 12:21:04.710 GMT+09:00","28098.0"
"2022-04-29 12:21:04.716 GMT+09:00","28144.0"
"2022-04-29 12:21:04.727 GMT+09:00","28214.0"
"2022-04-29 12:21:04.730 GMT+09:00","28284.0"
"2022-04-29 12:21:04.735 GMT+09:00","28354.0"
"2022-04-29 12:21:04.738 GMT+09:00","28424.0"
"2022-04-29 12:21:04.755 GMT+09:00","28455.0"
"2022-04-29 12:21:04.758 GMT+09:00","28486.0"
"2022-04-29 12:21:04.762 GMT+09:00","28517.0"
"2022-04-29 12:21:04.767 GMT+09:00","28549.0"
"2022-04-29 12:21:04.779 GMT+09:00","28550.0"
"2022-04-29 12:21:04.782 GMT+09:00","28552.0"
"2022-04-29 12:21:04.786 GMT+09:00","28553.0"
"2022-04-29 12:21:04.790 GMT+09:00","28555.0"
"2022-04-29 12:21:04.802 GMT+09:00","28554.0"
"2022-04-29 12:21:04.831 GMT+09:00","28585.0"
"2022-04-29 12:21:04.835 GMT+09:00","28617.0"
"2022-04-29 12:21:04.839 GMT+09:00","28649.0"
"2022-04-29 12:21:04.842 GMT+09:00","28681.0"
"2022-04-29 12:21:04.855 GMT+09:00","28803.0"
"2022-04-29 12:21:04.858 GMT+09:00","28926.0"
"2022-04-29 12:21:04.863 GMT+09:00","29048.0"
"2022-04-29 12:21:04.867 GMT+09:00","29171.0"
"2022-04-29 12:21:04.879 GMT+09:00","29348.0"
"2022-04-29 12:21:04.882 GMT+09:00","29526.0"
"2022-04-29 12:21:04.887 GMT+09:00","29703.0"
"2022-04-29 12:21:04.890 GMT+09:00","29881.0"
"2022-04-29 12:21:04.906 GMT+09:00","30044.0"
"2022-04-29 12:21:04.910 GMT+09:00","30208.0"
"2022-04-29 12:21:04.914 GMT+09:00","30372.0"
"2022-04-29 12:21:04.919 GMT+09:00","30536.0"
"2022-04-29 12:21:04.930 GMT+09:00","30613.0"
"2022-04-29 12:21:04.935 GMT+09:00","30691.0"
"2022-04-29 12:21:04.938 GMT+09:00","30769.0"
"2022-04-29 12:21:04.942 GMT+09:00","30847.0"
"2022-04-29 12:21:04.958 GMT+09:00","30840.0"
"2022-04-29 12:21:04.962 GMT+09:00","30833.0"
"2022-04-29 12:21:04.967 GMT+09:00","30826.0"
"2022-04-29 12:21:04.970 GMT+09:00","30820.0"
"2022-04-29 12:21:05.010 GMT+09:00","30768.0"
"2022-04-29 12:21:05.011 GMT+09:00","30717.0"
"2022-04-29 12:21:05.012 GMT+09:00","30665.0"
"2022-04-29 12:21:05.012 GMT+09:00","30614.0"
"2022-04-29 12:21:05.013 GMT+09:00","30544.0"
"2022-04-29 12:21:05.014 GMT+09:00","30475.0"
"2022-04-29 12:21:05.015 GMT+09:00","30406.0"
"2022-04-29 12:21:05.020 GMT+09:00","30337.0"
"2022-04-29 12:21:05.035 GMT+09:00","30205.0"
"2022-04-29 12:21:05.035 GMT+09:00","30073.0"
"2022-04-29 12:21:05.045 GMT+09:00","29941.0"
"2022-04-29 12:21:05.046 GMT+09:00","29809.0"
"2022-04-29 12:21:05.058 GMT+09:00","29658.0"
"2022-04-29 12:21:05.062 GMT+09:00","29507.0"
"2022-04-29 12:21:05.066 GMT+09:00","29356.0"
"2022-04-29 12:21:05.071 GMT+09:00","29206.0"
"2022-04-29 12:21:05.082 GMT+09:00","29106.0"
"2022-04-29 12:21:05.086 GMT+09:00","29006.0"
"2022-04-29 12:21:05.090 GMT+09:00","28906.0"
"2022-04-29 12:21:05.094 GMT+09:00","28806.0"
"2022-04-29 12:21:05.111 GMT+09:00","28710.0"
"2022-04-29 12:21:05.116 GMT+09:00","28614.0"
"2022-04-29 12:21:05.119 GMT+09:00","28518.0"
"2022-04-29 12:21:05.122 GMT+09:00","28423.0"
"2022-04-29 12:21:05.134 GMT+09:00","28313.0"
"2022-04-29 12:21:05.138 GMT+09:00","28204.0"
"2022-04-29 12:21:05.142 GMT+09:00","28094.0"
"2022-04-29 12:21:05.146 GMT+09:00","27985.0"
"2022-04-29 12:21:05.158 GMT+09:00","27897.0"
"2022-04-29 12:21:05.161 GMT+09:00","27809.0"
"2022-04-29 12:21:05.166 GMT+09:00","27721.0"
"2022-04-29 12:21:05.170 GMT+09:00","27633.0"
"2022-04-29 12:21:05.186 GMT+09:00","27509.0"
"2022-04-29 12:21:05.190 GMT+09:00","27386.0"
"2022-04-29 12:21:05.193 GMT+09:00","27262.0"
"2022-04-29 12:21:05.198 GMT+09:00","27139.0"
"2022-04-29 12:21:05.209 GMT+09:00","26958.0"
"2022-04-29 12:21:05.214 GMT+09:00","26778.0"
"2022-04-29 12:21:05.217 GMT+09:00","26597.0"
"2022-04-29 12:21:05.222 GMT+09:00","26417.0"
"2022-04-29 12:21:05.234 GMT+09:00","26213.0"
"2022-04-29 12:21:05.238 GMT+09:00","26009.0"
"2022-04-29 12:21:05.241 GMT+09:00","25805.0"
"2022-04-29 12:21:05.246 GMT+09:00","25602.0"
