"time","x","y","z"
"2022-04-29 12:23:57.529 GMT+09:00","7.101202","1.0582372","7.6590514"
"2022-04-29 12:23:57.689 GMT+09:00","6.9144545","1.8435353","10.096349"
"2022-04-29 12:23:57.872 GMT+09:00","3.8881836","1.7286136","6.742072"
"2022-04-29 12:23:58.009 GMT+09:00","4.6495395","1.4077905","8.643068"
"2022-04-29 12:23:58.168 GMT+09:00","3.9983168","1.3958195","7.369353"
"2022-04-29 12:23:58.328 GMT+09:00","6.351817","1.0845734","8.468291"
"2022-04-29 12:23:58.488 GMT+09:00","6.9982514","1.151611","8.317456"
"2022-04-29 12:23:58.648 GMT+09:00","3.845088","0.033518825","6.289568"
"2022-04-29 12:23:58.808 GMT+09:00","5.4659624","0.1604115","7.5800424"
"2022-04-29 12:23:58.969 GMT+09:00","4.867412","0.50517654","8.305486"
"2022-04-29 12:23:59.128 GMT+09:00","6.337452","0.8643068","9.200917"
"2022-04-29 12:23:59.288 GMT+09:00","5.731719","1.6232687","7.908048"
"2022-04-29 12:23:59.448 GMT+09:00","5.0637364","2.006341","6.495469"
"2022-04-29 12:23:59.607 GMT+09:00","5.662287","1.8938135","7.690176"
"2022-04-29 12:23:59.767 GMT+09:00","5.8322754","2.0374656","6.337452"
"2022-04-29 12:23:59.928 GMT+09:00","7.5465236","1.8986019","7.773973"
"2022-04-29 12:24:00.102 GMT+09:00","4.489128","1.1971009","10.469844"
"2022-04-29 12:24:00.250 GMT+09:00","4.9320555","0.45010993","5.590461"
"2022-04-29 12:24:00.410 GMT+09:00","6.787562","-0.29688102","6.8162923"
"2022-04-29 12:24:00.569 GMT+09:00","6.9360023","-0.41180268","5.9184666"
"2022-04-29 12:24:00.733 GMT+09:00","8.365341","-0.50757074","8.001422"
"2022-04-29 12:24:00.888 GMT+09:00","5.595249","1.4508862","6.8569937"
"2022-04-29 12:24:01.049 GMT+09:00","6.2608376","0.8331822","4.685453"
"2022-04-29 12:24:01.210 GMT+09:00","5.9543796","1.3455414","7.6135616"
"2022-04-29 12:24:01.367 GMT+09:00","6.459556","1.910573","6.3063273"
"2022-04-29 12:24:01.527 GMT+09:00","8.992621","1.388637","9.076419"
"2022-04-29 12:24:01.701 GMT+09:00","3.2848446","0.22984336","7.8050976"
"2022-04-29 12:24:01.846 GMT+09:00","4.8458643","0.7589619","7.4627266"
"2022-04-29 12:24:02.007 GMT+09:00","5.3725886","1.0175357","8.1163435"
"2022-04-29 12:24:02.168 GMT+09:00","7.264008","0.6823475","7.1634517"
"2022-04-29 12:24:02.337 GMT+09:00","8.197746","1.3910311","9.349358"
"2022-04-29 12:24:02.488 GMT+09:00","3.1914709","1.934515","5.889736"
"2022-04-29 12:24:02.648 GMT+09:00","5.7365074","1.8100165","7.1466923"
"2022-04-29 12:24:02.813 GMT+09:00","5.2409077","2.0805612","7.192182"
"2022-04-29 12:24:02.966 GMT+09:00","6.6893997","1.7597382","7.4962454"
"2022-04-29 12:24:03.126 GMT+09:00","7.819463","1.8411411","9.363723"
"2022-04-29 12:24:03.287 GMT+09:00","3.5697548","0.19153613","6.7803793"
"2022-04-29 12:24:03.445 GMT+09:00","5.023035","1.0773908","7.3166804"
"2022-04-29 12:24:03.606 GMT+09:00","5.2241483","0.9840169","7.338228"
"2022-04-29 12:24:03.766 GMT+09:00","7.3166804","0.38067806","6.279991"
"2022-04-29 12:24:03.928 GMT+09:00","6.528988","2.2577322","9.634268"
"2022-04-29 12:24:04.085 GMT+09:00","2.6288335","2.1883004","7.896077"
"2022-04-29 12:24:04.246 GMT+09:00","5.0014873","1.9680338","7.8625584"
"2022-04-29 12:24:04.409 GMT+09:00","5.379771","1.7908629","7.216124"
"2022-04-29 12:24:04.567 GMT+09:00","5.9424086","2.1284454","6.64391"
"2022-04-29 12:24:04.725 GMT+09:00","7.807492","1.9177556","9.291897"
"2022-04-29 12:24:04.888 GMT+09:00","2.9951463","1.1563994","8.322245"
"2022-04-29 12:24:05.049 GMT+09:00","4.9583917","0.81642276","6.301539"
"2022-04-29 12:24:05.207 GMT+09:00","5.449203","1.6256629","7.529764"
"2022-04-29 12:24:05.365 GMT+09:00","7.0940194","0.7230489","6.5265937"
"2022-04-29 12:24:05.524 GMT+09:00","7.067683","1.3120226","9.753978"
"2022-04-29 12:24:05.684 GMT+09:00","2.7748797","2.4157495","8.001422"
"2022-04-29 12:24:05.845 GMT+09:00","4.675876","2.420538","6.7612257"
"2022-04-29 12:24:06.004 GMT+09:00","5.109226","2.3439236","8.204929"
"2022-04-29 12:24:06.166 GMT+09:00","5.887342","2.542642","6.7708025"
"2022-04-29 12:24:06.324 GMT+09:00","7.728483","1.4556746","9.849746"
"2022-04-29 12:24:06.484 GMT+09:00","3.4356794","0.02633622","7.1634517"
"2022-04-29 12:24:06.644 GMT+09:00","5.0876784","1.0510546","7.503428"
"2022-04-29 12:24:06.803 GMT+09:00","5.207389","1.316811","7.491457"
"2022-04-29 12:24:06.963 GMT+09:00","7.599196","1.2761095","8.020576"
"2022-04-29 12:24:07.123 GMT+09:00","7.177817","3.1148565","7.3765354"
"2022-04-29 12:24:07.284 GMT+09:00","5.556942","2.0685902","6.5936313"
"2022-04-29 12:24:07.443 GMT+09:00","6.14831","1.9440918","6.495469"
"2022-04-29 12:24:07.603 GMT+09:00","5.614403","2.7341783","6.6726403"
"2022-04-29 12:24:07.763 GMT+09:00","7.467515","2.078167","7.7572136"
"2022-04-29 12:24:07.923 GMT+09:00","8.647857","0.5793968","8.00621"
"2022-04-29 12:24:08.082 GMT+09:00","4.3957543","0.7733272","5.353435"
"2022-04-29 12:24:08.243 GMT+09:00","5.434838","1.4053963","8.0445175"
"2022-04-29 12:24:08.406 GMT+09:00","5.6527104","1.2952632","6.7708025"
"2022-04-29 12:24:08.565 GMT+09:00","8.250419","1.163582","8.078036"
"2022-04-29 12:24:08.722 GMT+09:00","5.899313","2.1691468","8.5473"
"2022-04-29 12:24:08.885 GMT+09:00","4.8578353","2.171541","4.4580035"
"2022-04-29 12:24:09.041 GMT+09:00","6.3925185","1.6424223","7.180211"
