"time","x","y","z"
"2022-04-29 12:44:16.699 GMT+09:00","-7.463967E-4","-0.44545683","0.077671915"
"2022-04-29 12:44:16.854 GMT+09:00","0.30178872","-0.12854068","0.6917969"
"2022-04-29 12:44:17.016 GMT+09:00","-0.07424965","-0.8012552","0.18845941"
"2022-04-29 12:44:17.178 GMT+09:00","-0.2803783","-0.17647758","0.545323"
"2022-04-29 12:44:17.343 GMT+09:00","0.11855584","-0.22067961","1.25265"
"2022-04-29 12:44:17.504 GMT+09:00","-0.311811","0.033918597","1.1429278"
"2022-04-29 12:44:17.664 GMT+09:00","-0.021526437","0.11807449","0.65130824"
"2022-04-29 12:44:17.827 GMT+09:00","0.7987272","0.7540374","-0.18812016"
"2022-04-29 12:44:17.991 GMT+09:00","0.023739269","-0.16101778","-0.88268185"
"2022-04-29 12:44:18.150 GMT+09:00","-0.023665","-1.446792","-0.62914896"
"2022-04-29 12:44:18.312 GMT+09:00","-0.28731796","0.506903","0.6795285"
"2022-04-29 12:44:18.474 GMT+09:00","-0.3592233","0.31195962","0.2757932"
"2022-04-29 12:44:18.638 GMT+09:00","-0.29425046","-0.028917754","0.40255004"
"2022-04-29 12:44:18.798 GMT+09:00","-0.15736398","0.12288243","0.6448977"
"2022-04-29 12:44:18.960 GMT+09:00","-0.2005072","0.5079756","0.039294865"
"2022-04-29 12:44:19.122 GMT+09:00","-0.18825665","-0.26540646","-0.17216012"
"2022-04-29 12:44:19.286 GMT+09:00","-0.107301086","0.8163735","0.20813401"
"2022-04-29 12:44:19.446 GMT+09:00","0.25542146","0.49040264","-0.3559235"
"2022-04-29 12:44:19.612 GMT+09:00","0.20748456","-0.3628742","-0.15671906"
"2022-04-29 12:44:19.772 GMT+09:00","0.1238613","-0.4619438","-0.09706425"
"2022-04-29 12:44:19.937 GMT+09:00","0.09186678","0.17246407","-0.020385772"
"2022-04-29 12:44:20.097 GMT+09:00","-0.35447904","0.25076103","-0.123183794"
"2022-04-29 12:44:20.258 GMT+09:00","-0.5904351","0.36261377","0.2912041"
"2022-04-29 12:44:20.421 GMT+09:00","0.42476192","0.26460946","0.032344814"
"2022-04-29 12:44:20.583 GMT+09:00","0.7949383","-0.25204122","0.30984277"
"2022-04-29 12:44:20.745 GMT+09:00","0.45032528","-0.4432562","0.7386117"
"2022-04-29 12:44:20.906 GMT+09:00","0.16483442","-0.35111082","1.5993453"
"2022-04-29 12:44:21.068 GMT+09:00","0.38055044","-0.31329393","1.2834945"
"2022-04-29 12:44:21.231 GMT+09:00","0.3480599","-0.029933568","0.4424682"
"2022-04-29 12:44:21.393 GMT+09:00","0.67988974","0.07286444","-0.049684003"
"2022-04-29 12:44:21.553 GMT+09:00","0.03220899","-0.1396558","-0.21586527"
"2022-04-29 12:44:21.716 GMT+09:00","-0.4024189","-0.6525807","-0.31653273"
"2022-04-29 12:44:21.881 GMT+09:00","0.1749517","0.6869918","0.61290735"
"2022-04-29 12:44:22.040 GMT+09:00","-0.15155186","0.67633915","0.39506075"
"2022-04-29 12:44:22.201 GMT+09:00","-0.10201705","0.03558257","0.32901436"
"2022-04-29 12:44:22.364 GMT+09:00","-0.45675012","0.9277415","0.03446873"
"2022-04-29 12:44:22.526 GMT+09:00","0.055644546","1.1333354","0.3204951"
"2022-04-29 12:44:22.688 GMT+09:00","0.28307852","0.54424417","0.2246213"
"2022-04-29 12:44:22.851 GMT+09:00","0.24100056","0.05422255","-0.004410566"
"2022-04-29 12:44:23.013 GMT+09:00","-0.1483536","-0.06082601","0.23687184"
"2022-04-29 12:44:23.175 GMT+09:00","0.25484902","0.02386251","-0.02198743"
"2022-04-29 12:44:23.338 GMT+09:00","0.51477355","0.0046877507","-0.18603815"
"2022-04-29 12:44:23.497 GMT+09:00","0.33687437","-0.06775023","0.5026553"
"2022-04-29 12:44:23.660 GMT+09:00","0.48973984","-0.07307655","0.4909374"
"2022-04-29 12:44:23.822 GMT+09:00","-0.25381476","0.09363733","-0.54023856"
