"time","x","y","z"
"2022-04-29 12:39:41.111 GMT+09:00","0.34009278","2.567461","9.062755"
"2022-04-29 12:39:41.234 GMT+09:00","1.829795","4.0571632","8.732242"
"2022-04-29 12:39:41.396 GMT+09:00","2.1315675","4.0763235","9.043594"
"2022-04-29 12:39:41.558 GMT+09:00","0.34967285","3.151846","12.25292"
"2022-04-29 12:39:41.720 GMT+09:00","-0.50774413","4.5936475","9.992022"
"2022-04-29 12:39:41.883 GMT+09:00","2.4572902","3.9901028","9.618399"
"2022-04-29 12:39:42.045 GMT+09:00","-0.10538086","3.2620168","10.279425"
"2022-04-29 12:39:42.207 GMT+09:00","0.5412744","4.9241605","8.138277"
"2022-04-29 12:39:42.373 GMT+09:00","0.3065625","4.7133985","8.861572"
"2022-04-29 12:39:42.533 GMT+09:00","2.4525","3.6404297","11.577525"
"2022-04-29 12:39:42.692 GMT+09:00","3.0225148","3.3434474","9.019644"
"2022-04-29 12:39:42.854 GMT+09:00","1.9734962","1.9255958","10.159674"
"2022-04-29 12:39:43.017 GMT+09:00","2.1267774","2.9698243","10.432706"
"2022-04-29 12:39:43.179 GMT+09:00","1.9064356","1.341211","9.474698"
"2022-04-29 12:39:43.340 GMT+09:00","3.6452198","1.1496094","8.765772"
"2022-04-29 12:39:43.502 GMT+09:00","6.0114994","-0.39757326","10.499766"
"2022-04-29 12:39:43.667 GMT+09:00","3.6931202","-0.43110353","9.68067"
"2022-04-29 12:39:43.832 GMT+09:00","1.7579445","-2.1698878","8.847202"
"2022-04-29 12:39:43.991 GMT+09:00","3.3721876","-2.1076174","9.618399"
"2022-04-29 12:39:44.151 GMT+09:00","3.4057178","-2.0166066","9.551338"
"2022-04-29 12:39:44.315 GMT+09:00","3.3099172","-1.9160157","9.896221"
"2022-04-29 12:39:44.476 GMT+09:00","2.4908204","-2.9027638","8.794512"
"2022-04-29 12:39:44.641 GMT+09:00","2.668052","-3.5925295","9.541759"
"2022-04-29 12:39:44.800 GMT+09:00","2.6009912","-3.6691701","8.741821"
"2022-04-29 12:39:44.965 GMT+09:00","3.046465","-2.0501368","10.744058"
"2022-04-29 12:39:45.124 GMT+09:00","3.63564","-0.852627","10.317744"
"2022-04-29 12:39:45.284 GMT+09:00","4.296665","-1.096919","8.57417"
"2022-04-29 12:39:45.448 GMT+09:00","4.718189","-0.047900394","8.0999565"
"2022-04-29 12:39:45.612 GMT+09:00","5.704937","-0.028740235","8.775352"
"2022-04-29 12:39:45.775 GMT+09:00","4.9576907","0.29698244","10.087823"
"2022-04-29 12:39:45.932 GMT+09:00","5.6187162","-1.1352394","8.636441"
"2022-04-29 12:39:46.093 GMT+09:00","5.230723","-0.038320314","7.5874224"
"2022-04-29 12:39:46.256 GMT+09:00","6.5240335","-0.7664063","8.971744"
"2022-04-29 12:39:46.418 GMT+09:00","6.0833497","-0.40715334","8.152647"
"2022-04-29 12:39:46.579 GMT+09:00","6.318062","0.23471193","8.018526"
"2022-04-29 12:39:46.742 GMT+09:00","6.983877","0.17244141","8.329878"
"2022-04-29 12:39:46.904 GMT+09:00","5.245093","0.18681154","9.043594"
"2022-04-29 12:39:47.066 GMT+09:00","4.6128078","0.6849756","8.487949"
"2022-04-29 12:39:47.227 GMT+09:00","5.6905665","-0.39278322","8.698711"
"2022-04-29 12:39:47.390 GMT+09:00","5.4750147","0.6179151","8.372989"
"2022-04-29 12:39:47.554 GMT+09:00","6.4090724","0.24908204","8.56459"
"2022-04-29 12:39:47.716 GMT+09:00","5.5229154","0.9436377","8.909473"
"2022-04-29 12:39:47.877 GMT+09:00","4.8906302","-0.89573735","9.536968"
"2022-04-29 12:39:48.038 GMT+09:00","3.4727786","-1.7866846","10.059082"
"2022-04-29 12:39:48.201 GMT+09:00","5.527705","-0.9244776","8.296348"
"2022-04-29 12:39:48.364 GMT+09:00","4.7469287","-0.8382569","8.459209"
"2022-04-29 12:39:48.528 GMT+09:00","6.08814","-0.48379397","9.019644"
"2022-04-29 12:39:48.687 GMT+09:00","5.527705","-0.2203418","10.164463"
"2022-04-29 12:39:48.849 GMT+09:00","6.06419","-1.2310401","8.133487"
"2022-04-29 12:39:49.010 GMT+09:00","3.788921","0.6179151","9.460327"
"2022-04-29 12:39:49.173 GMT+09:00","5.206773","0.5460645","7.103628"
"2022-04-29 12:39:49.336 GMT+09:00","4.5696974","-0.38320315","9.766891"
"2022-04-29 12:39:49.496 GMT+09:00","5.3169436","0.2921924","9.977652"
"2022-04-29 12:39:49.658 GMT+09:00","4.622388","-1.1256592","8.138277"
"2022-04-29 12:39:49.821 GMT+09:00","3.6883302","-3.2572267","9.057964"
"2022-04-29 12:39:49.983 GMT+09:00","4.3397756","-3.0704153","8.617281"
"2022-04-29 12:39:50.147 GMT+09:00","3.5063088","-1.7004639","10.614727"
"2022-04-29 12:39:50.306 GMT+09:00","4.785249","-0.8286768","9.019644"
"2022-04-29 12:39:50.468 GMT+09:00","4.4691067","-0.91010743","10.049502"
"2022-04-29 12:39:50.631 GMT+09:00","4.9433208","-1.0777588","9.249566"
"2022-04-29 12:39:50.792 GMT+09:00","3.903882","-1.22146","9.110655"
"2022-04-29 12:39:50.954 GMT+09:00","3.9805226","-0.53169435","9.584868"
"2022-04-29 12:39:51.116 GMT+09:00","5.4989653","-0.8430469","8.909473"
"2022-04-29 12:39:51.278 GMT+09:00","5.134922","-1.2454102","8.904683"
"2022-04-29 12:39:51.440 GMT+09:00","4.028423","-0.7232959","9.2256155"
"2022-04-29 12:39:51.603 GMT+09:00","4.038003","-2.0070264","8.449629"
"2022-04-29 12:39:51.767 GMT+09:00","4.641548","-1.6142433","9.168135"
"2022-04-29 12:39:51.926 GMT+09:00","5.134922","-2.0070264","9.393267"
"2022-04-29 12:39:52.088 GMT+09:00","4.8666797","-1.1591895","8.847202"
"2022-04-29 12:39:52.250 GMT+09:00","5.360054","-0.9532178","9.187295"
"2022-04-29 12:39:52.412 GMT+09:00","4.617598","-0.977168","9.158555"
"2022-04-29 12:39:52.574 GMT+09:00","4.6607084","-1.7387843","10.715318"
"2022-04-29 12:39:52.736 GMT+09:00","4.493057","-0.6658155","8.62207"
"2022-04-29 12:39:52.898 GMT+09:00","5.206773","-1.1064991","9.704619"
"2022-04-29 12:39:53.061 GMT+09:00","4.3062453","-0.22513184","9.862691"
"2022-04-29 12:39:53.223 GMT+09:00","5.5229154","-0.488584","7.793394"
"2022-04-29 12:39:53.385 GMT+09:00","6.686895","-0.1101709","7.893985"
"2022-04-29 12:39:53.548 GMT+09:00","5.0918117","-0.76161623","9.532178"
"2022-04-29 12:39:53.708 GMT+09:00","4.761299","-0.28261232","8.808882"
"2022-04-29 12:39:53.872 GMT+09:00","6.09772","-0.5221143","7.8652444"
"2022-04-29 12:39:54.031 GMT+09:00","6.212681","-0.364043","8.008945"
"2022-04-29 12:39:54.194 GMT+09:00","6.1073003","-0.7759864","8.454419"
"2022-04-29 12:39:54.356 GMT+09:00","6.8018556","0.3161426","8.133487"
"2022-04-29 12:39:54.518 GMT+09:00","5.2115626","-0.847837","8.933423"
"2022-04-29 12:39:54.680 GMT+09:00","4.631968","-0.06706055","8.372989"
"2022-04-29 12:39:54.843 GMT+09:00","5.110972","-0.20118165","7.36708"
"2022-04-29 12:39:55.004 GMT+09:00","5.508545","-0.728086","8.713081"
"2022-04-29 12:39:55.168 GMT+09:00","5.8198977","-0.2778223","9.220825"
"2022-04-29 12:39:55.327 GMT+09:00","4.6894484","-1.8441651","9.733359"
"2022-04-29 12:39:55.491 GMT+09:00","3.6212697","-0.977168","8.104747"
"2022-04-29 12:39:55.652 GMT+09:00","3.908672","-0.9053174","9.268726"
"2022-04-29 12:39:55.813 GMT+09:00","3.7506008","-0.82388675","9.292676"
"2022-04-29 12:39:55.976 GMT+09:00","4.0906935","-1.4609619","9.422008"
"2022-04-29 12:39:56.139 GMT+09:00","4.4403663","-1.7244141","8.966953"
"2022-04-29 12:39:56.301 GMT+09:00","4.751719","-1.0585986","10.217154"
"2022-04-29 12:39:56.462 GMT+09:00","4.6942387","-0.86220706","9.0004835"
"2022-04-29 12:39:56.625 GMT+09:00","2.3950195","0.0","10.5764065"
"2022-04-29 12:39:56.788 GMT+09:00","4.0763235","0.34009278","7.9897857"
"2022-04-29 12:39:56.948 GMT+09:00","4.9289503","-2.44292","9.230406"
"2022-04-29 12:39:57.110 GMT+09:00","4.4738965","-1.8106349","9.857901"
"2022-04-29 12:39:57.271 GMT+09:00","5.0199614","-1.6813037","9.79084"
"2022-04-29 12:39:57.434 GMT+09:00","3.7985013","-1.6429834","10.250684"
"2022-04-29 12:39:57.595 GMT+09:00","3.755391","-2.069297","8.693921"
"2022-04-29 12:39:57.759 GMT+09:00","4.3301954","-0.728086","9.72857"
"2022-04-29 12:39:57.919 GMT+09:00","5.245093","-0.67539555","8.200547"
"2022-04-29 12:39:58.082 GMT+09:00","6.452183","-0.3161426","7.683223"
"2022-04-29 12:39:58.245 GMT+09:00","6.8497562","0.47900394","8.224498"
"2022-04-29 12:39:58.409 GMT+09:00","5.599556","-1.22146","10.619517"
"2022-04-29 12:39:58.566 GMT+09:00","4.5696974","0.17244141","8.4304695"
"2022-04-29 12:39:58.729 GMT+09:00","5.1971927","0.16286133","8.459209"
"2022-04-29 12:39:58.891 GMT+09:00","5.005591","0.3161426","9.307046"
"2022-04-29 12:39:59.054 GMT+09:00","5.369634","-0.26345217","9.6615095"
"2022-04-29 12:39:59.216 GMT+09:00","5.249883","-0.7424561","8.890313"
"2022-04-29 12:39:59.379 GMT+09:00","6.0210795","-0.1580713","7.199429"
"2022-04-29 12:39:59.540 GMT+09:00","5.944439","-0.79035646","8.47837"
"2022-04-29 12:39:59.701 GMT+09:00","5.360054","-0.8669971","7.7167535"
"2022-04-29 12:39:59.863 GMT+09:00","5.7863674","0.34009278","10.308165"
"2022-04-29 12:40:00.026 GMT+09:00","4.598438","-1.3747413","10.657837"
"2022-04-29 12:40:00.187 GMT+09:00","3.8655617","-0.7376661","9.062755"
"2022-04-29 12:40:00.348 GMT+09:00","4.8091993","-0.29698244","8.066426"
"2022-04-29 12:40:00.511 GMT+09:00","5.886958","-0.38320315","8.890313"
"2022-04-29 12:40:00.673 GMT+09:00","5.4750147","0.18681154","9.445957"
"2022-04-29 12:40:00.835 GMT+09:00","4.9145803","-0.34009278","8.693921"
"2022-04-29 12:40:00.997 GMT+09:00","3.7458107","-0.1101709","8.746612"
"2022-04-29 12:40:01.160 GMT+09:00","3.539839","-1.7339942","11.045831"
"2022-04-29 12:40:01.322 GMT+09:00","3.755391","-4.047583","9.216036"
"2022-04-29 12:40:01.485 GMT+09:00","4.87626","-2.1411476","9.848321"
"2022-04-29 12:40:01.646 GMT+09:00","4.727769","0.4023633","8.3250885"
"2022-04-29 12:40:01.807 GMT+09:00","5.982759","0.5748047","8.5119"
"2022-04-29 12:40:01.974 GMT+09:00","5.5803957","1.1591895","8.741821"
"2022-04-29 12:40:02.131 GMT+09:00","5.1061816","1.101709","7.4676714"
"2022-04-29 12:40:02.292 GMT+09:00","4.790039","1.1064991","8.804092"
"2022-04-29 12:40:02.455 GMT+09:00","5.1924024","0.5843848","8.938213"
"2022-04-29 12:40:02.616 GMT+09:00","4.493057","0.78556645","10.442286"
"2022-04-29 12:40:02.779 GMT+09:00","5.877378","-0.5364844","9.70941"
"2022-04-29 12:40:02.941 GMT+09:00","3.5973196","-0.30177248","7.812554"
"2022-04-29 12:40:03.102 GMT+09:00","6.0258694","-1.4465919","8.464"
"2022-04-29 12:40:03.264 GMT+09:00","4.86189","-0.8047266","10.059082"
"2022-04-29 12:40:03.428 GMT+09:00","5.3217335","-0.56522465","8.808882"
"2022-04-29 12:40:03.588 GMT+09:00","6.1073003","-0.4023633","7.8891945"
"2022-04-29 12:40:03.752 GMT+09:00","6.0498195","-0.53169435","8.957374"
"2022-04-29 12:40:03.914 GMT+09:00","5.6714063","-1.6765138","8.947793"
"2022-04-29 12:40:04.074 GMT+09:00","5.958809","-1.7579445","8.727451"
"2022-04-29 12:40:04.235 GMT+09:00","6.9216065","-1.1975098","5.5947657"
"2022-04-29 12:40:04.399 GMT+09:00","6.4042826","-1.4609619","8.171807"
"2022-04-29 12:40:04.559 GMT+09:00","6.11209","-1.1687696","9.005274"
"2022-04-29 12:40:04.721 GMT+09:00","6.4138627","-1.465752","7.9945755"
"2022-04-29 12:40:04.883 GMT+09:00","5.010381","-2.5243506","8.598121"
"2022-04-29 12:40:05.046 GMT+09:00","5.494175","-3.3817677","8.966953"
"2022-04-29 12:40:05.208 GMT+09:00","5.9013286","-2.2944288","7.9083548"
"2022-04-29 12:40:05.369 GMT+09:00","5.728887","-1.7531544","7.9227247"
"2022-04-29 12:40:05.530 GMT+09:00","5.4175344","-1.3555812","9.79563"
