"time","data"
"2022-04-29 12:40:53.886 GMT+09:00","8980.994"
"2022-04-29 12:40:54.085 GMT+09:00","8725.347"
"2022-04-29 12:40:54.285 GMT+09:00","8614.074"
"2022-04-29 12:40:54.483 GMT+09:00","8711.616"
"2022-04-29 12:40:54.683 GMT+09:00","8567.017"
"2022-04-29 12:40:55.081 GMT+09:00","9627.28"
"2022-04-29 12:40:55.281 GMT+09:00","9227.457"
"2022-04-29 12:40:55.480 GMT+09:00","9507.777"
"2022-04-29 12:40:55.680 GMT+09:00","8220.99"
"2022-04-29 12:40:55.878 GMT+09:00","7314.2905"
"2022-04-29 12:40:56.078 GMT+09:00","5408.2715"
"2022-04-29 12:40:56.278 GMT+09:00","5105.768"
"2022-04-29 12:40:56.478 GMT+09:00","6067.1826"
"2022-04-29 12:40:56.682 GMT+09:00","7751.6143"
"2022-04-29 12:40:56.881 GMT+09:00","9109.79"
"2022-04-29 12:40:57.076 GMT+09:00","11529.759"
"2022-04-29 12:40:57.275 GMT+09:00","11602.037"
"2022-04-29 12:40:57.474 GMT+09:00","11321.853"
"2022-04-29 12:40:57.673 GMT+09:00","11284.764"
"2022-04-29 12:40:57.873 GMT+09:00","11639.873"
"2022-04-29 12:40:58.070 GMT+09:00","11761.217"
"2022-04-29 12:40:58.271 GMT+09:00","11708.473"
"2022-04-29 12:40:58.470 GMT+09:00","11021.05"
"2022-04-29 12:40:58.669 GMT+09:00","10722.627"
"2022-04-29 12:40:58.869 GMT+09:00","10789.596"
"2022-04-29 12:40:59.071 GMT+09:00","11043.03"
"2022-04-29 12:40:59.266 GMT+09:00","11060.93"
"2022-04-29 12:40:59.474 GMT+09:00","10266.316"
"2022-04-29 12:40:59.666 GMT+09:00","10719.227"
"2022-04-29 12:40:59.865 GMT+09:00","10339.409"
"2022-04-29 12:41:00.064 GMT+09:00","10201.939"
"2022-04-29 12:41:00.264 GMT+09:00","10041.054"
"2022-04-29 12:41:00.461 GMT+09:00","9766.93"
"2022-04-29 12:41:00.661 GMT+09:00","9488.652"
"2022-04-29 12:41:00.861 GMT+09:00","9323.96"
"2022-04-29 12:41:01.061 GMT+09:00","8745.559"
"2022-04-29 12:41:01.262 GMT+09:00","8595.837"
"2022-04-29 12:41:01.459 GMT+09:00","8646.198"
"2022-04-29 12:41:01.660 GMT+09:00","8877.652"
"2022-04-29 12:41:01.855 GMT+09:00","8500.22"
"2022-04-29 12:41:02.058 GMT+09:00","8185.3975"
"2022-04-29 12:41:02.254 GMT+09:00","7921.2764"
"2022-04-29 12:41:02.454 GMT+09:00","8185.057"
"2022-04-29 12:41:02.656 GMT+09:00","8138.5747"
"2022-04-29 12:41:02.852 GMT+09:00","8238.208"
"2022-04-29 12:41:03.053 GMT+09:00","8284.689"
"2022-04-29 12:41:03.251 GMT+09:00","8501.854"
"2022-04-29 12:41:03.449 GMT+09:00","8333.484"
"2022-04-29 12:41:03.649 GMT+09:00","8319.467"
"2022-04-29 12:41:03.847 GMT+09:00","7955.915"
"2022-04-29 12:41:04.047 GMT+09:00","8365.744"
"2022-04-29 12:41:04.249 GMT+09:00","8316.812"
"2022-04-29 12:41:04.445 GMT+09:00","8134.4233"
"2022-04-29 12:41:04.648 GMT+09:00","7655.451"
"2022-04-29 12:41:04.844 GMT+09:00","7690.2275"
"2022-04-29 12:41:05.043 GMT+09:00","7756.9897"
"2022-04-29 12:41:05.241 GMT+09:00","7888.9478"
"2022-04-29 12:41:05.443 GMT+09:00","7676.072"
"2022-04-29 12:41:05.642 GMT+09:00","7446.386"
"2022-04-29 12:41:05.841 GMT+09:00","7562.148"
"2022-04-29 12:41:06.040 GMT+09:00","7724.664"
"2022-04-29 12:41:06.240 GMT+09:00","7787.48"
"2022-04-29 12:41:06.442 GMT+09:00","8117.818"
"2022-04-29 12:41:06.638 GMT+09:00","8410.728"
"2022-04-29 12:41:06.836 GMT+09:00","8739.501"
"2022-04-29 12:41:07.034 GMT+09:00","8922.025"
"2022-04-29 12:41:07.235 GMT+09:00","8758.011"
"2022-04-29 12:41:07.434 GMT+09:00","8475.585"
"2022-04-29 12:41:07.632 GMT+09:00","8424.949"
"2022-04-29 12:41:07.833 GMT+09:00","8720.922"
"2022-04-29 12:41:08.032 GMT+09:00","8649.872"
"2022-04-29 12:41:08.230 GMT+09:00","8568.888"
"2022-04-29 12:41:08.430 GMT+09:00","9033.975"
"2022-04-29 12:41:08.631 GMT+09:00","9285.438"
"2022-04-29 12:41:08.828 GMT+09:00","9186.351"
"2022-04-29 12:41:09.031 GMT+09:00","9163.619"
"2022-04-29 12:41:09.225 GMT+09:00","8881.535"
"2022-04-29 12:41:09.431 GMT+09:00","9029.961"
"2022-04-29 12:41:09.625 GMT+09:00","9196.289"
"2022-04-29 12:41:09.825 GMT+09:00","9112.851"
"2022-04-29 12:41:10.024 GMT+09:00","8721.398"
"2022-04-29 12:41:10.225 GMT+09:00","9001.242"
"2022-04-29 12:41:10.420 GMT+09:00","9429.922"
"2022-04-29 12:41:10.622 GMT+09:00","9054.462"
"2022-04-29 12:41:10.821 GMT+09:00","8794.624"
"2022-04-29 12:41:11.021 GMT+09:00","9221.059"
"2022-04-29 12:41:11.220 GMT+09:00","9515.399"
"2022-04-29 12:41:11.417 GMT+09:00","9198.534"
"2022-04-29 12:41:11.623 GMT+09:00","9425.7"
"2022-04-29 12:41:11.817 GMT+09:00","9427.336"
"2022-04-29 12:41:12.015 GMT+09:00","9216.364"
"2022-04-29 12:41:12.218 GMT+09:00","9186.351"
"2022-04-29 12:41:12.416 GMT+09:00","9350.569"
"2022-04-29 12:41:12.614 GMT+09:00","9746.648"
"2022-04-29 12:41:12.813 GMT+09:00","10140.551"
"2022-04-29 12:41:13.014 GMT+09:00","9837.843"
"2022-04-29 12:41:13.213 GMT+09:00","10118.026"
"2022-04-29 12:41:13.409 GMT+09:00","10219.429"
"2022-04-29 12:41:13.611 GMT+09:00","10450.27"
"2022-04-29 12:41:13.809 GMT+09:00","10655.7295"
"2022-04-29 12:41:14.007 GMT+09:00","10854.449"
"2022-04-29 12:41:14.210 GMT+09:00","10854.586"
"2022-04-29 12:41:14.405 GMT+09:00","10738.347"
"2022-04-29 12:41:14.605 GMT+09:00","11415.292"
"2022-04-29 12:41:14.804 GMT+09:00","11892.157"
"2022-04-29 12:41:15.006 GMT+09:00","11940.8125"
"2022-04-29 12:41:15.203 GMT+09:00","11408.896"
"2022-04-29 12:41:15.401 GMT+09:00","11011.045"
"2022-04-29 12:41:15.601 GMT+09:00","10978.922"
"2022-04-29 12:41:15.801 GMT+09:00","11323.623"
"2022-04-29 12:41:16.000 GMT+09:00","11143.209"
"2022-04-29 12:41:16.199 GMT+09:00","10978.786"
"2022-04-29 12:41:16.398 GMT+09:00","10580.939"
"2022-04-29 12:41:16.598 GMT+09:00","10562.493"
"2022-04-29 12:41:16.796 GMT+09:00","10534.592"
"2022-04-29 12:41:16.995 GMT+09:00","10599.379"
"2022-04-29 12:41:17.193 GMT+09:00","10437.34"
"2022-04-29 12:41:17.396 GMT+09:00","10292.929"
"2022-04-29 12:41:17.593 GMT+09:00","10290.343"
"2022-04-29 12:41:17.792 GMT+09:00","10154.028"
"2022-04-29 12:41:17.992 GMT+09:00","10263.7295"
"2022-04-29 12:41:18.192 GMT+09:00","10241.614"
"2022-04-29 12:41:18.391 GMT+09:00","9965.582"
