"time","x","y","z"
"2022-04-29 12:26:36.237 GMT+09:00","0.5802595","7.2819576","6.3140607"
"2022-04-29 12:26:36.238 GMT+09:00","0.36011982","7.2646093","6.7005014"
"2022-04-29 12:26:36.238 GMT+09:00","0.18723837","7.1599236","6.795616"
"2022-04-29 12:26:36.239 GMT+09:00","0.015553347","6.8931236","6.626324"
"2022-04-29 12:26:36.240 GMT+09:00","-0.0849452","6.4755764","6.352346"
"2022-04-29 12:26:36.240 GMT+09:00","-0.36909288","5.968298","6.381658"
"2022-04-29 12:26:36.241 GMT+09:00","-1.8975084","5.502894","6.8602223"
"2022-04-29 12:26:36.241 GMT+09:00","-0.5449654","5.238487","6.902695"
"2022-04-29 12:26:36.243 GMT+09:00","1.3106686","5.4095736","6.7256265"
"2022-04-29 12:26:36.244 GMT+09:00","2.2019951","5.6578293","6.588039"
"2022-04-29 12:26:36.245 GMT+09:00","2.7684958","5.9467626","6.483951"
"2022-04-29 12:26:36.245 GMT+09:00","2.7966115","6.031708","6.476773"
"2022-04-29 12:26:36.466 GMT+09:00","2.8348966","5.265406","6.472585"
"2022-04-29 12:26:36.467 GMT+09:00","3.0885358","4.115655","6.6017976"
"2022-04-29 12:26:36.467 GMT+09:00","5.074579","4.0331025","7.5667033"
"2022-04-29 12:26:36.468 GMT+09:00","10.390234","5.0344987","13.376477"
"2022-04-29 12:26:36.469 GMT+09:00","9.275777","5.506483","12.309876"
"2022-04-29 12:26:36.470 GMT+09:00","4.1383867","5.8193445","8.684152"
"2022-04-29 12:26:36.471 GMT+09:00","1.7455641","5.230112","6.5144596"
"2022-04-29 12:26:36.472 GMT+09:00","1.9010975","4.5469613","7.058827"
"2022-04-29 12:26:36.472 GMT+09:00","3.0352955","4.1030927","7.6103725"
"2022-04-29 12:26:36.473 GMT+09:00","3.6257246","3.618546","7.791629"
"2022-04-29 12:26:36.474 GMT+09:00","3.8398821","3.5246277","8.472985"
"2022-04-29 12:26:36.475 GMT+09:00","3.8763726","4.2538404","10.040284"
"2022-04-29 12:26:36.695 GMT+09:00","3.527619","5.0386863","10.414163"
"2022-04-29 12:26:36.696 GMT+09:00","5.157131","5.0847483","10.497911"
"2022-04-29 12:26:36.696 GMT+09:00","4.5451665","4.782056","10.182058"
"2022-04-29 12:26:36.696 GMT+09:00","3.6771703","4.5972104","9.094521"
"2022-04-29 12:26:36.696 GMT+09:00","4.019942","3.8608193","8.605188"
"2022-04-29 12:26:36.697 GMT+09:00","5.259424","2.8031917","8.752945"
"2022-04-29 12:26:36.697 GMT+09:00","6.102296","2.2522442","9.078369"
"2022-04-29 12:26:36.697 GMT+09:00","6.1639113","2.7948167","8.730812"
"2022-04-29 12:26:36.698 GMT+09:00","5.596214","3.5012977","8.452646"
"2022-04-29 12:26:36.698 GMT+09:00","4.013362","3.7908292","8.141579"
"2022-04-29 12:26:36.698 GMT+09:00","3.9038901","3.882953","8.4705925"
"2022-04-29 12:26:36.698 GMT+09:00","4.430311","3.2165518","8.067402"
"2022-04-29 12:26:36.734 GMT+09:00","4.4638104","2.9617162","7.0749784"
"2022-04-29 12:26:36.735 GMT+09:00","5.337789","3.2656047","6.9708905"
"2022-04-29 12:26:36.962 GMT+09:00","6.0161543","3.4941192","7.4769726"
"2022-04-29 12:26:36.962 GMT+09:00","6.181259","2.9778678","7.385447"
"2022-04-29 12:26:36.963 GMT+09:00","7.8203425","2.1008983","9.918848"
"2022-04-29 12:26:36.963 GMT+09:00","9.020343","2.070988","8.807981"
"2022-04-29 12:26:36.963 GMT+09:00","6.041279","0.76989067","7.285547"
"2022-04-29 12:26:36.964 GMT+09:00","4.7018967","0.47018966","7.8693953"
"2022-04-29 12:26:36.964 GMT+09:00","3.3050864","1.0085747","9.046664"
"2022-04-29 12:26:36.965 GMT+09:00","3.1519456","1.439881","8.205587"
"2022-04-29 12:26:36.965 GMT+09:00","4.4482574","1.2927225","6.9158554"
"2022-04-29 12:26:36.966 GMT+09:00","6.0711894","1.1850454","7.2215385"
"2022-04-29 12:26:36.966 GMT+09:00","6.9332037","1.535594","6.503692"
"2022-04-29 12:26:36.967 GMT+09:00","6.3696938","0.9625129","4.4321055"
"2022-04-29 12:26:37.191 GMT+09:00","7.2879395","1.7467605","5.72423"
"2022-04-29 12:26:37.193 GMT+09:00","8.085348","1.6109679","9.397213"
"2022-04-29 12:26:37.196 GMT+09:00","6.6969123","1.4907285","9.078369"
"2022-04-29 12:26:37.197 GMT+09:00","6.7836523","1.3082758","8.880961"
"2022-04-29 12:26:37.197 GMT+09:00","7.2065835","1.2400804","8.601599"
"2022-04-29 12:26:37.198 GMT+09:00","7.517052","0.95473623","8.014759"
"2022-04-29 12:26:37.198 GMT+09:00","8.682955","0.9846465","7.3022966"
"2022-04-29 12:26:37.199 GMT+09:00","8.805588","1.1676974","7.058827"
