"time","x","y","z"
"2022-04-29 12:17:46.337 GMT+09:00","0.023747368","0.035124727","0.0061086477"
"2022-04-29 12:17:46.540 GMT+09:00","-0.18203771","-0.32917976","0.35941756"
"2022-04-29 12:17:46.767 GMT+09:00","0.28878632","1.6093233","2.2779148"
"2022-04-29 12:17:46.938 GMT+09:00","-1.361083","0.08605558","2.483776"
"2022-04-29 12:17:47.138 GMT+09:00","-0.12064579","-0.29764387","1.487303"
"2022-04-29 12:17:47.343 GMT+09:00","-0.32268932","-0.87536925","0.3908771"
"2022-04-29 12:17:47.544 GMT+09:00","0.053985175","-0.48365217","0.48151416"
"2022-04-29 12:17:47.745 GMT+09:00","0.42722356","-0.19440772","0.07582359"
"2022-04-29 12:17:47.945 GMT+09:00","0.2758818","0.053527027","0.17539455"
"2022-04-29 12:17:48.145 GMT+09:00","0.08697187","0.05589413","0.10361794"
"2022-04-29 12:17:48.346 GMT+09:00","0.18761185","-0.004734202","0.17982332"
"2022-04-29 12:17:48.546 GMT+09:00","0.27275112","0.085215636","0.24648394"
"2022-04-29 12:17:48.747 GMT+09:00","0.13461933","0.09705114","0.1786016"
"2022-04-29 12:17:48.947 GMT+09:00","-0.1740201","-0.23564109","0.2031889"
"2022-04-29 12:17:49.149 GMT+09:00","0.18646647","-0.30298892","0.09552398"
"2022-04-29 12:17:49.347 GMT+09:00","0.67699087","0.014355322","0.364839"
"2022-04-29 12:17:49.548 GMT+09:00","0.9738712","0.2244928","0.5840631"
"2022-04-29 12:17:49.745 GMT+09:00","1.0162499","0.056734066","0.4535671"
"2022-04-29 12:17:49.945 GMT+09:00","0.6592758","-0.09025527","0.3904953"
"2022-04-29 12:17:50.149 GMT+09:00","0.46983138","-0.17852524","0.5555815"
"2022-04-29 12:17:50.346 GMT+09:00","0.26465717","-0.067958705","0.12018765"
"2022-04-29 12:17:50.547 GMT+09:00","0.08093958","0.22861615","-0.0923933"
"2022-04-29 12:17:50.754 GMT+09:00","-0.38011062","0.8979712","-0.11300998"
"2022-04-29 12:17:50.951 GMT+09:00","0.44386962","-0.14332415","0.0017562362"
"2022-04-29 12:17:51.153 GMT+09:00","0.14370593","-0.30558512","0.10529782"
"2022-04-29 12:17:51.353 GMT+09:00","0.3498728","-0.59452415","0.12866339"
"2022-04-29 12:17:51.553 GMT+09:00","-0.026725333","0.6256019","0.19440772"
"2022-04-29 12:17:51.753 GMT+09:00","-0.22945608","0.043600474","0.09842559"
"2022-04-29 12:17:51.955 GMT+09:00","-0.21952952","-0.09651663","0.038026333"
"2022-04-29 12:17:52.154 GMT+09:00","-0.0490219","-0.19891284","-0.09796744"
"2022-04-29 12:17:52.350 GMT+09:00","0.39385507","0.05215258","0.066813335"
"2022-04-29 12:17:52.549 GMT+09:00","0.4238638","-0.040622506","0.1164461"
"2022-04-29 12:17:52.752 GMT+09:00","0.055588696","-0.46624255","-0.011835505"
"2022-04-29 12:17:52.952 GMT+09:00","-0.02649626","-0.21853687","-0.03978257"
"2022-04-29 12:17:53.153 GMT+09:00","-0.38599017","0.3033707","-0.14553854"
"2022-04-29 12:17:53.353 GMT+09:00","-0.30680683","0.19784383","-0.041233372"
"2022-04-29 12:17:53.553 GMT+09:00","0.0067958706","-0.44532043","-0.02008218"
"2022-04-29 12:17:53.754 GMT+09:00","-0.13087778","0.08552107","-0.026267186"
"2022-04-29 12:17:53.953 GMT+09:00","-0.021151192","0.39332056","-0.21532984"
"2022-04-29 12:17:54.161 GMT+09:00","0.07315106","-0.19372049","-0.049327333"
"2022-04-29 12:17:54.361 GMT+09:00","-0.36308277","-0.06635518","-0.083612114"
"2022-04-29 12:17:54.561 GMT+09:00","-0.0108428495","0.19501857","-0.013515383"
"2022-04-29 12:17:54.761 GMT+09:00","-0.23655738","0.010384701","-0.09796744"
"2022-04-29 12:17:54.960 GMT+09:00","-0.19960007","-0.17157665","0.028023422"
"2022-04-29 12:17:55.163 GMT+09:00","-0.093996815","-0.41485354","0.050854493"
"2022-04-29 12:17:55.359 GMT+09:00","-0.10231985","0.24190246","-0.16355905"
"2022-04-29 12:17:55.562 GMT+09:00","0.18883358","-0.0061086477","-0.06475167"
"2022-04-29 12:17:55.756 GMT+09:00","-0.07261655","-0.34109163","-0.056199558"
"2022-04-29 12:17:55.959 GMT+09:00","0.15195261","-0.07002038","0.026954409"
"2022-04-29 12:17:56.160 GMT+09:00","-0.2432769","0.25373796","-0.02535089"
"2022-04-29 12:17:56.360 GMT+09:00","-0.19104797","0.092087865","0.0021380268"
"2022-04-29 12:17:56.558 GMT+09:00","-0.046807513","0.0051159924","0.10270164"
"2022-04-29 12:17:56.760 GMT+09:00","0.20601414","-0.043905906","0.107054055"
"2022-04-29 12:17:56.960 GMT+09:00","0.1042288","0.38316494","0.032070402"
"2022-04-29 12:17:57.165 GMT+09:00","0.27229297","0.092469655","0.035964664"
"2022-04-29 12:17:57.364 GMT+09:00","0.03367392","-0.25488332","-0.09812015"
"2022-04-29 12:17:57.567 GMT+09:00","0.14004076","0.36384633","0.23167047"
"2022-04-29 12:17:57.768 GMT+09:00","0.21800236","0.08590286","0.056734066"
"2022-04-29 12:17:57.967 GMT+09:00","0.066049755","-0.3916407","0.047571093"
"2022-04-29 12:17:58.167 GMT+09:00","-0.081397735","-0.5805506","-0.011530072"
"2022-04-29 12:17:58.367 GMT+09:00","-0.3097848","0.37331474","-0.0064904382"
