"time","data"
"2022-04-29 12:22:10.305 GMT+09:00","15984.001"
"2022-04-29 12:22:10.464 GMT+09:00","15560.033"
"2022-04-29 12:22:10.629 GMT+09:00","15061.006"
"2022-04-29 12:22:10.799 GMT+09:00","14100.008"
"2022-04-29 12:22:10.944 GMT+09:00","16689.982"
"2022-04-29 12:22:11.104 GMT+09:00","21581.033"
"2022-04-29 12:22:11.264 GMT+09:00","18364.996"
"2022-04-29 12:22:11.424 GMT+09:00","10851.03"
"2022-04-29 12:22:11.584 GMT+09:00","9441.022"
"2022-04-29 12:22:11.746 GMT+09:00","10774.013"
"2022-04-29 12:22:11.904 GMT+09:00","13172.018"
"2022-04-29 12:22:12.065 GMT+09:00","12854.025"
"2022-04-29 12:22:12.224 GMT+09:00","12952.98"
"2022-04-29 12:22:12.384 GMT+09:00","15188.985"
"2022-04-29 12:22:12.544 GMT+09:00","15927.976"
"2022-04-29 12:22:12.704 GMT+09:00","16834.027"
"2022-04-29 12:22:12.865 GMT+09:00","15366.983"
"2022-04-29 12:22:13.024 GMT+09:00","13114.98"
"2022-04-29 12:22:13.184 GMT+09:00","14053.973"
"2022-04-29 12:22:13.345 GMT+09:00","15180.008"
"2022-04-29 12:22:13.505 GMT+09:00","13242.016"
"2022-04-29 12:22:13.664 GMT+09:00","12271.028"
"2022-04-29 12:22:13.831 GMT+09:00","13685.018"
"2022-04-29 12:22:13.984 GMT+09:00","14028.998"
"2022-04-29 12:22:14.145 GMT+09:00","13056.998"
"2022-04-29 12:22:14.304 GMT+09:00","11915.033"
"2022-04-29 12:22:14.465 GMT+09:00","11678.985"
"2022-04-29 12:22:14.625 GMT+09:00","12967.0205"
"2022-04-29 12:22:14.785 GMT+09:00","11910.983"
"2022-04-29 12:22:14.945 GMT+09:00","10320.008"
"2022-04-29 12:22:15.104 GMT+09:00","8523.022"
"2022-04-29 12:22:15.265 GMT+09:00","7512.008"
"2022-04-29 12:22:15.427 GMT+09:00","7318.0127"
"2022-04-29 12:22:15.586 GMT+09:00","6979.9727"
"2022-04-29 12:22:15.745 GMT+09:00","6788.003"
"2022-04-29 12:22:15.904 GMT+09:00","6667.988"
"2022-04-29 12:22:16.065 GMT+09:00","8421.976"
"2022-04-29 12:22:16.225 GMT+09:00","12519.023"
"2022-04-29 12:22:16.384 GMT+09:00","16369.0205"
"2022-04-29 12:22:16.547 GMT+09:00","18389.97"
"2022-04-29 12:22:16.706 GMT+09:00","17040.982"
"2022-04-29 12:22:16.872 GMT+09:00","15153.008"
"2022-04-29 12:22:17.025 GMT+09:00","17028.969"
"2022-04-29 12:22:17.185 GMT+09:00","16564.973"
"2022-04-29 12:22:17.345 GMT+09:00","14716.013"
"2022-04-29 12:22:17.511 GMT+09:00","13288.995"
"2022-04-29 12:22:17.666 GMT+09:00","12622.028"
"2022-04-29 12:22:17.826 GMT+09:00","14057.011"
"2022-04-29 12:22:17.985 GMT+09:00","14703.998"
"2022-04-29 12:22:18.146 GMT+09:00","14728.973"
"2022-04-29 12:22:18.305 GMT+09:00","13517.011"
"2022-04-29 12:22:18.465 GMT+09:00","12476.971"
"2022-04-29 12:22:18.624 GMT+09:00","12741.976"
"2022-04-29 12:22:18.785 GMT+09:00","12330.023"
"2022-04-29 12:22:18.947 GMT+09:00","14280.976"
"2022-04-29 12:22:19.113 GMT+09:00","14716.013"
"2022-04-29 12:22:19.267 GMT+09:00","15831.99"
"2022-04-29 12:22:19.426 GMT+09:00","18341.979"
"2022-04-29 12:22:19.585 GMT+09:00","20645.012"
"2022-04-29 12:22:19.747 GMT+09:00","20528.979"
"2022-04-29 12:22:19.906 GMT+09:00","19415.97"
"2022-04-29 12:22:20.067 GMT+09:00","19264.027"
"2022-04-29 12:22:20.227 GMT+09:00","21056.018"
"2022-04-29 12:22:20.387 GMT+09:00","21569.018"
"2022-04-29 12:22:20.546 GMT+09:00","23532.998"
"2022-04-29 12:22:20.719 GMT+09:00","22175.979"
"2022-04-29 12:22:20.866 GMT+09:00","23049.023"
"2022-04-29 12:22:21.026 GMT+09:00","21899.025"
"2022-04-29 12:22:21.185 GMT+09:00","21467.025"
"2022-04-29 12:22:21.346 GMT+09:00","18782.012"
"2022-04-29 12:22:21.505 GMT+09:00","15754.028"
"2022-04-29 12:22:21.664 GMT+09:00","15255.001"
"2022-04-29 12:22:21.825 GMT+09:00","13109.985"
"2022-04-29 12:22:21.986 GMT+09:00","11613.983"
"2022-04-29 12:22:22.145 GMT+09:00","11931.03"
"2022-04-29 12:22:22.311 GMT+09:00","14852.971"
"2022-04-29 12:22:22.466 GMT+09:00","17531.033"
"2022-04-29 12:22:22.626 GMT+09:00","19642.027"
"2022-04-29 12:22:22.785 GMT+09:00","18751.973"
"2022-04-29 12:22:22.945 GMT+09:00","17660.97"
"2022-04-29 12:22:23.105 GMT+09:00","19400.986"
"2022-04-29 12:22:23.265 GMT+09:00","19842.977"
"2022-04-29 12:22:23.425 GMT+09:00","20879.033"
"2022-04-29 12:22:23.584 GMT+09:00","20685.982"
"2022-04-29 12:22:23.746 GMT+09:00","20594.994"
"2022-04-29 12:22:23.917 GMT+09:00","21354.031"
"2022-04-29 12:22:24.065 GMT+09:00","19395.99"
"2022-04-29 12:22:24.226 GMT+09:00","16541.01"
"2022-04-29 12:22:24.386 GMT+09:00","14446.013"
"2022-04-29 12:22:24.547 GMT+09:00","13831.0205"
"2022-04-29 12:22:24.706 GMT+09:00","15275.993"
"2022-04-29 12:22:24.865 GMT+09:00","16732.98"
"2022-04-29 12:22:25.026 GMT+09:00","16431.998"
"2022-04-29 12:22:25.186 GMT+09:00","16300.98"
"2022-04-29 12:22:25.346 GMT+09:00","17713.014"
"2022-04-29 12:22:25.517 GMT+09:00","17834.986"
"2022-04-29 12:22:25.672 GMT+09:00","17604.0"
"2022-04-29 12:22:25.826 GMT+09:00","16046.033"
"2022-04-29 12:22:25.985 GMT+09:00","14697.99"
"2022-04-29 12:22:26.146 GMT+09:00","16208.033"
"2022-04-29 12:22:26.307 GMT+09:00","18072.99"
"2022-04-29 12:22:26.466 GMT+09:00","18682.988"
"2022-04-29 12:22:26.626 GMT+09:00","19163.994"
"2022-04-29 12:22:26.786 GMT+09:00","18799.021"
"2022-04-29 12:22:26.945 GMT+09:00","19917.023"
"2022-04-29 12:22:27.106 GMT+09:00","18823.996"
"2022-04-29 12:22:27.266 GMT+09:00","16495.988"
"2022-04-29 12:22:27.428 GMT+09:00","14708.993"
"2022-04-29 12:22:27.587 GMT+09:00","14722.0205"
"2022-04-29 12:22:27.747 GMT+09:00","16169.019"
"2022-04-29 12:22:27.906 GMT+09:00","16323.998"
"2022-04-29 12:22:28.065 GMT+09:00","15717.983"
"2022-04-29 12:22:28.226 GMT+09:00","16488.969"
"2022-04-29 12:22:28.386 GMT+09:00","18206.033"
"2022-04-29 12:22:28.546 GMT+09:00","19966.973"
"2022-04-29 12:22:28.726 GMT+09:00","22400.012"
"2022-04-29 12:22:28.867 GMT+09:00","19467.0"
"2022-04-29 12:22:29.025 GMT+09:00","16267.974"
"2022-04-29 12:22:29.187 GMT+09:00","15342.008"
"2022-04-29 12:22:29.346 GMT+09:00","16218.023"
"2022-04-29 12:22:29.505 GMT+09:00","17297.01"
"2022-04-29 12:22:29.665 GMT+09:00","17785.98"
"2022-04-29 12:22:29.826 GMT+09:00","19539.023"
"2022-04-29 12:22:29.990 GMT+09:00","19648.98"
"2022-04-29 12:22:30.146 GMT+09:00","19724.986"
"2022-04-29 12:22:30.307 GMT+09:00","20596.006"
"2022-04-29 12:22:30.466 GMT+09:00","21366.99"
"2022-04-29 12:22:30.625 GMT+09:00","21411.0"
"2022-04-29 12:22:30.794 GMT+09:00","20376.023"
"2022-04-29 12:22:30.947 GMT+09:00","19064.97"
"2022-04-29 12:22:31.104 GMT+09:00","19285.021"
"2022-04-29 12:22:31.265 GMT+09:00","20339.033"
"2022-04-29 12:22:31.426 GMT+09:00","21053.994"
"2022-04-29 12:22:31.586 GMT+09:00","21224.97"
"2022-04-29 12:22:31.746 GMT+09:00","21219.031"
"2022-04-29 12:22:31.907 GMT+09:00","22911.998"
"2022-04-29 12:22:32.067 GMT+09:00","23224.996"
"2022-04-29 12:22:32.225 GMT+09:00","22246.988"
"2022-04-29 12:22:32.389 GMT+09:00","20551.996"
"2022-04-29 12:22:32.547 GMT+09:00","18644.986"
"2022-04-29 12:22:32.707 GMT+09:00","16782.998"
"2022-04-29 12:22:32.865 GMT+09:00","16795.014"
"2022-04-29 12:22:33.025 GMT+09:00","18188.01"
"2022-04-29 12:22:33.189 GMT+09:00","17169.977"
"2022-04-29 12:22:33.346 GMT+09:00","15779.003"
"2022-04-29 12:22:33.509 GMT+09:00","15699.016"
"2022-04-29 12:22:33.665 GMT+09:00","14696.979"
"2022-04-29 12:22:33.825 GMT+09:00","13902.976"
"2022-04-29 12:22:33.991 GMT+09:00","12850.988"
"2022-04-29 12:22:34.145 GMT+09:00","12672.99"
"2022-04-29 12:22:34.307 GMT+09:00","11871.023"
"2022-04-29 12:22:34.465 GMT+09:00","12636.001"
"2022-04-29 12:22:34.626 GMT+09:00","12097.013"
"2022-04-29 12:22:34.785 GMT+09:00","12712.006"
"2022-04-29 12:22:34.944 GMT+09:00","12919.973"
"2022-04-29 12:22:35.106 GMT+09:00","13741.988"
"2022-04-29 12:22:35.265 GMT+09:00","14139.023"
"2022-04-29 12:22:35.425 GMT+09:00","14144.018"
"2022-04-29 12:22:35.586 GMT+09:00","15075.99"
"2022-04-29 12:22:35.747 GMT+09:00","17401.973"
"2022-04-29 12:22:35.906 GMT+09:00","18541.98"
"2022-04-29 12:22:36.066 GMT+09:00","19998.023"
"2022-04-29 12:22:36.227 GMT+09:00","22314.016"
"2022-04-29 12:22:36.386 GMT+09:00","21483.023"
"2022-04-29 12:22:36.549 GMT+09:00","19199.025"
"2022-04-29 12:22:36.706 GMT+09:00","18377.01"
"2022-04-29 12:22:36.866 GMT+09:00","17082.023"
"2022-04-29 12:22:37.025 GMT+09:00","17045.979"
"2022-04-29 12:22:37.186 GMT+09:00","19460.994"
"2022-04-29 12:22:37.346 GMT+09:00","20558.004"
"2022-04-29 12:22:37.506 GMT+09:00","20604.982"
"2022-04-29 12:22:37.664 GMT+09:00","19637.033"
"2022-04-29 12:22:37.825 GMT+09:00","18800.033"
"2022-04-29 12:22:37.986 GMT+09:00","17067.982"
"2022-04-29 12:22:38.150 GMT+09:00","18951.031"
"2022-04-29 12:22:38.306 GMT+09:00","19156.027"
"2022-04-29 12:22:38.465 GMT+09:00","19863.023"
"2022-04-29 12:22:38.627 GMT+09:00","20976.977"
"2022-04-29 12:22:38.786 GMT+09:00","21037.996"
"2022-04-29 12:22:38.945 GMT+09:00","23683.996"
"2022-04-29 12:22:39.106 GMT+09:00","24169.996"
"2022-04-29 12:22:39.266 GMT+09:00","23676.977"
"2022-04-29 12:22:39.427 GMT+09:00","22515.977"
"2022-04-29 12:22:39.586 GMT+09:00","21624.031"
"2022-04-29 12:22:39.765 GMT+09:00","22849.021"
"2022-04-29 12:22:39.907 GMT+09:00","22503.016"
"2022-04-29 12:22:40.067 GMT+09:00","22268.994"
"2022-04-29 12:22:40.228 GMT+09:00","21819.982"
"2022-04-29 12:22:40.387 GMT+09:00","21446.033"
"2022-04-29 12:22:40.547 GMT+09:00","23420.004"
"2022-04-29 12:22:40.706 GMT+09:00","24797.004"
"2022-04-29 12:22:40.866 GMT+09:00","22456.98"
"2022-04-29 12:22:41.027 GMT+09:00","20861.012"
"2022-04-29 12:22:41.186 GMT+09:00","20991.016"
"2022-04-29 12:22:41.347 GMT+09:00","22028.018"
"2022-04-29 12:22:41.507 GMT+09:00","21429.969"
"2022-04-29 12:22:41.666 GMT+09:00","21116.025"
"2022-04-29 12:22:41.825 GMT+09:00","20532.016"
"2022-04-29 12:22:41.987 GMT+09:00","20506.973"
"2022-04-29 12:22:42.146 GMT+09:00","22423.973"
"2022-04-29 12:22:42.306 GMT+09:00","22801.973"
"2022-04-29 12:22:42.466 GMT+09:00","23433.977"
"2022-04-29 12:22:42.627 GMT+09:00","22893.977"
"2022-04-29 12:22:42.787 GMT+09:00","22218.977"
"2022-04-29 12:22:42.968 GMT+09:00","21510.023"
"2022-04-29 12:22:43.107 GMT+09:00","23710.996"
"2022-04-29 12:22:43.266 GMT+09:00","23661.99"
