"time","x","y","z"
"2022-04-29 12:16:51.874 GMT+09:00","-0.38834614","1.168169","0.7853969"
"2022-04-29 12:16:52.077 GMT+09:00","-0.16469969","0.80670017","0.54021806"
"2022-04-29 12:16:52.289 GMT+09:00","0.060397524","0.37170056","0.4523324"
"2022-04-29 12:16:52.495 GMT+09:00","-0.30740887","1.1784008","1.1486219"
"2022-04-29 12:16:52.712 GMT+09:00","-1.6931158","1.366618","2.5964825"
"2022-04-29 12:16:52.917 GMT+09:00","1.6220286","-0.9554415","3.4810658"
"2022-04-29 12:16:53.123 GMT+09:00","0.229984","0.28977066","1.4255648"
"2022-04-29 12:16:53.332 GMT+09:00","-0.77936476","-0.22983128","-0.10911259"
"2022-04-29 12:16:53.542 GMT+09:00","-0.36811182","-0.18592663","-0.43835926"
"2022-04-29 12:16:53.754 GMT+09:00","-0.3425326","-0.056274302","-0.49165568"
"2022-04-29 12:16:53.959 GMT+09:00","0.047798797","0.064444385","0.21746163"
"2022-04-29 12:16:54.169 GMT+09:00","0.3219165","0.24075018","0.0027488125"
"2022-04-29 12:16:54.378 GMT+09:00","0.09666658","0.6081748","-0.23097663"
"2022-04-29 12:16:54.587 GMT+09:00","-0.122322164","0.64620006","0.32962844"
"2022-04-29 12:16:54.796 GMT+09:00","-0.32306185","0.2131857","0.29122144"
"2022-04-29 12:16:55.011 GMT+09:00","-0.28786176","-0.030313294","0.103385895"
"2022-04-29 12:16:55.214 GMT+09:00","-0.40063944","0.57045496","-0.36673743"
"2022-04-29 12:16:55.424 GMT+09:00","-0.14492351","0.5867188","0.048562355"
"2022-04-29 12:16:55.632 GMT+09:00","0.11903886","-0.2455606","0.009315421"
"2022-04-29 12:16:55.846 GMT+09:00","0.89382225","-1.1125056","0.24708772"
"2022-04-29 12:16:56.051 GMT+09:00","0.44553673","0.93039674","0.54991525"
"2022-04-29 12:16:56.261 GMT+09:00","0.31733516","0.2003579","0.7068266"
"2022-04-29 12:16:56.470 GMT+09:00","0.9103915","-0.63024163","1.0090433"
"2022-04-29 12:16:56.680 GMT+09:00","0.17271706","-0.55388576","0.092848785"
"2022-04-29 12:16:56.889 GMT+09:00","-0.105371155","-0.23265645","0.30534726"
"2022-04-29 12:16:57.097 GMT+09:00","0.40041038","-0.42927292","0.43408334"
"2022-04-29 12:16:57.307 GMT+09:00","0.4182013","-0.24388076","0.37345675"
"2022-04-29 12:16:57.516 GMT+09:00","0.42682952","-0.20799349","0.71873814"
"2022-04-29 12:16:57.724 GMT+09:00","0.41255096","0.19371493","0.033825666"
"2022-04-29 12:16:57.936 GMT+09:00","0.017027367","0.13988402","0.13881505"
"2022-04-29 12:16:58.143 GMT+09:00","0.11338852","0.40445724","-0.45866993"
"2022-04-29 12:16:58.352 GMT+09:00","-0.016034741","0.42041564","0.028633466"
"2022-04-29 12:16:58.562 GMT+09:00","-0.0036650836","-0.33321717","0.34558684"
"2022-04-29 12:16:58.771 GMT+09:00","0.4616478","0.002443389","0.24578966"
"2022-04-29 12:16:58.980 GMT+09:00","0.31107396","0.30137676","0.19600561"
"2022-04-29 12:16:59.189 GMT+09:00","-0.095597595","0.025579229","0.041537613"
"2022-04-29 12:16:59.399 GMT+09:00","-0.19905984","-0.037948888","-0.19768545"
"2022-04-29 12:16:59.607 GMT+09:00","0.8853468","0.3345916","-0.19249325"
"2022-04-29 12:16:59.816 GMT+09:00","0.08842014","-0.3250471","0.7679877"
"2022-04-29 12:17:00.026 GMT+09:00","-0.059023116","-0.1376697","0.67009944"
"2022-04-29 12:17:00.235 GMT+09:00","0.62000996","0.2738123","-0.027717194"
"2022-04-29 12:17:00.445 GMT+09:00","0.009086353","0.07780667","0.025884653"
"2022-04-29 12:17:00.655 GMT+09:00","-0.114304796","-0.03420745","-0.24044475"
"2022-04-29 12:17:00.870 GMT+09:00","0.34848836","0.29671904","0.2717507"
"2022-04-29 12:17:01.071 GMT+09:00","0.53892","0.18424681","0.6066477"
"2022-04-29 12:17:01.282 GMT+09:00","0.65750074","0.290916","0.6617003"
"2022-04-29 12:17:01.490 GMT+09:00","0.5298336","0.32894126","0.3553604"
"2022-04-29 12:17:01.699 GMT+09:00","-0.13774605","0.03749075","-0.08025006"
"2022-04-29 12:17:01.914 GMT+09:00","-0.61000735","-0.19753273","-0.35322243"
"2022-04-29 12:17:02.120 GMT+09:00","0.065589726","0.2673984","-0.330392"
"2022-04-29 12:17:02.326 GMT+09:00","0.13568445","-0.6218425","-0.2701472"
"2022-04-29 12:17:02.538 GMT+09:00","-0.43629766","-0.12843063","-0.0029778804"
"2022-04-29 12:17:02.748 GMT+09:00","0.099568106","0.08635853","0.15584241"
"2022-04-29 12:17:02.954 GMT+09:00","0.017790927","-0.016798299","0.4123219"
"2022-04-29 12:17:03.165 GMT+09:00","0.3212293","-0.53708744","0.9768975"
"2022-04-29 12:17:03.375 GMT+09:00","0.32779592","-0.024510246","-0.003436016"
"2022-04-29 12:17:03.581 GMT+09:00","0.0827698","-0.07910472","-0.3126011"
"2022-04-29 12:17:03.795 GMT+09:00","-0.49654245","-0.13079767","-0.38559732"
"2022-04-29 12:17:03.999 GMT+09:00","-0.21257484","0.076355904","-0.41812494"
"2022-04-29 12:17:04.210 GMT+09:00","0.021914145","0.2824405","0.014431266"
"2022-04-29 12:17:04.420 GMT+09:00","1.0169843","0.4911212","0.62092626"
"2022-04-29 12:17:04.627 GMT+09:00","0.87305343","0.55579466","1.1736666"
"2022-04-29 12:17:04.836 GMT+09:00","0.9048939","0.60344076","1.267279"
"2022-04-29 12:17:05.046 GMT+09:00","0.32985753","0.15882029","0.7958576"
"2022-04-29 12:17:05.256 GMT+09:00","0.39750886","-0.088114716","0.34642676"
"2022-04-29 12:17:05.465 GMT+09:00","0.88099444","-0.17867282","0.845718"
"2022-04-29 12:17:05.674 GMT+09:00","1.0517262","-0.08483142","1.0560786"
"2022-04-29 12:17:05.891 GMT+09:00","0.9897253","0.044439137","0.9614736"
"2022-04-29 12:17:06.093 GMT+09:00","0.7056049","0.122856654","0.804944"
"2022-04-29 12:17:06.302 GMT+09:00","0.56915694","0.13095038","0.3721587"
"2022-04-29 12:17:06.511 GMT+09:00","0.28633466","0.07200362","0.09200887"
"2022-04-29 12:17:06.719 GMT+09:00","0.04214846","0.22326468","0.0723854"
