"time","x","y","z"
"2022-04-29 12:19:07.961 GMT+09:00","1.8744774","6.532406","7.821539"
"2022-04-29 12:19:07.990 GMT+09:00","1.8816559","6.7740808","7.5580297"
"2022-04-29 12:19:07.991 GMT+09:00","1.8972093","6.59103","7.865806"
"2022-04-29 12:19:07.992 GMT+09:00","1.6555341","5.750551","8.592327"
"2022-04-29 12:19:08.054 GMT+09:00","1.7751753","6.350252","9.236296"
"2022-04-29 12:19:08.055 GMT+09:00","1.9630119","6.539584","9.501001"
"2022-04-29 12:19:08.055 GMT+09:00","1.9606191","5.7373905","9.713963"
"2022-04-29 12:19:08.137 GMT+09:00","1.7871394","5.2956157","10.552049"
"2022-04-29 12:19:08.138 GMT+09:00","2.8226335","5.7230334","9.196814"
"2022-04-29 12:19:08.139 GMT+09:00","2.260021","5.445466","7.453942"
"2022-04-29 12:19:08.139 GMT+09:00","3.2799616","6.6281185","7.346265"
"2022-04-29 12:19:08.211 GMT+09:00","2.8788648","6.0415783","7.9770727"
"2022-04-29 12:19:08.212 GMT+09:00","3.2739797","5.67757","8.427222"
"2022-04-29 12:19:08.213 GMT+09:00","1.8948164","4.922335","8.842676"
"2022-04-29 12:19:08.213 GMT+09:00","-0.23928227","4.3645086","8.822337"
"2022-04-29 12:19:08.337 GMT+09:00","0.36161533","3.313461","7.6803627"
"2022-04-29 12:19:08.338 GMT+09:00","1.3369896","4.0088754","6.6628146"
"2022-04-29 12:19:08.339 GMT+09:00","4.0651064","7.373782","6.6221366"
"2022-04-29 12:19:08.340 GMT+09:00","1.6651055","3.950251","6.611369"
"2022-04-29 12:19:08.341 GMT+09:00","1.1946167","4.595416","6.9786673"
"2022-04-29 12:19:08.341 GMT+09:00","1.4509479","4.2329035","8.509774"
"2022-04-29 12:19:08.349 GMT+09:00","0.8138588","3.5994034","7.8203425"
"2022-04-29 12:19:08.371 GMT+09:00","0.6332007","3.7767715","6.5682983"
"2022-04-29 12:19:08.534 GMT+09:00","1.218545","4.4039903","6.296414"
"2022-04-29 12:19:08.535 GMT+09:00","2.070988","4.8182473","7.0133634"
"2022-04-29 12:19:08.536 GMT+09:00","-0.44895336","3.5168512","8.366205"
"2022-04-29 12:19:08.537 GMT+09:00","-1.1623136","3.958626","8.032107"
"2022-04-29 12:19:08.538 GMT+09:00","-2.4921248","4.037589","6.771688"
"2022-04-29 12:19:08.539 GMT+09:00","-2.7185457","3.3182468","5.88096"
"2022-04-29 12:19:08.540 GMT+09:00","-2.2444677","3.6209388","5.8223357"
"2022-04-29 12:19:08.541 GMT+09:00","-1.6483557","4.377669","6.42443"
"2022-04-29 12:19:08.558 GMT+09:00","-1.7117655","5.016852","6.9858456"
"2022-04-29 12:19:08.688 GMT+09:00","-0.9062816","4.6408796","6.943971"
"2022-04-29 12:19:08.689 GMT+09:00","-0.4549354","4.3034916","6.927222"
"2022-04-29 12:19:08.690 GMT+09:00","-0.2536392","3.7480576","7.7425756"
"2022-04-29 12:19:08.690 GMT+09:00","0.18903299","3.996911","8.600702"
"2022-04-29 12:19:08.691 GMT+09:00","2.2755744","4.2508492","9.3765745"
"2022-04-29 12:19:08.692 GMT+09:00","5.4753766","4.147659","10.698011"
"2022-04-29 12:19:08.693 GMT+09:00","6.195915","3.0873394","12.954443"
"2022-04-29 12:19:08.701 GMT+09:00","4.074678","2.9458637","15.026628"
"2022-04-29 12:19:08.738 GMT+09:00","1.5550356","3.6317065","16.47967"
"2022-04-29 12:19:08.739 GMT+09:00","-1.0809577","2.908775","13.643875"
"2022-04-29 12:19:08.769 GMT+09:00","1.4198412","1.3298112","11.303694"
"2022-04-29 12:19:08.817 GMT+09:00","5.7840505","1.4676976","11.180464"
"2022-04-29 12:19:08.818 GMT+09:00","3.1830523","4.121338","11.042876"
"2022-04-29 12:19:08.818 GMT+09:00","-0.7516454","0.27158538","9.512965"
"2022-04-29 12:19:08.852 GMT+09:00","1.6220347","2.1954148","11.959627"
"2022-04-29 12:19:08.938 GMT+09:00","2.8836503","4.5535417","11.272588"
"2022-04-29 12:19:08.939 GMT+09:00","0.5518447","2.7113671","8.06441"
"2022-04-29 12:19:08.940 GMT+09:00","-1.6411772","2.8932216","7.6719875"
"2022-04-29 12:19:08.940 GMT+09:00","-1.7871394","1.7691933","9.256635"
"2022-04-29 12:19:08.941 GMT+09:00","-1.4054842","1.3369896","9.836296"
"2022-04-29 12:19:08.977 GMT+09:00","0.9194421","1.2771691","8.668898"
"2022-04-29 12:19:09.012 GMT+09:00","2.8836503","2.1966112","8.241778"
"2022-04-29 12:19:09.013 GMT+09:00","2.7125635","2.2217357","7.8921275"
"2022-04-29 12:19:09.076 GMT+09:00","1.9247267","2.1906292","7.4527454"
"2022-04-29 12:19:09.077 GMT+09:00","0.8042875","1.8972093","7.1895347"
"2022-04-29 12:19:09.078 GMT+09:00","0.37238303","1.6663018","7.213463"
"2022-04-29 12:19:09.078 GMT+09:00","1.0534402","1.4533406","7.568797"
"2022-04-29 12:19:09.137 GMT+09:00","1.8900307","1.2376875","8.198708"
"2022-04-29 12:19:09.138 GMT+09:00","1.9908284","1.5861423","9.066405"
"2022-04-29 12:19:09.139 GMT+09:00","1.7009978","1.2197413","10.37827"
"2022-04-29 12:19:09.172 GMT+09:00","1.582553","1.5514464","10.342378"
"2022-04-29 12:19:09.186 GMT+09:00","3.3613176","1.2711871","9.661321"
"2022-04-29 12:19:09.196 GMT+09:00","2.699403","2.6168506","9.796515"
"2022-04-29 12:19:09.215 GMT+09:00","2.926721","1.5490535","9.277272"
"2022-04-29 12:19:09.305 GMT+09:00","2.8716862","1.4700904","9.225528"
"2022-04-29 12:19:09.307 GMT+09:00","2.1834507","1.7428722","9.289237"
"2022-04-29 12:19:09.308 GMT+09:00","1.8266209","1.6435701","9.026923"
"2022-04-29 12:19:09.310 GMT+09:00","2.3198416","1.9331015","9.114262"
