"time","data"
"2022-04-29 12:21:23.335 GMT+09:00","5649.0"
"2022-04-29 12:21:23.493 GMT+09:00","5733.0"
"2022-04-29 12:21:23.653 GMT+09:00","5835.0"
"2022-04-29 12:21:23.817 GMT+09:00","5836.0"
"2022-04-29 12:21:23.976 GMT+09:00","6018.0"
"2022-04-29 12:21:24.134 GMT+09:00","6427.0"
"2022-04-29 12:21:24.291 GMT+09:00","7100.0"
"2022-04-29 12:21:24.452 GMT+09:00","7309.0"
"2022-04-29 12:21:24.613 GMT+09:00","7535.0"
"2022-04-29 12:21:24.775 GMT+09:00","7654.0"
"2022-04-29 12:21:24.931 GMT+09:00","7622.0"
"2022-04-29 12:21:25.094 GMT+09:00","7325.0"
"2022-04-29 12:21:25.260 GMT+09:00","7286.0"
"2022-04-29 12:21:25.416 GMT+09:00","7404.0"
"2022-04-29 12:21:25.573 GMT+09:00","7554.0"
"2022-04-29 12:21:25.733 GMT+09:00","7623.0"
"2022-04-29 12:21:25.894 GMT+09:00","7482.0"
"2022-04-29 12:21:26.056 GMT+09:00","7362.0"
"2022-04-29 12:21:26.216 GMT+09:00","7482.0"
"2022-04-29 12:21:26.375 GMT+09:00","7474.0"
"2022-04-29 12:21:26.534 GMT+09:00","7593.0"
"2022-04-29 12:21:26.697 GMT+09:00","7853.0"
"2022-04-29 12:21:26.856 GMT+09:00","8637.0"
"2022-04-29 12:21:27.012 GMT+09:00","8873.0"
"2022-04-29 12:21:27.173 GMT+09:00","8850.0"
"2022-04-29 12:21:27.332 GMT+09:00","8617.0"
"2022-04-29 12:21:27.496 GMT+09:00","8531.0"
"2022-04-29 12:21:27.652 GMT+09:00","8472.0"
"2022-04-29 12:21:27.814 GMT+09:00","8015.0"
"2022-04-29 12:21:27.975 GMT+09:00","8114.0"
"2022-04-29 12:21:28.132 GMT+09:00","8713.0"
"2022-04-29 12:21:28.292 GMT+09:00","9189.0"
"2022-04-29 12:21:28.453 GMT+09:00","9279.0"
"2022-04-29 12:21:28.613 GMT+09:00","9255.0"
"2022-04-29 12:21:28.773 GMT+09:00","9027.0"
"2022-04-29 12:21:28.931 GMT+09:00","9017.0"
"2022-04-29 12:21:29.092 GMT+09:00","8992.0"
"2022-04-29 12:21:29.253 GMT+09:00","9047.0"
"2022-04-29 12:21:29.417 GMT+09:00","9363.0"
"2022-04-29 12:21:29.576 GMT+09:00","9744.0"
"2022-04-29 12:21:29.731 GMT+09:00","9759.0"
"2022-04-29 12:21:29.899 GMT+09:00","9688.0"
"2022-04-29 12:21:30.059 GMT+09:00","9755.0"
"2022-04-29 12:21:30.217 GMT+09:00","10094.0"
"2022-04-29 12:21:30.375 GMT+09:00","10869.0"
"2022-04-29 12:21:30.537 GMT+09:00","11369.0"
"2022-04-29 12:21:30.693 GMT+09:00","11340.0"
"2022-04-29 12:21:30.858 GMT+09:00","11632.0"
"2022-04-29 12:21:31.013 GMT+09:00","12622.0"
"2022-04-29 12:21:31.173 GMT+09:00","12835.0"
"2022-04-29 12:21:31.339 GMT+09:00","12889.0"
"2022-04-29 12:21:31.500 GMT+09:00","12571.0"
"2022-04-29 12:21:31.654 GMT+09:00","11942.0"
"2022-04-29 12:21:31.813 GMT+09:00","12135.0"
"2022-04-29 12:21:31.977 GMT+09:00","12618.0"
"2022-04-29 12:21:32.093 GMT+09:00","12121.0"
"2022-04-29 12:21:32.252 GMT+09:00","12331.0"
"2022-04-29 12:21:32.417 GMT+09:00","13182.0"
"2022-04-29 12:21:32.579 GMT+09:00","13588.0"
"2022-04-29 12:21:32.738 GMT+09:00","13426.0"
"2022-04-29 12:21:32.894 GMT+09:00","13371.0"
"2022-04-29 12:21:33.052 GMT+09:00","14029.0"
"2022-04-29 12:21:33.222 GMT+09:00","14295.0"
"2022-04-29 12:21:33.382 GMT+09:00","14784.0"
"2022-04-29 12:21:33.533 GMT+09:00","14410.0"
"2022-04-29 12:21:33.693 GMT+09:00","14040.0"
"2022-04-29 12:21:33.854 GMT+09:00","13745.0"
"2022-04-29 12:21:34.017 GMT+09:00","13869.0"
"2022-04-29 12:21:34.178 GMT+09:00","14629.0"
"2022-04-29 12:21:34.332 GMT+09:00","14882.0"
"2022-04-29 12:21:34.491 GMT+09:00","15054.0"
"2022-04-29 12:21:34.662 GMT+09:00","15216.0"
"2022-04-29 12:21:34.817 GMT+09:00","14365.0"
"2022-04-29 12:21:34.974 GMT+09:00","14005.0"
"2022-04-29 12:21:35.136 GMT+09:00","13556.0"
"2022-04-29 12:21:35.291 GMT+09:00","12994.0"
"2022-04-29 12:21:35.456 GMT+09:00","12799.0"
"2022-04-29 12:21:35.616 GMT+09:00","12592.0"
"2022-04-29 12:21:35.777 GMT+09:00","12364.0"
"2022-04-29 12:21:35.933 GMT+09:00","11843.0"
"2022-04-29 12:21:36.093 GMT+09:00","11781.0"
"2022-04-29 12:21:36.256 GMT+09:00","12104.0"
"2022-04-29 12:21:36.421 GMT+09:00","12192.0"
"2022-04-29 12:21:36.577 GMT+09:00","11979.0"
"2022-04-29 12:21:36.735 GMT+09:00","11678.0"
