"time","x","y","z"
"2022-04-29 12:18:07.284 GMT+09:00","-0.08631253","0.055049352","-0.05474428"
"2022-04-29 12:18:07.445 GMT+09:00","-0.2343843","0.25318855","-0.20920762"
"2022-04-29 12:18:07.608 GMT+09:00","-0.32439914","0.13600945","-0.08830011"
"2022-04-29 12:18:07.770 GMT+09:00","-0.7190796","-0.011529677","0.39959103"
"2022-04-29 12:18:07.933 GMT+09:00","-0.96569043","-0.20487335","0.18919888"
"2022-04-29 12:18:08.094 GMT+09:00","-0.52413833","0.2952683","-0.8009644"
"2022-04-29 12:18:08.256 GMT+09:00","-0.410155","-0.60488015","-0.22731952"
"2022-04-29 12:18:08.421 GMT+09:00","0.40530494","-1.5748035","1.4233078"
"2022-04-29 12:18:08.585 GMT+09:00","0.29983366","0.6196502","2.7229187"
"2022-04-29 12:18:08.744 GMT+09:00","0.14377241","0.47583944","0.8368679"
"2022-04-29 12:18:08.906 GMT+09:00","0.1320545","-0.34867525","0.12047759"
"2022-04-29 12:18:09.070 GMT+09:00","0.04417018","0.286755","-0.29817134"
"2022-04-29 12:18:09.235 GMT+09:00","-0.42029068","-0.06850583","0.5556317"
"2022-04-29 12:18:09.389 GMT+09:00","-0.50231606","0.121111244","-0.08565755"
"2022-04-29 12:18:09.551 GMT+09:00","-0.3180253","-0.094604805","-0.084059656"
"2022-04-29 12:18:09.717 GMT+09:00","-0.31429687","-0.1787607","-0.23426194"
"2022-04-29 12:18:09.878 GMT+09:00","-0.0027097492","-0.1947373","-0.5229517"
"2022-04-29 12:18:10.037 GMT+09:00","0.0873051","0.2814359","-0.59379184"
"2022-04-29 12:18:10.199 GMT+09:00","-0.23387213","0.22444427","-0.18899135"
"2022-04-29 12:18:10.361 GMT+09:00","0.23537686","0.24415165","-0.1517071"
"2022-04-29 12:18:10.525 GMT+09:00","0.623127","-0.14306666","0.30954534"
"2022-04-29 12:18:10.685 GMT+09:00","0.45161945","-0.19313408","0.4480297"
"2022-04-29 12:18:10.849 GMT+09:00","-0.25252035","-0.47383124","0.2711958"
"2022-04-29 12:18:11.009 GMT+09:00","-0.24932456","0.35707504","0.25734738"
"2022-04-29 12:18:11.173 GMT+09:00","-0.047413867","0.49337366","0.08745247"
"2022-04-29 12:18:11.345 GMT+09:00","-0.31479526","0.1024216","-0.56448936"
"2022-04-29 12:18:11.496 GMT+09:00","-0.45807332","-0.06908598","0.11142092"
"2022-04-29 12:18:11.660 GMT+09:00","0.040470447","0.2478302","0.07573456"
"2022-04-29 12:18:11.821 GMT+09:00","-0.2519493","0.6057631","-0.20070697"
"2022-04-29 12:18:11.984 GMT+09:00","-0.47405693","0.28245538","-0.22414279"
"2022-04-29 12:18:12.148 GMT+09:00","-0.20667556","0.22120266","-0.2406544"
"2022-04-29 12:18:12.306 GMT+09:00","0.0159647","0.01880241","-0.066483654"
"2022-04-29 12:18:12.471 GMT+09:00","-0.04849209","-0.038714632","-0.02867639"
"2022-04-29 12:18:12.631 GMT+09:00","-0.015468894","-0.02859462","0.005412071"
"2022-04-29 12:18:12.797 GMT+09:00","0.23167245","-0.119674735","-0.12668072"
"2022-04-29 12:18:12.955 GMT+09:00","0.18799661","-0.12872948","-0.0899291"
"2022-04-29 12:18:13.118 GMT+09:00","-0.0048139165","-0.17027684","-0.35411197"
"2022-04-29 12:18:13.281 GMT+09:00","0.21090214","-0.17507052","-0.85958"
"2022-04-29 12:18:13.440 GMT+09:00","0.12621361","0.036384474","-0.9772917"
"2022-04-29 12:18:13.603 GMT+09:00","0.11928939","0.060352925","-1.28249"
"2022-04-29 12:18:13.765 GMT+09:00","-0.5678097","-0.67893755","-1.5168521"
"2022-04-29 12:18:13.926 GMT+09:00","-0.5896476","-0.028593604","-0.8361482"
"2022-04-29 12:18:14.088 GMT+09:00","-0.4426411","0.18232876","-0.7056533"
"2022-04-29 12:18:14.250 GMT+09:00","-0.26847038","0.040115956","-0.8473335"
"2022-04-29 12:18:14.415 GMT+09:00","-0.4895144","-0.029124767","-1.1402831"
