"time","x","y","z"
"2022-04-29 12:20:31.152 GMT+09:00","-0.8095166","4.703819","12.602593"
"2022-04-29 12:20:31.231 GMT+09:00","0.4167334","4.3254056","8.952583"
"2022-04-29 12:20:31.412 GMT+09:00","0.9627979","4.88105","5.5229154"
"2022-04-29 12:20:31.574 GMT+09:00","0.47900394","5.585186","9.972861"
"2022-04-29 12:20:31.737 GMT+09:00","0.9484278","5.829478","10.197993"
"2022-04-29 12:20:31.898 GMT+09:00","2.1650977","3.6931202","5.465435"
"2022-04-29 12:20:32.060 GMT+09:00","-0.28740236","6.10251","7.223379"
"2022-04-29 12:20:32.226 GMT+09:00","0.22992188","5.973179","8.214917"
"2022-04-29 12:20:32.388 GMT+09:00","0.1580713","6.0833497","9.283096"
"2022-04-29 12:20:32.554 GMT+09:00","-0.2203418","4.991221","8.650811"
"2022-04-29 12:20:32.710 GMT+09:00","1.0394385","4.430786","9.972861"
"2022-04-29 12:20:32.870 GMT+09:00","0.8286768","5.704937","7.9802055"
"2022-04-29 12:20:33.034 GMT+09:00","0.9388477","6.3899126","9.594449"
"2022-04-29 12:20:33.194 GMT+09:00","0.5556446","5.4510646","9.503438"
"2022-04-29 12:20:33.356 GMT+09:00","2.2561085","5.3792143","6.476133"
"2022-04-29 12:20:33.517 GMT+09:00","0.60833496","7.079678","6.212681"
"2022-04-29 12:20:33.680 GMT+09:00","-1.1879297","3.0416749","8.583751"
"2022-04-29 12:20:33.841 GMT+09:00","2.907554","2.5147705","9.254355"
"2022-04-29 12:20:34.006 GMT+09:00","6.5719337","2.672842","10.221944"
"2022-04-29 12:20:34.167 GMT+09:00","4.8139896","1.1783496","11.778707"
"2022-04-29 12:20:34.329 GMT+09:00","3.6691701","1.3986914","8.794512"
"2022-04-29 12:20:34.491 GMT+09:00","4.905","-2.572251","9.278306"
"2022-04-29 12:20:34.658 GMT+09:00","7.941885","0.45026368","9.254355"
"2022-04-29 12:20:34.814 GMT+09:00","5.733677","-2.2848487","7.055728"
"2022-04-29 12:20:34.975 GMT+09:00","5.1828227","0.16286133","8.133487"
"2022-04-29 12:20:35.137 GMT+09:00","6.8593364","0.033530276","6.2605815"
"2022-04-29 12:20:35.299 GMT+09:00","8.344249","-0.5508545","7.4820414"
"2022-04-29 12:20:35.461 GMT+09:00","7.32397","0.8334668","7.6257424"
"2022-04-29 12:20:35.623 GMT+09:00","5.977969","0.34009278","8.832832"
"2022-04-29 12:20:35.785 GMT+09:00","6.351592","-0.22513184","7.558682"
"2022-04-29 12:20:35.947 GMT+09:00","6.8832865","0.64186525","7.5155716"
"2022-04-29 12:20:36.115 GMT+09:00","7.424561","1.0681788","6.5240335"
"2022-04-29 12:20:36.271 GMT+09:00","9.259146","-0.23950197","9.848321"
"2022-04-29 12:20:36.434 GMT+09:00","5.4750147","-1.4705421","7.2521195"
"2022-04-29 12:20:36.595 GMT+09:00","7.2185893","0.50774413","7.065308"
"2022-04-29 12:20:36.762 GMT+09:00","7.0174074","0.5125342","5.8965383"
"2022-04-29 12:20:36.920 GMT+09:00","8.0999565","0.26345217","6.207891"
"2022-04-29 12:20:37.082 GMT+09:00","8.487949","0.22992188","7.783814"
"2022-04-29 12:20:37.245 GMT+09:00","8.047266","0.57959473","7.0365677"
"2022-04-29 12:20:37.406 GMT+09:00","6.09772","1.8058448","8.195757"
"2022-04-29 12:20:37.569 GMT+09:00","5.508545","0.7424561","7.692803"
"2022-04-29 12:20:37.732 GMT+09:00","7.6209526","0.5029541","7.213799"
"2022-04-29 12:20:37.891 GMT+09:00","6.7683253","0.34009278","8.717872"
"2022-04-29 12:20:38.057 GMT+09:00","4.5601172","-1.5184424","11.232642"
"2022-04-29 12:20:38.217 GMT+09:00","6.1216702","-0.023950197","8.914263"
"2022-04-29 12:20:38.379 GMT+09:00","6.6916847","0.6610254","7.6496925"
"2022-04-29 12:20:38.541 GMT+09:00","6.557564","-0.06227051","6.6677346"
"2022-04-29 12:20:38.702 GMT+09:00","7.4580913","0.90052736","8.602911"
"2022-04-29 12:20:38.865 GMT+09:00","5.6570363","0.17244141","9.019644"
"2022-04-29 12:20:39.029 GMT+09:00","5.1876125","0.6945557","10.811119"
"2022-04-29 12:20:39.188 GMT+09:00","5.910908","0.42152345","7.117998"
"2022-04-29 12:20:39.351 GMT+09:00","6.8832865","0.46463382","8.425679"
"2022-04-29 12:20:39.513 GMT+09:00","5.752837","-0.44547364","9.493857"
"2022-04-29 12:20:39.676 GMT+09:00","6.3851223","-1.9734962","7.879615"
"2022-04-29 12:20:39.841 GMT+09:00","6.06419","1.590293","8.50711"
"2022-04-29 12:20:39.998 GMT+09:00","6.725215","-0.3065625","7.563472"
"2022-04-29 12:20:40.161 GMT+09:00","6.13604","0.8047266","11.620635"
"2022-04-29 12:20:40.323 GMT+09:00","4.1098537","0.8430469","10.001602"
