"time","data"
"2022-04-29 12:25:27.888 GMT+09:00","12456.724"
"2022-04-29 12:25:28.087 GMT+09:00","11961.604"
"2022-04-29 12:25:28.286 GMT+09:00","12025.576"
"2022-04-29 12:25:28.486 GMT+09:00","14895.903"
"2022-04-29 12:25:28.685 GMT+09:00","12687.091"
"2022-04-29 12:25:29.087 GMT+09:00","13143.214"
"2022-04-29 12:25:29.282 GMT+09:00","11440.813"
"2022-04-29 12:25:29.481 GMT+09:00","11449.524"
"2022-04-29 12:25:29.681 GMT+09:00","12776.192"
"2022-04-29 12:25:29.879 GMT+09:00","12162.469"
"2022-04-29 12:25:30.084 GMT+09:00","11963.749"
"2022-04-29 12:25:30.278 GMT+09:00","11848.19"
"2022-04-29 12:25:30.477 GMT+09:00","11799.805"
"2022-04-29 12:25:30.676 GMT+09:00","12813.28"
"2022-04-29 12:25:30.877 GMT+09:00","12532.688"
"2022-04-29 12:25:31.077 GMT+09:00","12178.3955"
"2022-04-29 12:25:31.275 GMT+09:00","12224.943"
"2022-04-29 12:25:31.481 GMT+09:00","12226.717"
"2022-04-29 12:25:31.675 GMT+09:00","12619.663"
"2022-04-29 12:25:31.874 GMT+09:00","12684.453"
"2022-04-29 12:25:32.074 GMT+09:00","12857.719"
"2022-04-29 12:25:32.272 GMT+09:00","12573.182"
"2022-04-29 12:25:32.471 GMT+09:00","12725.352"
"2022-04-29 12:25:32.675 GMT+09:00","12662.268"
"2022-04-29 12:25:32.871 GMT+09:00","12453.198"
"2022-04-29 12:25:33.071 GMT+09:00","12323.762"
"2022-04-29 12:25:33.268 GMT+09:00","11983.689"
"2022-04-29 12:25:33.469 GMT+09:00","12188.125"
"2022-04-29 12:25:33.665 GMT+09:00","12605.849"
"2022-04-29 12:25:33.874 GMT+09:00","12609.458"
"2022-04-29 12:25:34.065 GMT+09:00","12667.1"
"2022-04-29 12:25:34.263 GMT+09:00","12731.885"
"2022-04-29 12:25:34.464 GMT+09:00","12871.741"
"2022-04-29 12:25:34.662 GMT+09:00","12828.594"
"2022-04-29 12:25:34.861 GMT+09:00","12440.339"
"2022-04-29 12:25:35.060 GMT+09:00","11787.553"
