"time","x","y","z"
"2022-04-29 12:16:41.810 GMT+09:00","5.18076","3.8581274","8.889337"
"2022-04-29 12:16:41.816 GMT+09:00","4.8828535","3.5635111","9.165708"
"2022-04-29 12:16:41.900 GMT+09:00","4.339384","3.3050864","9.251849"
"2022-04-29 12:16:41.903 GMT+09:00","3.7995033","3.2105699","9.0747795"
"2022-04-29 12:16:41.907 GMT+09:00","3.3338","3.557529","9.152547"
"2022-04-29 12:16:41.911 GMT+09:00","3.1902308","3.993322","9.18126"
"2022-04-29 12:16:41.914 GMT+09:00","3.4929228","4.2652063","8.760123"
"2022-04-29 12:16:41.916 GMT+09:00","3.9335012","4.3812585","7.8610206"
"2022-04-29 12:16:41.920 GMT+09:00","4.362116","4.5355954","6.9906316"
"2022-04-29 12:16:41.961 GMT+09:00","4.6468616","4.6205406","6.3047886"
"2022-04-29 12:16:41.963 GMT+09:00","4.8900323","4.587041","5.846264"
"2022-04-29 12:16:41.966 GMT+09:00","5.0539403","4.516453","5.6440706"
"2022-04-29 12:16:42.006 GMT+09:00","5.2609196","4.5008993","5.5686965"
"2022-04-29 12:16:42.011 GMT+09:00","5.262116","4.534399","5.596214"
"2022-04-29 12:16:42.162 GMT+09:00","5.089833","4.6552362","5.9494543"
"2022-04-29 12:16:42.166 GMT+09:00","5.0491548","4.759324","6.465407"
"2022-04-29 12:16:42.170 GMT+09:00","5.144868","4.9342995","7.0232334"
"2022-04-29 12:16:42.173 GMT+09:00","5.1329036","4.918746","7.422835"
"2022-04-29 12:16:42.177 GMT+09:00","4.9881377","4.723432","7.4886374"
"2022-04-29 12:16:42.180 GMT+09:00","4.627719","4.5523453","7.673184"
"2022-04-29 12:16:42.184 GMT+09:00","4.084249","4.766503","7.998608"
"2022-04-29 12:16:42.187 GMT+09:00","3.577868","5.064708","7.9686975"
"2022-04-29 12:16:42.256 GMT+09:00","3.141178","5.07069","7.6827555"
"2022-04-29 12:16:42.259 GMT+09:00","2.5701907","4.82064","7.5580297"
"2022-04-29 12:16:42.263 GMT+09:00","1.9944177","4.705486","8.318349"
"2022-04-29 12:16:42.268 GMT+09:00","1.6363916","4.6121655","9.568001"
"2022-04-29 12:16:42.272 GMT+09:00","1.1096715","4.465007","10.708778"
"2022-04-29 12:16:42.362 GMT+09:00","0.9589237","4.4841495","11.064412"
"2022-04-29 12:16:42.365 GMT+09:00","1.5586249","5.309973","10.589137"
"2022-04-29 12:16:42.368 GMT+09:00","1.2604194","5.7673006","9.311969"
"2022-04-29 12:16:42.370 GMT+09:00","0.6559325","5.235795","6.9224358"
"2022-04-29 12:16:42.373 GMT+09:00","-0.14237295","4.8266225","5.408377"
"2022-04-29 12:16:42.376 GMT+09:00","-0.86081797","4.6289153","7.012167"
"2022-04-29 12:16:42.382 GMT+09:00","-0.5901299","4.5834517","10.050453"
"2022-04-29 12:16:42.422 GMT+09:00","-0.10887343","4.703093","11.586347"
"2022-04-29 12:16:42.425 GMT+09:00","-0.44656053","4.894818","10.402497"
"2022-04-29 12:16:42.502 GMT+09:00","-1.1120644","5.1568317","7.8335032"
"2022-04-29 12:16:42.505 GMT+09:00","-1.4928222","5.229813","6.8685975"
"2022-04-29 12:16:42.507 GMT+09:00","-1.7285153","5.0623155","7.7437725"
"2022-04-29 12:16:42.509 GMT+09:00","-1.1180464","5.0383873","8.569595"
"2022-04-29 12:16:42.542 GMT+09:00","-0.03708875","4.894818","8.815159"
"2022-04-29 12:16:42.544 GMT+09:00","0.77318084","4.7198424","8.69791"
"2022-04-29 12:16:42.561 GMT+09:00","0.72053874","4.735396","8.221439"
"2022-04-29 12:16:42.756 GMT+09:00","0.22013968","5.308776","7.813164"
"2022-04-29 12:16:42.758 GMT+09:00","-0.38793638","5.7170515","7.4599237"
"2022-04-29 12:16:42.761 GMT+09:00","-0.99960166","5.4311094","7.1189466"
