"time","x","y","z"
"2022-04-29 12:20:05.349 GMT+09:00","-0.14881766","0.1681357","0.19875443"
"2022-04-29 12:20:05.545 GMT+09:00","-0.1913479","0.28198236","0.8173136"
"2022-04-29 12:20:05.754 GMT+09:00","0.6251258","0.37261683","2.2783077"
"2022-04-29 12:20:05.953 GMT+09:00","0.42942563","0.10689827","2.405211"
"2022-04-29 12:20:06.157 GMT+09:00","-0.26663482","-0.4142308","1.7149537"
"2022-04-29 12:20:06.362 GMT+09:00","-0.12736166","0.17271706","0.07902836"
"2022-04-29 12:20:06.574 GMT+09:00","-0.29435202","-0.49936762","0.02985516"
"2022-04-29 12:20:06.778 GMT+09:00","-0.1021642","-1.0621107","-0.026037365"
"2022-04-29 12:20:06.979 GMT+09:00","0.15744588","0.7690567","0.29832253"
"2022-04-29 12:20:07.186 GMT+09:00","0.4005631","0.0038941512","0.2287623"
"2022-04-29 12:20:07.386 GMT+09:00","0.24991289","0.33153734","6.8720314E-4"
"2022-04-29 12:20:07.588 GMT+09:00","0.519831","-0.4580591","-0.110868774"
"2022-04-29 12:20:07.793 GMT+09:00","0.007864659","0.14179292","-0.24403349"
"2022-04-29 12:20:08.011 GMT+09:00","-0.053067356","0.22547899","0.16699037"
"2022-04-29 12:20:08.202 GMT+09:00","-0.112624966","-0.055739813","0.48478365"
"2022-04-29 12:20:08.408 GMT+09:00","-0.16492876","0.28076068","0.23265645"
"2022-04-29 12:20:08.617 GMT+09:00","-0.38956785","0.013744064","0.13201937"
"2022-04-29 12:20:08.849 GMT+09:00","0.24265908","-0.780281","0.0015271181"
"2022-04-29 12:20:09.034 GMT+09:00","0.41774318","0.5727457","0.58679515"
"2022-04-29 12:20:09.244 GMT+09:00","0.06161922","0.046042614","-0.076966755"
"2022-04-29 12:20:09.428 GMT+09:00","0.6471163","0.1816507","-0.024662958"
"2022-04-29 12:20:09.633 GMT+09:00","0.79738474","0.053601846","0.083075225"
"2022-04-29 12:20:09.858 GMT+09:00","0.1504975","-0.0011453386","-0.15469708"
"2022-04-29 12:20:10.059 GMT+09:00","-0.13606623","0.19088978","-0.059252184"
"2022-04-29 12:20:10.246 GMT+09:00","-0.21570544","-0.027488127","-0.05971032"
"2022-04-29 12:20:10.448 GMT+09:00","-0.60130274","0.08880192","-0.11766446"
"2022-04-29 12:20:10.654 GMT+09:00","-0.48440188","-0.41354358","-0.1227803"
"2022-04-29 12:20:10.862 GMT+09:00","0.14118208","-0.25831205","-0.12171131"
"2022-04-29 12:20:11.061 GMT+09:00","-0.27717194","0.1847813","-0.34482327"
"2022-04-29 12:20:11.265 GMT+09:00","0.18951537","0.40980217","-0.24296449"
"2022-04-29 12:20:11.469 GMT+09:00","0.18233791","0.375442","-0.48829603"
"2022-04-29 12:20:11.689 GMT+09:00","0.1026987","-0.2914505","-0.46569467"
"2022-04-29 12:20:11.880 GMT+09:00","-0.41911757","-0.3846047","-0.3122193"
"2022-04-29 12:20:12.085 GMT+09:00","-0.105371155","0.05764871","-0.19928892"
"2022-04-29 12:20:12.288 GMT+09:00","-0.28526568","0.10949437","-0.3548259"
"2022-04-29 12:20:12.496 GMT+09:00","-0.25747213","-0.20860434","0.06757498"
"2022-04-29 12:20:12.699 GMT+09:00","-0.18844637","-0.26716933","0.14622156"
"2022-04-29 12:20:12.902 GMT+09:00","0.22021043","-0.2583884","0.41361994"
"2022-04-29 12:20:13.105 GMT+09:00","0.490434","0.36490488","0.675368"
"2022-04-29 12:20:13.326 GMT+09:00","0.645971","0.09689565","0.8052494"
"2022-04-29 12:20:13.515 GMT+09:00","0.7873058","-0.02687728","0.48447824"
"2022-04-29 12:20:13.719 GMT+09:00","0.8919897","0.3441361","0.58213747"
"2022-04-29 12:20:13.922 GMT+09:00","0.31458634","0.19760908","0.32497075"
"2022-04-29 12:20:14.127 GMT+09:00","0.6485671","-0.34558684","0.4945572"
"2022-04-29 12:20:14.340 GMT+09:00","0.67307734","0.255945","0.94146836"
"2022-04-29 12:20:14.535 GMT+09:00","0.48249298","-0.15416257","1.1667182"
"2022-04-29 12:20:14.763 GMT+09:00","0.07108735","-0.13095038","0.4670691"
"2022-04-29 12:20:14.953 GMT+09:00","0.6423059","-0.353986","0.9642224"
"2022-04-29 12:20:15.148 GMT+09:00","0.8315922","0.279539","0.74905145"
"2022-04-29 12:20:15.351 GMT+09:00","1.3130162","0.109265305","0.9436827"
"2022-04-29 12:20:15.557 GMT+09:00","0.69949645","0.27182704","0.31977853"
"2022-04-29 12:20:15.784 GMT+09:00","0.5057052","-0.14438902","-0.04833329"
"2022-04-29 12:20:15.977 GMT+09:00","-0.26831466","-0.03993414","0.1880646"
"2022-04-29 12:20:16.170 GMT+09:00","0.37933615","0.3309265","0.12270394"
"2022-04-29 12:20:16.392 GMT+09:00","0.38765895","-0.05070032","0.40934402"
"2022-04-29 12:20:16.578 GMT+09:00","-0.41048935","0.109188944","-0.092237934"
"2022-04-29 12:20:16.797 GMT+09:00","-0.9952993","-0.28228778","-0.1182753"
"2022-04-29 12:20:16.987 GMT+09:00","0.12690352","-0.6116872","0.52876467"
"2022-04-29 12:20:17.206 GMT+09:00","0.56312484","-0.02367033","0.55075514"
"2022-04-29 12:20:17.400 GMT+09:00","0.66483086","0.24487339","0.30420193"
"2022-04-29 12:20:17.598 GMT+09:00","0.20180866","0.21952324","-0.176993"
