"time","data"
"2022-04-29 12:23:27.570 GMT+09:00","18134.0"
"2022-04-29 12:23:27.818 GMT+09:00","18221.0"
"2022-04-29 12:23:28.073 GMT+09:00","18164.0"
"2022-04-29 12:23:28.325 GMT+09:00","17724.0"
"2022-04-29 12:23:28.567 GMT+09:00","16653.0"
"2022-04-29 12:23:28.820 GMT+09:00","14545.0"
"2022-04-29 12:23:29.074 GMT+09:00","12575.0"
"2022-04-29 12:23:29.322 GMT+09:00","12799.0"
"2022-04-29 12:23:29.569 GMT+09:00","13107.0"
"2022-04-29 12:23:29.821 GMT+09:00","13510.0"
"2022-04-29 12:23:30.070 GMT+09:00","12825.0"
"2022-04-29 12:23:30.319 GMT+09:00","12189.0"
"2022-04-29 12:23:30.571 GMT+09:00","11176.0"
"2022-04-29 12:23:30.828 GMT+09:00","10686.0"
"2022-04-29 12:23:31.078 GMT+09:00","10616.0"
"2022-04-29 12:23:31.332 GMT+09:00","10337.0"
"2022-04-29 12:23:31.588 GMT+09:00","11007.0"
"2022-04-29 12:23:31.826 GMT+09:00","12129.0"
"2022-04-29 12:23:32.072 GMT+09:00","12186.0"
"2022-04-29 12:23:32.337 GMT+09:00","11975.0"
"2022-04-29 12:23:32.579 GMT+09:00","11805.0"
"2022-04-29 12:23:32.819 GMT+09:00","11322.0"
"2022-04-29 12:23:33.095 GMT+09:00","10972.0"
"2022-04-29 12:23:33.321 GMT+09:00","11616.0"
"2022-04-29 12:23:33.573 GMT+09:00","13323.0"
"2022-04-29 12:23:33.826 GMT+09:00","15346.0"
"2022-04-29 12:23:34.074 GMT+09:00","16330.0"
"2022-04-29 12:23:34.320 GMT+09:00","16357.0"
"2022-04-29 12:23:34.569 GMT+09:00","15401.0"
"2022-04-29 12:23:34.824 GMT+09:00","13358.0"
"2022-04-29 12:23:35.069 GMT+09:00","13011.0"
"2022-04-29 12:23:35.319 GMT+09:00","14727.0"
"2022-04-29 12:23:35.577 GMT+09:00","15439.0"
"2022-04-29 12:23:35.844 GMT+09:00","14909.0"
"2022-04-29 12:23:36.079 GMT+09:00","14816.0"
"2022-04-29 12:23:36.331 GMT+09:00","14303.0"
"2022-04-29 12:23:36.576 GMT+09:00","12452.0"
"2022-04-29 12:23:36.819 GMT+09:00","11974.0"
"2022-04-29 12:23:37.071 GMT+09:00","13098.0"
"2022-04-29 12:23:37.321 GMT+09:00","13546.0"
"2022-04-29 12:23:37.383 GMT+09:00","12904.0"
"2022-04-29 12:23:37.636 GMT+09:00","14278.0"
"2022-04-29 12:23:37.883 GMT+09:00","14449.0"
"2022-04-29 12:23:38.158 GMT+09:00","14549.0"
"2022-04-29 12:23:38.388 GMT+09:00","13275.0"
"2022-04-29 12:23:38.633 GMT+09:00","13107.0"
"2022-04-29 12:23:38.906 GMT+09:00","15782.0"
"2022-04-29 12:23:39.132 GMT+09:00","15961.0"
"2022-04-29 12:23:39.388 GMT+09:00","15937.0"
"2022-04-29 12:23:39.632 GMT+09:00","15414.0"
"2022-04-29 12:23:39.884 GMT+09:00","15184.0"
"2022-04-29 12:23:40.133 GMT+09:00","16809.0"
"2022-04-29 12:23:40.383 GMT+09:00","20761.0"
"2022-04-29 12:23:40.637 GMT+09:00","20384.0"
"2022-04-29 12:23:40.893 GMT+09:00","18465.0"
"2022-04-29 12:23:41.133 GMT+09:00","9740.0"
"2022-04-29 12:23:41.389 GMT+09:00","7578.0"
"2022-04-29 12:23:41.651 GMT+09:00","7379.0"
"2022-04-29 12:23:41.882 GMT+09:00","8148.0"
"2022-04-29 12:23:42.133 GMT+09:00","11225.0"
"2022-04-29 12:23:42.386 GMT+09:00","12765.0"
"2022-04-29 12:23:42.633 GMT+09:00","12039.0"
"2022-04-29 12:23:42.902 GMT+09:00","10222.0"
"2022-04-29 12:23:43.133 GMT+09:00","10703.0"
"2022-04-29 12:23:43.383 GMT+09:00","11691.0"
"2022-04-29 12:23:43.633 GMT+09:00","10966.0"
"2022-04-29 12:23:43.884 GMT+09:00","10466.0"
"2022-04-29 12:23:44.139 GMT+09:00","11450.0"
"2022-04-29 12:23:44.393 GMT+09:00","14027.0"
"2022-04-29 12:23:44.633 GMT+09:00","14931.0"
"2022-04-29 12:23:44.883 GMT+09:00","13913.0"
"2022-04-29 12:23:45.152 GMT+09:00","13725.0"
"2022-04-29 12:23:45.384 GMT+09:00","14073.0"
"2022-04-29 12:23:45.651 GMT+09:00","13321.0"
"2022-04-29 12:23:45.910 GMT+09:00","12138.0"
"2022-04-29 12:23:46.133 GMT+09:00","12361.0"
"2022-04-29 12:23:46.386 GMT+09:00","14237.0"
"2022-04-29 12:23:46.632 GMT+09:00","15321.0"
"2022-04-29 12:23:46.894 GMT+09:00","15049.0"
"2022-04-29 12:23:47.133 GMT+09:00","13983.0"
"2022-04-29 12:23:47.383 GMT+09:00","11566.0"
"2022-04-29 12:23:47.445 GMT+09:00","11187.0"
"2022-04-29 12:23:47.695 GMT+09:00","11664.0"
"2022-04-29 12:23:47.954 GMT+09:00","11889.0"
"2022-04-29 12:23:48.226 GMT+09:00","12068.0"
"2022-04-29 12:23:48.451 GMT+09:00","12622.0"
"2022-04-29 12:23:48.714 GMT+09:00","13271.0"
"2022-04-29 12:23:48.946 GMT+09:00","14413.0"
"2022-04-29 12:23:49.196 GMT+09:00","15692.0"
"2022-04-29 12:23:49.444 GMT+09:00","15912.0"
"2022-04-29 12:23:49.694 GMT+09:00","14931.0"
"2022-04-29 12:23:49.953 GMT+09:00","14308.0"
"2022-04-29 12:23:50.227 GMT+09:00","14899.0"
"2022-04-29 12:23:50.447 GMT+09:00","15746.0"
"2022-04-29 12:23:50.695 GMT+09:00","16195.0"
"2022-04-29 12:23:50.956 GMT+09:00","14516.0"
"2022-04-29 12:23:51.195 GMT+09:00","13383.0"
"2022-04-29 12:23:51.448 GMT+09:00","8820.0"
"2022-04-29 12:23:51.696 GMT+09:00","8193.0"
"2022-04-29 12:23:51.945 GMT+09:00","11031.0"
"2022-04-29 12:23:52.195 GMT+09:00","13534.0"
"2022-04-29 12:23:52.444 GMT+09:00","15034.0"
"2022-04-29 12:23:52.697 GMT+09:00","14549.0"
"2022-04-29 12:23:52.954 GMT+09:00","9692.0"
"2022-04-29 12:23:53.196 GMT+09:00","9949.0"
"2022-04-29 12:23:53.454 GMT+09:00","12683.0"
"2022-04-29 12:23:53.694 GMT+09:00","12931.0"
"2022-04-29 12:23:53.955 GMT+09:00","12449.0"
"2022-04-29 12:23:54.195 GMT+09:00","12189.0"
"2022-04-29 12:23:54.444 GMT+09:00","11430.0"
"2022-04-29 12:23:54.694 GMT+09:00","11128.0"
"2022-04-29 12:23:54.949 GMT+09:00","12299.0"
"2022-04-29 12:23:55.196 GMT+09:00","13771.0"
"2022-04-29 12:23:55.452 GMT+09:00","14301.0"
"2022-04-29 12:23:55.699 GMT+09:00","14091.0"
"2022-04-29 12:23:55.959 GMT+09:00","13455.0"
"2022-04-29 12:23:56.194 GMT+09:00","11928.0"
"2022-04-29 12:23:56.450 GMT+09:00","12420.0"
"2022-04-29 12:23:56.695 GMT+09:00","13484.0"
"2022-04-29 12:23:56.953 GMT+09:00","13888.0"
"2022-04-29 12:23:57.201 GMT+09:00","12522.0"
"2022-04-29 12:23:57.456 GMT+09:00","9792.0"
"2022-04-29 12:23:57.508 GMT+09:00","8893.0"
"2022-04-29 12:23:57.758 GMT+09:00","10772.0"
"2022-04-29 12:23:58.011 GMT+09:00","10926.0"
"2022-04-29 12:23:58.270 GMT+09:00","11640.0"
"2022-04-29 12:23:58.514 GMT+09:00","12085.0"
"2022-04-29 12:23:58.757 GMT+09:00","12059.0"
"2022-04-29 12:23:59.026 GMT+09:00","10812.0"
"2022-04-29 12:23:59.257 GMT+09:00","10722.0"
"2022-04-29 12:23:59.507 GMT+09:00","12176.0"
"2022-04-29 12:23:59.774 GMT+09:00","12705.0"
"2022-04-29 12:24:00.008 GMT+09:00","15131.0"
"2022-04-29 12:24:00.268 GMT+09:00","14069.0"
"2022-04-29 12:24:00.508 GMT+09:00","7886.0"
"2022-04-29 12:24:00.764 GMT+09:00","9049.0"
"2022-04-29 12:24:01.007 GMT+09:00","10849.0"
"2022-04-29 12:24:01.264 GMT+09:00","10532.0"
"2022-04-29 12:24:01.506 GMT+09:00","10136.0"
"2022-04-29 12:24:01.761 GMT+09:00","10011.0"
"2022-04-29 12:24:02.006 GMT+09:00","9971.0"
"2022-04-29 12:24:02.290 GMT+09:00","10582.0"
"2022-04-29 12:24:02.515 GMT+09:00","12634.0"
"2022-04-29 12:24:02.772 GMT+09:00","14326.0"
"2022-04-29 12:24:03.011 GMT+09:00","15011.0"
"2022-04-29 12:24:03.258 GMT+09:00","14303.0"
"2022-04-29 12:24:03.508 GMT+09:00","13455.0"
"2022-04-29 12:24:03.757 GMT+09:00","12928.0"
"2022-04-29 12:24:04.007 GMT+09:00","14303.0"
"2022-04-29 12:24:04.257 GMT+09:00","17356.0"
"2022-04-29 12:24:04.518 GMT+09:00","17714.0"
"2022-04-29 12:24:04.761 GMT+09:00","17823.0"
"2022-04-29 12:24:05.007 GMT+09:00","20164.0"
"2022-04-29 12:24:05.260 GMT+09:00","21637.0"
"2022-04-29 12:24:05.509 GMT+09:00","21494.0"
"2022-04-29 12:24:05.763 GMT+09:00","21525.0"
"2022-04-29 12:24:06.007 GMT+09:00","21986.0"
"2022-04-29 12:24:06.257 GMT+09:00","22924.0"
"2022-04-29 12:24:06.507 GMT+09:00","24671.0"
"2022-04-29 12:24:06.757 GMT+09:00","25091.0"
"2022-04-29 12:24:07.008 GMT+09:00","24691.0"
"2022-04-29 12:24:07.264 GMT+09:00","24252.0"
"2022-04-29 12:24:07.507 GMT+09:00","24522.0"
"2022-04-29 12:24:07.571 GMT+09:00","25139.0"
"2022-04-29 12:24:07.820 GMT+09:00","24454.0"
"2022-04-29 12:24:08.071 GMT+09:00","24417.0"
"2022-04-29 12:24:08.340 GMT+09:00","24205.0"
"2022-04-29 12:24:08.570 GMT+09:00","22782.0"
"2022-04-29 12:24:08.825 GMT+09:00","22393.0"
"2022-04-29 12:24:09.070 GMT+09:00","22856.0"
"2022-04-29 12:24:09.320 GMT+09:00","23017.0"
"2022-04-29 12:24:09.577 GMT+09:00","22837.0"
"2022-04-29 12:24:09.820 GMT+09:00","22622.0"
"2022-04-29 12:24:10.070 GMT+09:00","22308.0"
"2022-04-29 12:24:10.319 GMT+09:00","21123.0"
"2022-04-29 12:24:10.569 GMT+09:00","21007.0"
"2022-04-29 12:24:10.834 GMT+09:00","21860.0"
"2022-04-29 12:24:11.091 GMT+09:00","22039.0"
"2022-04-29 12:24:11.319 GMT+09:00","21101.0"
"2022-04-29 12:24:11.577 GMT+09:00","21503.0"
