"time","x","y","z"
"2022-04-29 12:17:52.305 GMT+09:00","-1.6528486","0.8452084","0.5622251"
"2022-04-29 12:17:52.486 GMT+09:00","0.5865834","-0.51518846","1.5084554"
"2022-04-29 12:17:52.666 GMT+09:00","-0.25702155","-0.85299695","-0.44875687"
"2022-04-29 12:17:52.855 GMT+09:00","-0.5850562","0.32963815","-0.01198823"
"2022-04-29 12:17:53.023 GMT+09:00","-1.1898128","-0.96356356","2.2928064"
"2022-04-29 12:17:53.202 GMT+09:00","-0.16783522","-1.0124328","0.85360783"
"2022-04-29 12:17:53.382 GMT+09:00","0.3996586","0.45303294","0.98311126"
"2022-04-29 12:17:53.562 GMT+09:00","0.42287147","0.22823453","0.44310638"
"2022-04-29 12:17:53.742 GMT+09:00","-0.065209866","0.5807038","0.6905068"
"2022-04-29 12:17:53.923 GMT+09:00","-0.07376198","0.5452736","0.16638441"
"2022-04-29 12:17:54.102 GMT+09:00","-0.23380867","-0.09002627","0.72960216"
"2022-04-29 12:17:54.282 GMT+09:00","-0.22831088","-0.69295025","0.5200754"
"2022-04-29 12:17:54.472 GMT+09:00","-0.16905695","0.26610819","-0.39438987"
"2022-04-29 12:17:54.651 GMT+09:00","-0.44089198","-0.107741356","-0.66072714"
"2022-04-29 12:17:54.831 GMT+09:00","-0.28817567","0.3552945","0.020387627"
"2022-04-29 12:17:55.006 GMT+09:00","0.45891252","-0.24335344","0.38018724"
"2022-04-29 12:17:55.194 GMT+09:00","-0.16966783","-0.119347796","0.2213623"
"2022-04-29 12:17:55.373 GMT+09:00","0.01786781","-0.24213171","0.35880697"
"2022-04-29 12:17:55.549 GMT+09:00","-0.63087106","0.011377365","0.020387627"
"2022-04-29 12:17:55.734 GMT+09:00","-0.47021353","-0.38201985","-0.019318614"
"2022-04-29 12:17:55.914 GMT+09:00","-0.8208502","-0.033826664","-0.6014732"
"2022-04-29 12:17:56.089 GMT+09:00","0.11010846","-0.027718011","0.11323915"
"2022-04-29 12:17:56.273 GMT+09:00","0.20173825","0.15615243","0.096134916"
"2022-04-29 12:17:56.447 GMT+09:00","0.3746131","0.04375322","0.11323915"
"2022-04-29 12:17:56.628 GMT+09:00","0.27259862","0.0028252518","0.13706289"
"2022-04-29 12:17:56.808 GMT+09:00","-0.37614027","-0.093080595","0.18348865"
"2022-04-29 12:17:56.988 GMT+09:00","-0.051159963","0.10239629","0.084528476"
"2022-04-29 12:17:57.168 GMT+09:00","-0.2405282","-0.103465304","-0.047418416"
"2022-04-29 12:17:57.348 GMT+09:00","-0.2753475","-0.21158844","-0.339412"
"2022-04-29 12:17:57.533 GMT+09:00","-0.013897184","0.042531494","-0.23800837"
"2022-04-29 12:17:57.710 GMT+09:00","0.3483459","0.13599387","0.003894266"
"2022-04-29 12:17:57.893 GMT+09:00","0.13576481","0.020540344","0.24090998"
"2022-04-29 12:17:58.067 GMT+09:00","0.4289801","0.028481591","0.4272239"
"2022-04-29 12:17:58.248 GMT+09:00","0.29275718","0.123165704","0.404011"
"2022-04-29 12:17:58.428 GMT+09:00","0.24755314","-0.04054618","0.38385245"
"2022-04-29 12:17:58.607 GMT+09:00","0.17119499","-0.042378776","0.3019965"
"2022-04-29 12:17:58.789 GMT+09:00","-0.37858373","-0.2561816","-0.049861874"
"2022-04-29 12:17:58.967 GMT+09:00","-0.12812899","-0.76686496","-0.44936773"
"2022-04-29 12:17:59.145 GMT+09:00","0.027641652","-0.19387336","0.016111571"
"2022-04-29 12:17:59.326 GMT+09:00","0.311694","0.5061782","0.068645984"
"2022-04-29 12:17:59.507 GMT+09:00","0.1742493","0.13965906","-0.05047274"
"2022-04-29 12:17:59.687 GMT+09:00","0.44425175","0.008933905","0.10285444"
"2022-04-29 12:17:59.867 GMT+09:00","0.27259862","0.15737416","0.11018482"
"2022-04-29 12:18:00.047 GMT+09:00","-0.15134187","0.09323331","0.01366811"
"2022-04-29 12:18:00.225 GMT+09:00","-0.1873829","0.054748796","-0.07979427"
"2022-04-29 12:18:00.410 GMT+09:00","-0.45188758","-0.115071744","-0.24045183"
"2022-04-29 12:18:00.585 GMT+09:00","-0.55878896","0.19402607","-0.53366715"
"2022-04-29 12:18:00.765 GMT+09:00","-0.3016147","0.14882204","-0.47441322"
"2022-04-29 12:18:00.949 GMT+09:00","0.01786781","0.21601722","0.027107146"
"2022-04-29 12:18:01.127 GMT+09:00","0.31474832","0.12988523","0.13400856"
"2022-04-29 12:18:01.308 GMT+09:00","0.3294091","0.09078985","0.35453093"
"2022-04-29 12:18:01.486 GMT+09:00","0.14859296","0.14026994","0.36980253"
"2022-04-29 12:18:01.665 GMT+09:00","0.4277584","-0.0332158","0.3655265"
"2022-04-29 12:18:01.851 GMT+09:00","-0.031001411","-0.010002919","0.11629347"
"2022-04-29 12:18:02.025 GMT+09:00","-0.42439863","-0.06009387","-0.25328"
"2022-04-29 12:18:02.205 GMT+09:00","-0.5850562","0.0828486","-0.69554645"
"2022-04-29 12:18:02.385 GMT+09:00","-0.09758572","0.330249","-0.62346435"
"2022-04-29 12:18:02.565 GMT+09:00","0.074067414","0.24656048","0.09857838"
"2022-04-29 12:18:02.744 GMT+09:00","0.35628715","0.118889645","0.53473616"
"2022-04-29 12:18:02.928 GMT+09:00","0.606131","-0.055817813","0.7888561"
"2022-04-29 12:18:03.103 GMT+09:00","0.7948884","0.16653714","0.7234935"
"2022-04-29 12:18:03.284 GMT+09:00","0.39904773","0.105450615","0.37896553"
"2022-04-29 12:18:03.464 GMT+09:00","-0.18371773","0.0828486","0.2653446"
"2022-04-29 12:18:03.648 GMT+09:00","-0.35476","-0.21281017","-0.11217013"
"2022-04-29 12:18:03.823 GMT+09:00","0.17058411","-0.33376148","0.09246973"
"2022-04-29 12:18:04.005 GMT+09:00","0.43508878","0.10300715","0.38812852"
"2022-04-29 12:18:04.184 GMT+09:00","0.008093964","0.118889645","0.94829196"
"2022-04-29 12:18:04.365 GMT+09:00","0.49373183","0.027870728","0.70028067"
"2022-04-29 12:18:04.546 GMT+09:00","0.24205536","-0.0313832","0.426613"
"2022-04-29 12:18:04.723 GMT+09:00","0.3587306","-0.06681339","0.26778805"
"2022-04-29 12:18:04.907 GMT+09:00","0.52488595","-0.2213623","0.008781188"
"2022-04-29 12:18:05.088 GMT+09:00","-0.36270124","0.07124216","0.01488984"
"2022-04-29 12:18:05.264 GMT+09:00","-0.52213705","-0.25190556","-0.34735325"
"2022-04-29 12:18:05.445 GMT+09:00","-0.4109596","0.049861874","-0.6344599"
"2022-04-29 12:18:05.626 GMT+09:00","0.15897769","-0.03688099","0.2506838"
"2022-04-29 12:18:05.804 GMT+09:00","0.46685377","0.19646953","1.1963032"
"2022-04-29 12:18:05.983 GMT+09:00","0.7985536","0.31619912","1.183475"
"2022-04-29 12:18:06.164 GMT+09:00","0.851088","-0.11873693","1.3930018"
"2022-04-29 12:18:06.344 GMT+09:00","0.56092703","-0.10590876","0.8969793"
"2022-04-29 12:18:06.525 GMT+09:00","0.81077087","0.3204752","0.81451243"
"2022-04-29 12:18:06.706 GMT+09:00","-0.12385293","-0.11018482","0.96050924"
"2022-04-29 12:18:06.883 GMT+09:00","-0.22525656","-0.10529789","0.30993775"
"2022-04-29 12:18:07.065 GMT+09:00","-0.35170567","-0.2140319","-0.17570011"
"2022-04-29 12:18:07.243 GMT+09:00","0.4662429","0.08590292","0.6801221"
"2022-04-29 12:18:07.424 GMT+09:00","0.34101552","0.032757647","1.1694251"
"2022-04-29 12:18:07.606 GMT+09:00","0.81321436","0.17386752","0.9317986"
"2022-04-29 12:18:07.785 GMT+09:00","0.37522396","0.33452508","0.7717519"
"2022-04-29 12:18:07.964 GMT+09:00","0.63423085","-0.43516514","0.31054863"
"2022-04-29 12:18:08.145 GMT+09:00","-0.118966006","-0.16088663","0.37468946"
"2022-04-29 12:18:08.324 GMT+09:00","0.15592335","0.18975002","0.6453028"
"2022-04-29 12:18:08.505 GMT+09:00","-0.1085813","0.028481591","0.7754171"
"2022-04-29 12:18:08.684 GMT+09:00","-0.29367346","-0.5848271","-0.26061037"
"2022-04-29 12:18:08.864 GMT+09:00","-0.062155537","-0.09002627","-0.434707"
"2022-04-29 12:18:09.040 GMT+09:00","0.42531493","0.21968241","0.38018724"
"2022-04-29 12:18:09.225 GMT+09:00","0.030085113","0.42798746","0.9220247"
"2022-04-29 12:18:09.404 GMT+09:00","0.6776023","0.052305337","0.4974734"
"2022-04-29 12:18:09.584 GMT+09:00","0.23411411","0.14698945","0.43821946"
"2022-04-29 12:18:09.763 GMT+09:00","0.7130325","-0.20303634","0.49502993"
"2022-04-29 12:18:09.944 GMT+09:00","0.17058411","0.20135646","0.14989106"
"2022-04-29 12:18:10.126 GMT+09:00","-0.14340061","0.013820826","-0.038255434"
"2022-04-29 12:18:10.303 GMT+09:00","-0.72189003","-0.5726098","-0.32841644"
"2022-04-29 12:18:10.484 GMT+09:00","-0.66874474","0.13171782","-0.8861364"
"2022-04-29 12:18:10.665 GMT+09:00","0.46318856","-0.21708624","0.3478114"
"2022-04-29 12:18:10.845 GMT+09:00","0.15897769","0.108504936","0.6043748"
"2022-04-29 12:18:11.023 GMT+09:00","0.46196684","0.11827879","0.5781076"
"2022-04-29 12:18:11.203 GMT+09:00","0.53038377","0.06085745","0.37468946"
"2022-04-29 12:18:11.383 GMT+09:00","0.24633141","0.15859589","0.16027577"
