"time","data"
"2022-04-29 12:22:32.711 GMT+09:00","25972.0"
"2022-04-29 12:22:32.732 GMT+09:00","26669.0"
"2022-04-29 12:22:32.790 GMT+09:00","28237.0"
"2022-04-29 12:22:32.851 GMT+09:00","28835.0"
"2022-04-29 12:22:32.912 GMT+09:00","29140.0"
"2022-04-29 12:22:32.972 GMT+09:00","29416.0"
"2022-04-29 12:22:33.030 GMT+09:00","29703.0"
"2022-04-29 12:22:33.111 GMT+09:00","29794.0"
"2022-04-29 12:22:33.166 GMT+09:00","28934.0"
"2022-04-29 12:22:33.211 GMT+09:00","26767.0"
"2022-04-29 12:22:33.273 GMT+09:00","25933.0"
"2022-04-29 12:22:33.331 GMT+09:00","25057.0"
"2022-04-29 12:22:33.390 GMT+09:00","23348.0"
"2022-04-29 12:22:33.451 GMT+09:00","22683.0"
"2022-04-29 12:22:33.510 GMT+09:00","22787.0"
"2022-04-29 12:22:33.570 GMT+09:00","21412.0"
"2022-04-29 12:22:33.631 GMT+09:00","20636.0"
"2022-04-29 12:22:33.690 GMT+09:00","21802.0"
"2022-04-29 12:22:33.750 GMT+09:00","21696.0"
"2022-04-29 12:22:33.811 GMT+09:00","21152.0"
"2022-04-29 12:22:33.870 GMT+09:00","19688.0"
"2022-04-29 12:22:33.930 GMT+09:00","17917.0"
"2022-04-29 12:22:33.991 GMT+09:00","17982.0"
"2022-04-29 12:22:34.050 GMT+09:00","18455.0"
"2022-04-29 12:22:34.110 GMT+09:00","19714.0"
"2022-04-29 12:22:34.171 GMT+09:00","20784.0"
"2022-04-29 12:22:34.230 GMT+09:00","20535.0"
"2022-04-29 12:22:34.290 GMT+09:00","19928.0"
"2022-04-29 12:22:34.351 GMT+09:00","19613.0"
"2022-04-29 12:22:34.410 GMT+09:00","19582.0"
"2022-04-29 12:22:34.470 GMT+09:00","19751.0"
"2022-04-29 12:22:34.531 GMT+09:00","20013.0"
"2022-04-29 12:22:34.590 GMT+09:00","20346.0"
"2022-04-29 12:22:34.650 GMT+09:00","20252.0"
"2022-04-29 12:22:34.711 GMT+09:00","20010.0"
"2022-04-29 12:22:34.770 GMT+09:00","19895.0"
"2022-04-29 12:22:34.830 GMT+09:00","19409.0"
"2022-04-29 12:22:34.891 GMT+09:00","19303.0"
