"time","x","y","z"
"2022-04-29 12:23:38.977 GMT+09:00","1.2952632","4.6926355","8.334516"
"2022-04-29 12:23:39.151 GMT+09:00","-0.12210429","2.60968","9.881169"
"2022-04-29 12:23:39.328 GMT+09:00","-1.5298948","2.645593","8.851663"
"2022-04-29 12:23:39.509 GMT+09:00","1.30484","-0.62249243","9.237129"
"2022-04-29 12:23:39.689 GMT+09:00","2.9161377","0.34476504","10.489297"
"2022-04-29 12:23:39.868 GMT+09:00","-1.436521","2.7341783","7.853281"
"2022-04-29 12:23:40.048 GMT+09:00","4.5082817","1.5753847","8.073547"
"2022-04-29 12:23:40.229 GMT+09:00","5.040094","0.3184288","10.881946"
"2022-04-29 12:23:40.408 GMT+09:00","-1.0606314","2.2122424","9.917083"
"2022-04-29 12:23:40.588 GMT+09:00","3.6008794","1.745373","9.514857"
"2022-04-29 12:23:40.768 GMT+09:00","3.5314474","1.6687586","8.43986"
"2022-04-29 12:23:40.948 GMT+09:00","5.272331","0.22744916","10.529999"
"2022-04-29 12:23:41.129 GMT+09:00","2.6503813","-1.6136919","9.900323"
"2022-04-29 12:23:41.308 GMT+09:00","0.7254431","-0.37110126","8.583512"
"2022-04-29 12:23:41.491 GMT+09:00","2.3942018","-0.9840169","9.838074"
"2022-04-29 12:23:41.669 GMT+09:00","3.9576154","-0.6991069","9.593865"
"2022-04-29 12:23:41.851 GMT+09:00","0.19393034","-1.0103531","12.129325"
"2022-04-29 12:23:42.030 GMT+09:00","3.3159695","0.2825158","8.073547"
"2022-04-29 12:23:42.213 GMT+09:00","3.7421372","0.9696517","9.20361"
"2022-04-29 12:23:42.390 GMT+09:00","3.9552212","-0.22266077","10.47972"
"2022-04-29 12:23:42.573 GMT+09:00","1.4628572","-0.33039984","10.501268"
"2022-04-29 12:23:42.750 GMT+09:00","2.3104045","-1.5921441","9.950602"
"2022-04-29 12:23:42.934 GMT+09:00","1.1779473","-1.5490485","8.6936455"
"2022-04-29 12:23:43.113 GMT+09:00","3.145981","-0.2896984","9.292196"
"2022-04-29 12:23:43.289 GMT+09:00","0.011971008","-1.0582372","14.257771"
"2022-04-29 12:23:43.470 GMT+09:00","2.4468741","-0.1388637","10.221147"
"2022-04-29 12:23:43.653 GMT+09:00","1.9919758","0.8403648","9.957784"
"2022-04-29 12:23:43.829 GMT+09:00","2.480393","0.78050977","9.548376"
"2022-04-29 12:23:44.009 GMT+09:00","-1.3383588","-0.4357447","10.111013"
"2022-04-29 12:23:44.189 GMT+09:00","3.2154129","-0.25857377","7.9298954"
"2022-04-29 12:23:44.373 GMT+09:00","3.3087866","-0.37110126","8.760683"
"2022-04-29 12:23:44.553 GMT+09:00","2.0949266","-0.45729253","9.957784"
"2022-04-29 12:23:44.729 GMT+09:00","1.8914193","0.1388637","8.068759"
"2022-04-29 12:23:44.910 GMT+09:00","-0.17477672","-0.8523358","9.536405"
"2022-04-29 12:23:45.094 GMT+09:00","-0.32321724","-1.1372458","9.703999"
"2022-04-29 12:23:45.269 GMT+09:00","-0.5434838","-0.60573304","10.029611"
"2022-04-29 12:23:45.453 GMT+09:00","0.11731588","-0.866701","9.098266"
"2022-04-29 12:23:45.633 GMT+09:00","0.4333505","-0.93852705","11.138125"
"2022-04-29 12:23:45.810 GMT+09:00","1.685518","0.11492168","10.304943"
"2022-04-29 12:23:45.989 GMT+09:00","0.47644615","-0.91219085","10.321703"
"2022-04-29 12:23:46.169 GMT+09:00","2.384625","-1.0127473","10.180445"
"2022-04-29 12:23:46.349 GMT+09:00","1.3455414","-1.9991584","11.542746"
"2022-04-29 12:23:46.529 GMT+09:00","2.2601264","-2.669535","9.033623"
"2022-04-29 12:23:46.709 GMT+09:00","1.922544","-1.9871874","6.5412583"
"2022-04-29 12:23:46.889 GMT+09:00","3.6128504","-2.992752","10.163686"
"2022-04-29 12:23:47.071 GMT+09:00","2.0829554","2.932897","4.932355"
"2022-04-29 12:23:47.249 GMT+09:00","1.1707647","-0.18674773","8.69604"
"2022-04-29 12:23:47.429 GMT+09:00","-1.079785","1.1252748","8.978556"
"2022-04-29 12:23:47.609 GMT+09:00","0.545878","1.8028339","7.4917564"
"2022-04-29 12:23:47.793 GMT+09:00","-0.521936","4.733337","12.665627"
"2022-04-29 12:23:47.972 GMT+09:00","-0.44771573","3.205836","11.329661"
"2022-04-29 12:23:48.149 GMT+09:00","0.11731588","3.2154129","12.593801"
"2022-04-29 12:23:48.332 GMT+09:00","-1.6687586","1.3982137","11.274595"
"2022-04-29 12:23:48.512 GMT+09:00","0.7350199","1.1180922","7.228394"
"2022-04-29 12:23:48.689 GMT+09:00","2.3223755","0.8451532","8.710405"
"2022-04-29 12:23:48.870 GMT+09:00","1.4149733","0.23223756","8.217199"
"2022-04-29 12:23:49.049 GMT+09:00","1.3862427","-0.7613561","8.315362"
"2022-04-29 12:23:49.231 GMT+09:00","1.9416976","0.23702596","10.12059"
"2022-04-29 12:23:49.409 GMT+09:00","2.3630772","0.7637503","11.02081"
"2022-04-29 12:23:49.594 GMT+09:00","1.6711528","2.5617957","10.819696"
"2022-04-29 12:23:49.770 GMT+09:00","0.90500826","1.9177556","8.6457615"
"2022-04-29 12:23:49.957 GMT+09:00","1.13964","-0.079008654","9.771036"
