"time","x","y","z"
"2022-04-29 12:18:43.400 GMT+09:00","-0.05742774","8.743972","4.358526"
"2022-04-29 12:18:43.589 GMT+09:00","-0.62512493","7.0486574","4.8059845"
"2022-04-29 12:18:43.781 GMT+09:00","-0.73818576","6.3565335","8.140981"
"2022-04-29 12:18:43.971 GMT+09:00","-0.14356937","3.8997028","9.293125"
"2022-04-29 12:18:44.165 GMT+09:00","4.538586","4.429115","7.9800634"
"2022-04-29 12:18:44.355 GMT+09:00","5.554938","3.8913279","7.2993054"
"2022-04-29 12:18:44.548 GMT+09:00","5.5190454","2.4305096","6.413363"
"2022-04-29 12:18:44.739 GMT+09:00","6.290731","0.997807","7.641479"
"2022-04-29 12:18:44.931 GMT+09:00","7.4189467","0.8279166","7.826923"
"2022-04-29 12:18:45.130 GMT+09:00","6.4277196","-1.294517","6.728019"
"2022-04-29 12:18:45.313 GMT+09:00","6.937989","-1.0097711","7.2711897"
"2022-04-29 12:18:45.507 GMT+09:00","6.5288167","-0.16031912","7.318448"
"2022-04-29 12:18:45.695 GMT+09:00","6.070591","0.47258246","7.23111"
"2022-04-29 12:18:45.890 GMT+09:00","7.400402","0.5814559","7.2233334"
"2022-04-29 12:18:46.083 GMT+09:00","7.663613","1.6528423","6.2991056"
"2022-04-29 12:18:46.273 GMT+09:00","6.8225355","0.9493524","5.407181"
"2022-04-29 12:18:46.463 GMT+09:00","8.676374","0.9517452","6.478567"
"2022-04-29 12:18:46.652 GMT+09:00","7.6109705","-0.30269206","5.7020965"
"2022-04-29 12:18:46.843 GMT+09:00","7.3100734","-0.11724831","5.3760743"
"2022-04-29 12:18:47.035 GMT+09:00","9.022736","0.1585245","5.2085767"
"2022-04-29 12:18:47.228 GMT+09:00","8.663813","0.7728817","5.554938"
"2022-04-29 12:18:47.417 GMT+09:00","7.3046894","0.8237292","4.5732822"
"2022-04-29 12:18:47.608 GMT+09:00","8.916854","1.4033905","3.702893"
"2022-04-29 12:18:47.800 GMT+09:00","8.942576","0.2745764","4.935197"
"2022-04-29 12:18:47.998 GMT+09:00","7.6289167","0.28055847","4.57747"
"2022-04-29 12:18:48.189 GMT+09:00","8.738588","0.56829536","5.5334024"
"2022-04-29 12:18:48.376 GMT+09:00","9.387642","1.6893328","5.087739"
"2022-04-29 12:18:48.567 GMT+09:00","7.0223365","1.4913267","4.38066"
"2022-04-29 12:18:48.763 GMT+09:00","8.65125","1.2951152","4.700102"
"2022-04-29 12:18:48.954 GMT+09:00","9.752547","1.0157533","5.6668024"
"2022-04-29 12:18:49.147 GMT+09:00","7.2179494","0.33320054","4.8376894"
"2022-04-29 12:18:49.333 GMT+09:00","7.413563","1.0037891","4.633701"
"2022-04-29 12:18:49.525 GMT+09:00","8.860622","1.0606186","5.832505"
"2022-04-29 12:18:49.716 GMT+09:00","8.473583","1.5678971","5.328218"
"2022-04-29 12:18:49.912 GMT+09:00","7.408179","1.2783655","5.1649075"
"2022-04-29 12:18:50.103 GMT+09:00","8.666803","1.4847465","4.690531"
"2022-04-29 12:18:50.291 GMT+09:00","8.599206","0.5814559","5.757131"
"2022-04-29 12:18:50.482 GMT+09:00","7.4859457","0.32662028","5.9431734"
"2022-04-29 12:18:50.678 GMT+09:00","7.124031","1.0408778","5.6374903"
"2022-04-29 12:18:50.869 GMT+09:00","8.953942","1.9136599","6.209375"
"2022-04-29 12:18:51.058 GMT+09:00","7.917252","2.8145576","4.8598228"
"2022-04-29 12:18:51.249 GMT+09:00","6.6460648","0.0035892338","5.852246"
"2022-04-29 12:18:51.444 GMT+09:00","8.616554","0.55034924","5.319245"
"2022-04-29 12:18:51.633 GMT+09:00","7.183254","-0.19501504","7.423134"
"2022-04-29 12:18:51.828 GMT+09:00","5.9880385","1.0295119","6.725028"
"2022-04-29 12:18:52.016 GMT+09:00","6.74776","1.4338989","6.6915283"
"2022-04-29 12:18:52.205 GMT+09:00","7.7276206","1.8173488","7.518847"
"2022-04-29 12:18:52.400 GMT+09:00","6.91107","2.9605198","6.8249283"
"2022-04-29 12:18:52.593 GMT+09:00","5.745765","1.5086746","7.004988"
"2022-04-29 12:18:52.780 GMT+09:00","7.8023963","1.1120644","6.433702"
"2022-04-29 12:18:52.971 GMT+09:00","8.137392","0.4761717","6.3595243"
"2022-04-29 12:18:53.165 GMT+09:00","7.413563","-0.020937199","5.9491553"
"2022-04-29 12:18:53.355 GMT+09:00","7.1491556","-0.25902304","4.962714"
"2022-04-29 12:18:53.549 GMT+09:00","8.29771","1.0947163","5.407181"
"2022-04-29 12:18:53.737 GMT+09:00","7.8867435","1.66361","6.2883377"
"2022-04-29 12:18:53.928 GMT+09:00","7.3399835","0.9870393","5.326423"
"2022-04-29 12:18:54.124 GMT+09:00","9.039486","1.3142579","5.7553368"
"2022-04-29 12:18:54.316 GMT+09:00","7.8831544","-0.111864455","5.773881"
"2022-04-29 12:18:54.508 GMT+09:00","7.006783","0.089132644","5.768497"
"2022-04-29 12:18:54.694 GMT+09:00","8.315657","-0.25663024","5.117051"
"2022-04-29 12:18:54.886 GMT+09:00","9.200403","1.6019948","5.6033926"
"2022-04-29 12:18:55.078 GMT+09:00","7.1748786","0.8135597","5.634499"
"2022-04-29 12:18:55.273 GMT+09:00","8.543573","0.7322037","4.5858445"
"2022-04-29 12:18:55.460 GMT+09:00","10.109077","0.6227321","4.835296"
"2022-04-29 12:18:55.650 GMT+09:00","7.5936227","0.106480606","4.750351"
"2022-04-29 12:18:55.843 GMT+09:00","8.125427","0.41934216","3.382853"
"2022-04-29 12:18:56.039 GMT+09:00","9.2285185","0.5880362","3.7256248"
"2022-04-29 12:18:56.228 GMT+09:00","9.689735","1.41356","3.9828532"
"2022-04-29 12:18:56.417 GMT+09:00","8.333005","0.5629115","3.5126636"
"2022-04-29 12:18:56.609 GMT+09:00","9.135199","0.7280163","2.7613173"
"2022-04-29 12:18:56.806 GMT+09:00","10.096515","0.7507481","3.455236"
"2022-04-29 12:18:56.993 GMT+09:00","8.145168","0.32243285","4.51406"
"2022-04-29 12:18:57.188 GMT+09:00","8.328817","0.2105684","3.8554354"
"2022-04-29 12:18:57.375 GMT+09:00","9.42174","0.23030917","4.1072803"
"2022-04-29 12:18:57.566 GMT+09:00","9.301499","1.2939188","3.260819"
"2022-04-29 12:18:57.762 GMT+09:00","8.095517","1.1437693","4.221537"
"2022-04-29 12:18:57.952 GMT+09:00","9.2793665","1.2059826","3.7022948"
"2022-04-29 12:18:58.145 GMT+09:00","9.45823","1.0713863","3.807579"
"2022-04-29 12:18:58.334 GMT+09:00","8.050652","0.9302098","4.388437"
"2022-04-29 12:18:58.523 GMT+09:00","8.023134","0.84765744","5.031508"
"2022-04-29 12:18:58.719 GMT+09:00","8.607581","0.83988076","5.218746"
"2022-04-29 12:18:58.911 GMT+09:00","8.426923","1.6486548","4.6091747"
"2022-04-29 12:18:59.097 GMT+09:00","8.456834","1.46022","4.7509494"
"2022-04-29 12:18:59.289 GMT+09:00","8.688339","1.4608182","5.180461"
"2022-04-29 12:18:59.486 GMT+09:00","8.003393","1.0648061","6.023931"
"2022-04-29 12:18:59.673 GMT+09:00","6.9613194","0.907478","5.766104"
"2022-04-29 12:18:59.866 GMT+09:00","7.685746","0.61435723","5.558527"
"2022-04-29 12:19:00.056 GMT+09:00","8.922835","0.38644084","6.026922"
"2022-04-29 12:19:00.253 GMT+09:00","7.509874","2.6548367","5.994021"
"2022-04-29 12:19:00.443 GMT+09:00","7.4626155","2.4323041","5.2079782"
"2022-04-29 12:19:00.633 GMT+09:00","7.6426754","1.4476577","5.643472"
"2022-04-29 12:19:00.825 GMT+09:00","8.059625","0.7316055","6.0161543"
"2022-04-29 12:19:01.012 GMT+09:00","7.274779","0.4331009","6.3122663"
"2022-04-29 12:19:01.210 GMT+09:00","7.728219","0.76510507","5.3515477"
"2022-04-29 12:19:01.400 GMT+09:00","8.821739","0.9720842","5.925825"
"2022-04-29 12:19:01.590 GMT+09:00","7.1162543","1.6019948","5.459823"
"2022-04-29 12:19:01.778 GMT+09:00","7.978867","0.8177471","5.5483575"
"2022-04-29 12:19:01.969 GMT+09:00","8.618947","0.8356933","5.1553364"
"2022-04-29 12:19:02.165 GMT+09:00","8.049456","0.26679972","5.9324055"
"2022-04-29 12:19:02.355 GMT+09:00","7.5260253","0.38344982","5.407181"
"2022-04-29 12:19:02.543 GMT+09:00","8.207381","0.4432704","5.267201"
"2022-04-29 12:19:02.736 GMT+09:00","9.068199","0.651446","5.236094"
"2022-04-29 12:19:02.927 GMT+09:00","8.17448","0.8237292","4.36391"
"2022-04-29 12:19:03.123 GMT+09:00","8.006385","0.32123643","4.4596233"
"2022-04-29 12:19:03.313 GMT+09:00","9.040084","0.63828546","4.7976093"
"2022-04-29 12:19:03.507 GMT+09:00","8.839685","0.18364914","5.1254263"
"2022-04-29 12:19:03.698 GMT+09:00","7.507481","0.109471634","4.894519"
"2022-04-29 12:19:03.884 GMT+09:00","8.003393","0.60598236","5.2073803"
"2022-04-29 12:19:04.079 GMT+09:00","9.226126","0.8135597","5.494519"
"2022-04-29 12:19:04.271 GMT+09:00","7.9334035","1.0331012","4.9022956"
"2022-04-29 12:19:04.461 GMT+09:00","7.542775","0.9236295","5.35753"
"2022-04-29 12:19:04.657 GMT+09:00","9.050852","0.6843473","5.8283176"
"2022-04-29 12:19:04.846 GMT+09:00","8.253444","-0.032303106","4.53081"
"2022-04-29 12:19:05.039 GMT+09:00","6.791429","0.34037903","6.109474"
"2022-04-29 12:19:05.228 GMT+09:00","8.550154","0.29252258","6.133403"
"2022-04-29 12:19:05.417 GMT+09:00","8.762517","0.657428","4.7748775"
"2022-04-29 12:19:05.607 GMT+09:00","8.088339","1.1796615","4.9812584"
