"time","x","y","z"
"2022-04-29 12:20:05.150 GMT+09:00","-0.5361712","-0.38361207","-0.18111621"
"2022-04-29 12:20:05.340 GMT+09:00","-0.017256435","0.053601846","-0.006413896"
"2022-04-29 12:20:05.531 GMT+09:00","0.1021642","-0.019547112","0.4767663"
"2022-04-29 12:20:05.724 GMT+09:00","-0.83044684","0.3023694","0.82403296"
"2022-04-29 12:20:05.915 GMT+09:00","-0.21288027","-0.27961534","0.7067503"
"2022-04-29 12:20:06.107 GMT+09:00","-0.08383878","-0.09009997","0.095597595"
"2022-04-29 12:20:06.302 GMT+09:00","0.5114319","0.21944688","-0.34879377"
"2022-04-29 12:20:06.497 GMT+09:00","0.74492824","-0.9240592","-0.19318044"
"2022-04-29 12:20:06.685 GMT+09:00","0.12430742","0.13102673","0.08063184"
"2022-04-29 12:20:06.877 GMT+09:00","-0.24876754","0.26022094","0.19195876"
"2022-04-29 12:20:07.063 GMT+09:00","0.04902049","0.06322269","-0.11346488"
"2022-04-29 12:20:07.257 GMT+09:00","-0.25915194","0.15316994","-0.08154811"
"2022-04-29 12:20:07.448 GMT+09:00","-0.6601732","0.24586602","0.10277505"
"2022-04-29 12:20:07.638 GMT+09:00","-0.27060533","0.46745086","0.53311694"
"2022-04-29 12:20:07.830 GMT+09:00","0.10155336","0.4950917","2.5195923"
"2022-04-29 12:20:08.021 GMT+09:00","-0.6923954","0.60000473","1.5231476"
"2022-04-29 12:20:08.213 GMT+09:00","-0.021226943","-0.50211644","0.47493374"
"2022-04-29 12:20:08.403 GMT+09:00","0.078035735","-1.6057647","0.62016267"
"2022-04-29 12:20:08.598 GMT+09:00","0.030847786","0.41934663","-0.019699825"
"2022-04-29 12:20:08.787 GMT+09:00","0.09025268","0.40209022","0.3477248"
"2022-04-29 12:20:08.978 GMT+09:00","0.10460759","0.20005247","0.020921519"
"2022-04-29 12:20:09.172 GMT+09:00","0.2455606","-0.51387525","-0.27701923"
"2022-04-29 12:20:09.361 GMT+09:00","-1.5498722","-1.4869549","-0.5076141"
"2022-04-29 12:20:09.553 GMT+09:00","-0.31580803","-0.08231167","-0.1524064"
"2022-04-29 12:20:09.743 GMT+09:00","-0.0051922016","0.20341213","-0.14919944"
"2022-04-29 12:20:09.940 GMT+09:00","0.045813546","-0.09132166","0.051922016"
"2022-04-29 12:20:10.132 GMT+09:00","0.31199023","-0.13667707","0.22448637"
"2022-04-29 12:20:10.320 GMT+09:00","-0.17149536","0.06062659","0.14415996"
"2022-04-29 12:20:10.511 GMT+09:00","-0.11392301","0.008551862","-0.11407573"
"2022-04-29 12:20:10.702 GMT+09:00","-0.019547112","0.17516045","-0.21165858"
"2022-04-29 12:20:10.896 GMT+09:00","-0.12827793","0.038483378","-0.29778802"
"2022-04-29 12:20:11.091 GMT+09:00","0.15454435","0.022448637","0.19150062"
"2022-04-29 12:20:11.277 GMT+09:00","0.6891884","-0.2170035","0.35658208"
"2022-04-29 12:20:11.468 GMT+09:00","0.9341382","-0.15805672","0.50685054"
"2022-04-29 12:20:11.664 GMT+09:00","0.6090147","0.13759334","0.3579565"
"2022-04-29 12:20:11.858 GMT+09:00","0.24113196","-0.39735615","0.3655921"
"2022-04-29 12:20:12.045 GMT+09:00","0.13240114","-0.46760356","0.17989452"
"2022-04-29 12:20:12.235 GMT+09:00","0.33672956","-0.08521319","0.14690876"
"2022-04-29 12:20:12.426 GMT+09:00","0.50303274","-0.018783553","0.12766708"
"2022-04-29 12:20:12.620 GMT+09:00","1.0546278","-0.12522368","0.54227966"
"2022-04-29 12:20:12.812 GMT+09:00","1.8598772","0.0076355906","0.7702784"
"2022-04-29 12:20:13.000 GMT+09:00","1.8210884","0.27472857","0.39903596"
"2022-04-29 12:20:13.191 GMT+09:00","0.9932376","0.38819343","0.26709297"
"2022-04-29 12:20:13.382 GMT+09:00","0.40758783","-0.08551861","0.3538333"
"2022-04-29 12:20:13.577 GMT+09:00","0.5036436","0.044133715","-0.046271678"
"2022-04-29 12:20:13.772 GMT+09:00","0.049784053","0.2170035","0.3747548"
"2022-04-29 12:20:13.957 GMT+09:00","-0.2015796","0.024739314","0.06826218"
"2022-04-29 12:20:14.148 GMT+09:00","6.1084726E-4","-0.0018325418","-0.009773556"
"2022-04-29 12:20:14.345 GMT+09:00","0.11957335","0.030236939","-0.20249587"
"2022-04-29 12:20:14.536 GMT+09:00","-0.32115296","-0.035887275","-0.18753012"
"2022-04-29 12:20:14.724 GMT+09:00","-0.5668663","-0.13209572","0.0917798"
"2022-04-29 12:20:14.914 GMT+09:00","0.08063184","0.018783553","-0.0839915"
"2022-04-29 12:20:15.110 GMT+09:00","0.8638907","0.009315421","0.43324342"
"2022-04-29 12:20:15.302 GMT+09:00","0.91336936","0.24326992","0.36467582"
"2022-04-29 12:20:15.496 GMT+09:00","0.5741964","0.15561333","0.28098974"
"2022-04-29 12:20:15.681 GMT+09:00","-0.076966755","-0.10185878","-0.13591352"
"2022-04-29 12:20:15.872 GMT+09:00","-0.95719767","-0.13377555","-0.48134765"
"2022-04-29 12:20:16.063 GMT+09:00","-1.6025578","-0.20524468","-0.7553126"
"2022-04-29 12:20:16.259 GMT+09:00","-1.5397933","-0.06322269","-0.83808243"
"2022-04-29 12:20:16.450 GMT+09:00","-1.6315731","-0.17180079","-0.8411367"
"2022-04-29 12:20:16.637 GMT+09:00","-2.0842109","-0.036498122","-1.0002624"
"2022-04-29 12:20:16.828 GMT+09:00","-1.7027367","-0.15469708","-1.0140065"
"2022-04-29 12:20:17.026 GMT+09:00","-1.2847645","-0.075897776","-0.59527063"
"2022-04-29 12:20:17.215 GMT+09:00","-0.9475768","-0.13285927","-0.449889"
"2022-04-29 12:20:17.409 GMT+09:00","-0.54090524","-0.22555535","-0.25930467"
"2022-04-29 12:20:17.594 GMT+09:00","-0.20493926","-0.36803547","-0.103385895"
"2022-04-29 12:20:17.791 GMT+09:00","0.19974706","-0.15469708","0.011147963"
"2022-04-29 12:20:17.977 GMT+09:00","-0.009926268","-0.044744562","0.044133715"
"2022-04-29 12:20:18.174 GMT+09:00","-0.17103723","-0.089489125","-0.12140589"
"2022-04-29 12:20:18.363 GMT+09:00","-0.103996746","-0.005497625","-0.20402299"
"2022-04-29 12:20:18.552 GMT+09:00","-0.11056335","0.10552386","0.06215371"
"2022-04-29 12:20:18.743 GMT+09:00","0.06062659","0.029473381","0.045813546"
"2022-04-29 12:20:18.934 GMT+09:00","0.28908345","-0.3052709","0.052532863"
"2022-04-29 12:20:19.130 GMT+09:00","0.4912739","-0.06994201","0.06520794"
"2022-04-29 12:20:19.319 GMT+09:00","0.369868","0.31718245","0.08414421"
"2022-04-29 12:20:19.509 GMT+09:00","0.13621894","0.28618193","0.13530266"
"2022-04-29 12:20:19.706 GMT+09:00","0.13285927","0.027488127","0.026419144"
"2022-04-29 12:20:19.896 GMT+09:00","0.06795676","0.031764057","-0.11804623"
"2022-04-29 12:20:20.089 GMT+09:00","0.21440738","0.11545013","0.055281676"
"2022-04-29 12:20:20.274 GMT+09:00","0.110410646","0.22127941","0.02015796"
"2022-04-29 12:20:20.467 GMT+09:00","0.20325942","-0.062764555","0.0503949"
"2022-04-29 12:20:20.662 GMT+09:00","0.28908345","-0.09666658","0.08261709"
"2022-04-29 12:20:20.853 GMT+09:00","0.102316916","0.30649263","0.04703524"
"2022-04-29 12:20:21.047 GMT+09:00","-0.046424393","-0.02107423","0.0022906773"
"2022-04-29 12:20:21.236 GMT+09:00","-0.27992076","-0.15607147","-0.09972081"
"2022-04-29 12:20:21.424 GMT+09:00","-0.29565006","0.105371155","-0.01343864"
"2022-04-29 12:20:21.620 GMT+09:00","-0.0010689828","0.13087402","0.021532366"
"2022-04-29 12:20:21.808 GMT+09:00","0.20219044","-0.08674031","0.023975754"
"2022-04-29 12:20:21.999 GMT+09:00","0.23716144","-0.14981028","0.13163759"
"2022-04-29 12:20:22.189 GMT+09:00","0.029320668","-0.08735116","-0.1279725"
"2022-04-29 12:20:22.381 GMT+09:00","-0.00671932","0.30206397","0.10277505"
"2022-04-29 12:20:22.576 GMT+09:00","-0.12781979","-0.0013744063","-0.065818794"
"2022-04-29 12:20:22.769 GMT+09:00","-0.07818845","0.06520794","-0.15423894"
"2022-04-29 12:20:22.963 GMT+09:00","-0.2896943","0.03436016","0.057572354"
"2022-04-29 12:20:23.147 GMT+09:00","-0.100637086","-0.16721943","0.009009997"
"2022-04-29 12:20:23.338 GMT+09:00","0.100637086","-0.34971005","-0.046271678"
"2022-04-29 12:20:23.535 GMT+09:00","0.299926","-0.3504736","0.1731752"
"2022-04-29 12:20:23.725 GMT+09:00","0.30572906","-0.060932014","0.14507623"
"2022-04-29 12:20:23.913 GMT+09:00","0.09422319","-0.13087402","0.044439137"
"2022-04-29 12:20:24.104 GMT+09:00","0.009773556","-0.13377555","-0.048562355"
"2022-04-29 12:20:24.299 GMT+09:00","-0.102011494","0.08154811","-0.10246963"
"2022-04-29 12:20:24.491 GMT+09:00","-0.14660335","0.1368298","0.030847786"
"2022-04-29 12:20:24.679 GMT+09:00","0.122322164","-0.041843038","0.09834641"
"2022-04-29 12:20:24.876 GMT+09:00","0.21730891","-0.21944688","0.03939965"
"2022-04-29 12:20:25.063 GMT+09:00","0.2678565","0.15912572","0.05314371"
"2022-04-29 12:20:25.257 GMT+09:00","-0.052991","0.20631365","0.033291176"
"2022-04-29 12:20:25.449 GMT+09:00","-0.028862532","0.07131642","-0.028404398"
"2022-04-29 12:20:25.637 GMT+09:00","-0.014354911","0.016340164","-0.300995"
"2022-04-29 12:20:25.828 GMT+09:00","-0.08551861","0.18691926","0.02107423"
"2022-04-29 12:20:26.023 GMT+09:00","0.10735641","0.12247488","0.124001995"
"2022-04-29 12:20:26.214 GMT+09:00","0.21669807","-0.25793025","-0.009315421"
"2022-04-29 12:20:26.406 GMT+09:00","0.29778802","-0.019547112","0.086129464"
"2022-04-29 12:20:26.599 GMT+09:00","0.009162709","0.2741177","0.11774081"
"2022-04-29 12:20:26.784 GMT+09:00","0.102011494","-0.18050537","-0.051158458"
"2022-04-29 12:20:26.977 GMT+09:00","0.057266932","0.078646585","0.042453885"
"2022-04-29 12:20:27.172 GMT+09:00","-0.15546063","-0.03451287","0.084755056"
"2022-04-29 12:20:27.360 GMT+09:00","-0.3090887","0.055739813","0.09513946"
"2022-04-29 12:20:27.557 GMT+09:00","0.13805148","-0.18783553","0.028709821"
"2022-04-29 12:20:27.741 GMT+09:00","0.22983128","-0.16905198","0.05054761"
"2022-04-29 12:20:27.938 GMT+09:00","0.04550812","0.29244313","0.05650337"
"2022-04-29 12:20:28.131 GMT+09:00","-0.21837789","0.17271706","-0.0452027"
"2022-04-29 12:20:28.317 GMT+09:00","-0.18432316","-0.014965758","-0.2261662"
"2022-04-29 12:20:28.508 GMT+09:00","-0.13484453","0.122627586","-0.21547636"
"2022-04-29 12:20:28.704 GMT+09:00","-0.23441264","0.13530266","-0.0036650836"
"2022-04-29 12:20:28.891 GMT+09:00","0.0659715","-0.26724568","-0.08124269"
"2022-04-29 12:20:29.082 GMT+09:00","0.48928866","-0.070552856","-0.05314371"
"2022-04-29 12:20:29.274 GMT+09:00","0.043981","0.39399648","0.102316916"
"2022-04-29 12:20:29.465 GMT+09:00","-0.09498675","-0.004275931","0.055739813"
"2022-04-29 12:20:29.663 GMT+09:00","0.24754585","-0.0943759","-0.12003148"
"2022-04-29 12:20:29.853 GMT+09:00","-0.4124746","0.036650836","-0.050242186"
"2022-04-29 12:20:30.040 GMT+09:00","-0.21959959","0.27427042","-0.09743014"
"2022-04-29 12:20:30.231 GMT+09:00","0.5169295","-0.09407048","0.20066333"
"2022-04-29 12:20:30.422 GMT+09:00","0.073912516","-0.034054734","0.14935215"
"2022-04-29 12:20:30.618 GMT+09:00","-0.036803547","0.15149012","0.13209572"
"2022-04-29 12:20:30.805 GMT+09:00","0.06490252","-0.13973132","-0.007330167"
"2022-04-29 12:20:31.000 GMT+09:00","-0.11224318","-0.3052709","0.103080474"
"2022-04-29 12:20:31.188 GMT+09:00","0.013896775","0.032527618","-0.067498624"
"2022-04-29 12:20:31.383 GMT+09:00","-0.06001574","-0.012522369","0.13102673"
"2022-04-29 12:20:31.576 GMT+09:00","0.092848785","-0.35612395","-0.011453386"
"2022-04-29 12:20:31.768 GMT+09:00","-0.0077883024","-0.038941514","0.036650836"
"2022-04-29 12:20:31.955 GMT+09:00","-0.17668757","0.18630841","0.0503949"
"2022-04-29 12:20:32.145 GMT+09:00","-0.12384928","0.046729814","-0.11865708"
"2022-04-29 12:20:32.339 GMT+09:00","-0.05787778","-0.18539214","-0.09361234"
"2022-04-29 12:20:32.534 GMT+09:00","-0.4008685","0.15454435","-0.13514996"
"2022-04-29 12:20:32.724 GMT+09:00","-0.3891097","0.10720369","-0.09849912"
"2022-04-29 12:20:32.912 GMT+09:00","0.006566608","-0.25029466","-0.09849912"
"2022-04-29 12:20:33.107 GMT+09:00","0.051616594","-0.05803049","-0.061084725"
"2022-04-29 12:20:33.299 GMT+09:00","-0.010537115","0.33795124","0.18707198"
"2022-04-29 12:20:33.489 GMT+09:00","-0.10109522","-0.14950487","-0.012522369"
"2022-04-29 12:20:33.685 GMT+09:00","-0.10353861","-0.025961008","-0.065055236"
"2022-04-29 12:20:33.869 GMT+09:00","-0.12216945","0.26877278","-0.12522368"
"2022-04-29 12:20:34.064 GMT+09:00","-0.06001574","0.051616594","-0.05283829"
"2022-04-29 12:20:34.255 GMT+09:00","0.2521272","-0.40621343","-0.062459134"
