"time","data"
"2022-04-29 12:22:41.414 GMT+09:00","5485.065"
"2022-04-29 12:22:42.194 GMT+09:00","7297.9023"
"2022-04-29 12:22:42.297 GMT+09:00","9817.743"
"2022-04-29 12:22:42.401 GMT+09:00","12508.268"
"2022-04-29 12:22:42.610 GMT+09:00","15878.171"
"2022-04-29 12:22:42.714 GMT+09:00","14318.765"
"2022-04-29 12:22:42.816 GMT+09:00","12106.958"
"2022-04-29 12:22:43.743 GMT+09:00","13023.455"
"2022-04-29 12:22:43.949 GMT+09:00","11789.196"
"2022-04-29 12:22:44.053 GMT+09:00","10908.366"
"2022-04-29 12:22:44.158 GMT+09:00","9728.761"
"2022-04-29 12:22:44.364 GMT+09:00","5626.0225"
"2022-04-29 12:22:44.466 GMT+09:00","4949.0225"
"2022-04-29 12:22:44.674 GMT+09:00","4169.0425"
"2022-04-29 12:22:44.983 GMT+09:00","4665.6562"
"2022-04-29 12:22:45.087 GMT+09:00","5205.136"
"2022-04-29 12:22:45.398 GMT+09:00","4709.8813"
"2022-04-29 12:22:45.603 GMT+09:00","3944.545"
"2022-04-29 12:22:45.810 GMT+09:00","4595.3813"
"2022-04-29 12:22:46.739 GMT+09:00","3600.6475"
"2022-04-29 12:22:46.943 GMT+09:00","4078.2075"
"2022-04-29 12:22:47.049 GMT+09:00","4615.4575"
"2022-04-29 12:22:47.667 GMT+09:00","5362.3584"
"2022-04-29 12:22:48.180 GMT+09:00","4538.7563"
"2022-04-29 12:22:48.593 GMT+09:00","4018.466"
"2022-04-29 12:22:48.697 GMT+09:00","3558.5261"
"2022-04-29 12:22:49.110 GMT+09:00","3997.6335"
"2022-04-29 12:22:49.317 GMT+09:00","3623.2761"
"2022-04-29 12:22:49.730 GMT+09:00","4064.0525"
"2022-04-29 12:22:50.144 GMT+09:00","4494.786"
"2022-04-29 12:22:50.349 GMT+09:00","5153.686"
"2022-04-29 12:22:50.764 GMT+09:00","4494.5513"
"2022-04-29 12:22:51.072 GMT+09:00","5231.396"
"2022-04-29 12:22:51.484 GMT+09:00","4480.5464"
"2022-04-29 12:22:51.586 GMT+09:00","3756.9937"
"2022-04-29 12:22:51.690 GMT+09:00","3334.885"
"2022-04-29 12:22:51.794 GMT+09:00","3052.51"
"2022-04-29 12:22:52.413 GMT+09:00","3526.2175"
