"time","x","y","z"
"2022-04-29 17:30:35.667 GMT+09:00","0.026571855","-0.17653486","0.14492351"
"2022-04-29 17:30:35.867 GMT+09:00","0.7124006","-0.31367007","0.5015056"
"2022-04-29 17:30:36.063 GMT+09:00","0.62474406","1.0098833","0.18417045"
"2022-04-29 17:30:36.265 GMT+09:00","0.110868774","0.03130592","0.1395786"
"2022-04-29 17:30:36.466 GMT+09:00","-0.34741938","0.012369657","0.18508671"
"2022-04-29 17:30:36.668 GMT+09:00","-0.37536564","0.02535016","0.04703524"
"2022-04-29 17:30:36.870 GMT+09:00","-0.5978668","0.05986303","-0.13912046"
"2022-04-29 17:30:37.065 GMT+09:00","0.5402944","-0.16172181","0.38361207"
"2022-04-29 17:30:37.265 GMT+09:00","1.0324845","-0.1873774","0.34314343"
"2022-04-29 17:30:37.468 GMT+09:00","0.5428905","0.31611344","0.3205421"
"2022-04-29 17:30:37.668 GMT+09:00","0.5355603","-0.13728791","-0.004123219"
"2022-04-29 17:30:37.869 GMT+09:00","0.07177455","0.110868774","0.06734591"
"2022-04-29 17:30:38.067 GMT+09:00","-0.6630747","-0.17149536","0.4071297"
"2022-04-29 17:30:38.267 GMT+09:00","-0.22250111","0.08567133","0.5470137"
"2022-04-29 17:30:38.468 GMT+09:00","0.27701923","0.073607095","0.41354358"
"2022-04-29 17:30:38.670 GMT+09:00","0.8408313","-0.13423368","0.6253549"
"2022-04-29 17:30:38.865 GMT+09:00","0.50990474","0.019852536","0.6223006"
"2022-04-29 17:30:39.067 GMT+09:00","0.387888","-0.3478775","0.5544966"
"2022-04-29 17:30:39.268 GMT+09:00","0.25930467","-0.16279079","0.21364383"
"2022-04-29 17:30:39.470 GMT+09:00","0.3811687","0.33764583","0.0027488125"
"2022-04-29 17:30:39.671 GMT+09:00","0.021685077","-0.11209047","0.29885703"
"2022-04-29 17:30:39.866 GMT+09:00","-0.009468133","0.33825666","0.6436803"
"2022-04-29 17:30:40.067 GMT+09:00","0.255945","0.09987353","0.15454435"
"2022-04-29 17:30:40.267 GMT+09:00","0.17852011","0.12354386","0.0019852535"
"2022-04-29 17:30:40.472 GMT+09:00","0.1408003","0.20264858","0.3103104"
"2022-04-29 17:30:40.670 GMT+09:00","0.09132166","-0.36375955","-0.17302248"
"2022-04-29 17:30:40.872 GMT+09:00","0.18233791","-0.1331647","-0.17378604"
"2022-04-29 17:30:41.109 GMT+09:00","0.24204823","0.026419144","-0.16889927"
"2022-04-29 17:30:41.307 GMT+09:00","0.0018325418","-0.07742489","0.100637086"
"2022-04-29 17:30:41.508 GMT+09:00","-0.42438614","-0.032222193","0.4085041"
"2022-04-29 17:30:41.709 GMT+09:00","0.012064233","-0.15011571","0.23120569"
"2022-04-29 17:30:41.911 GMT+09:00","0.50226915","0.38407022","0.33810395"
"2022-04-29 17:30:42.106 GMT+09:00","1.065623","-0.03955236","1.2586508"
"2022-04-29 17:30:42.308 GMT+09:00","1.815438","-0.11193776","2.0266385"
"2022-04-29 17:30:42.508 GMT+09:00","1.2803359","-0.053601846","1.5141376"
"2022-04-29 17:30:42.711 GMT+09:00","0.34329617","0.27213246","0.31840414"
"2022-04-29 17:30:42.906 GMT+09:00","-0.28984702","-0.16248538","0.09239065"
"2022-04-29 17:30:43.107 GMT+09:00","-1.0167552","-0.070552856","-0.679873"
"2022-04-29 17:30:43.307 GMT+09:00","-0.45416492","-0.0036650836","-0.32527617"
"2022-04-29 17:30:43.509 GMT+09:00","0.19104248","0.33550787","-0.11743539"
"2022-04-29 17:30:43.711 GMT+09:00","0.3555131","-0.020768806","0.40987852"
"2022-04-29 17:30:43.907 GMT+09:00","0.004428643","-0.022448637","0.27992076"
"2022-04-29 17:30:44.108 GMT+09:00","-0.07207998","-0.47417018","-0.17378604"
"2022-04-29 17:30:44.309 GMT+09:00","0.554802","0.5201364","-0.33367532"
"2022-04-29 17:30:44.511 GMT+09:00","0.3943019","-0.44882002","0.17790927"
"2022-04-29 17:30:44.705 GMT+09:00","-0.5079195","0.1241547","0.29229042"
"2022-04-29 17:30:44.906 GMT+09:00","-0.4731012","-0.2832804","0.3231382"
"2022-04-29 17:30:45.108 GMT+09:00","0.036498122","0.3310792","-0.1797418"
"2022-04-29 17:30:45.309 GMT+09:00","0.34497598","0.27304873","-0.0027488125"
"2022-04-29 17:30:45.511 GMT+09:00","0.41430715","0.012522369","0.23700874"
"2022-04-29 17:30:45.707 GMT+09:00","-0.034818295","-0.27442312","0.28282228"
"2022-04-29 17:30:45.907 GMT+09:00","0.068873025","-0.22692975","-0.19455485"
"2022-04-29 17:30:46.109 GMT+09:00","0.4627168","0.0801737","-0.14339639"
"2022-04-29 17:30:46.311 GMT+09:00","0.1435491","-0.07177455","0.37811446"
"2022-04-29 17:30:46.505 GMT+09:00","-0.23975755","0.124001995","0.27045262"
"2022-04-29 17:30:46.707 GMT+09:00","-0.45049986","0.008399149","-0.22937314"
"2022-04-29 17:30:46.907 GMT+09:00","0.029778805","0.71805096","-0.21837789"
"2022-04-29 17:30:47.109 GMT+09:00","-0.28282228","0.18768282","-0.13728791"
"2022-04-29 17:30:47.310 GMT+09:00","0.23196925","-0.33932567","-0.16981554"
"2022-04-29 17:30:47.505 GMT+09:00","0.7426376","-0.4767663","0.111479625"
"2022-04-29 17:30:47.706 GMT+09:00","0.31489176","0.48394373","0.09544489"
"2022-04-29 17:30:47.908 GMT+09:00","-0.093917765","-0.04199575","0.13102673"
"2022-04-29 17:30:48.110 GMT+09:00","-0.17852011","0.07330167","0.5322007"
"2022-04-29 17:30:48.309 GMT+09:00","0.35490227","-1.0149227","0.5561764"
"2022-04-29 17:30:48.511 GMT+09:00","-0.4459185","0.6476508","-0.24479704"
"2022-04-29 17:30:48.747 GMT+09:00","0.27442312","0.22463907","-0.14965758"
"2022-04-29 17:30:48.947 GMT+09:00","-0.014202199","-0.25701398","0.10430217"
"2022-04-29 17:30:49.149 GMT+09:00","-0.053449135","-0.44820917","0.046271678"
"2022-04-29 17:30:49.350 GMT+09:00","0.19531842","0.12644538","0.059404895"
"2022-04-29 17:30:49.552 GMT+09:00","0.24189551","0.39369106","-0.019088976"
"2022-04-29 17:30:49.746 GMT+09:00","-0.0056503373","0.10323319","-0.06322269"
"2022-04-29 17:30:49.948 GMT+09:00","-0.49448085","0.01175881","0.12369657"
"2022-04-29 17:30:50.149 GMT+09:00","-0.5195256","-0.1227803","0.15271181"
"2022-04-29 17:30:50.351 GMT+09:00","0.05207473","0.25701398","-0.25273806"
"2022-04-29 17:30:50.547 GMT+09:00","0.2415901","0.21272756","-0.14049487"
"2022-04-29 17:30:50.747 GMT+09:00","0.37063158","-0.020005248","0.032527618"
"2022-04-29 17:30:50.949 GMT+09:00","0.2843494","-0.26266432","-0.055434387"
"2022-04-29 17:30:51.149 GMT+09:00","-0.06810947","-0.05833591","0.050242186"
"2022-04-29 17:30:51.352 GMT+09:00","0.27060533","0.3208475","0.015882028"
"2022-04-29 17:30:51.547 GMT+09:00","-0.13133216","-0.16783029","0.012064233"
"2022-04-29 17:30:51.747 GMT+09:00","-0.5984776","0.030695075","0.22311196"
"2022-04-29 17:30:51.949 GMT+09:00","-0.5080722","-0.042301174","-0.2582357"
"2022-04-29 17:30:52.151 GMT+09:00","-0.15362808","0.60015744","-0.40422818"
"2022-04-29 17:30:52.347 GMT+09:00","0.10353861","0.08964183","0.041843038"
"2022-04-29 17:30:52.548 GMT+09:00","0.43370155","-0.053449135","0.13133216"
"2022-04-29 17:30:52.748 GMT+09:00","0.4497363","-0.34894648","0.32558158"
"2022-04-29 17:30:52.949 GMT+09:00","0.19073705","-0.49921492","0.08551861"
"2022-04-29 17:30:53.150 GMT+09:00","0.14981028","0.18294875","-0.06688777"
"2022-04-29 17:30:53.347 GMT+09:00","-0.17653486","0.00167983","0.08093726"
"2022-04-29 17:30:53.549 GMT+09:00","-0.086434886","0.23487078","0.18920994"
"2022-04-29 17:30:53.749 GMT+09:00","-0.3463504","0.10124794","0.41186377"
"2022-04-29 17:30:53.952 GMT+09:00","0.17745113","0.31428093","0.0030542363"
"2022-04-29 17:30:54.146 GMT+09:00","0.45569205","0.03787253","0.20249587"
"2022-04-29 17:30:54.347 GMT+09:00","0.8025006","-0.10628742","1.0361496"
"2022-04-29 17:30:54.549 GMT+09:00","1.5257437","-0.037108973","1.982963"
"2022-04-29 17:30:54.751 GMT+09:00","0.79685026","0.3591782","1.9515042"
"2022-04-29 17:30:54.951 GMT+09:00","0.58870405","0.0787993","0.88481224"
"2022-04-29 17:30:55.147 GMT+09:00","0.47737715","-0.25289077","0.7072084"
"2022-04-29 17:30:55.348 GMT+09:00","-0.836708","-0.35123718","0.29885703"
"2022-04-29 17:30:55.548 GMT+09:00","-0.4677563","0.33932567","0.032374904"
"2022-04-29 17:30:55.750 GMT+09:00","0.31046313","-0.255945","-0.3594836"
"2022-04-29 17:30:55.950 GMT+09:00","0.2582357","0.11697725","-0.14293826"
"2022-04-29 17:30:56.149 GMT+09:00","0.49707696","-0.14767233","0.77989924"
"2022-04-29 17:30:56.385 GMT+09:00","0.6916318","-0.22692975","0.64780354"
"2022-04-29 17:30:56.586 GMT+09:00","0.093917765","-0.2327328","-0.09468132"
"2022-04-29 17:30:56.788 GMT+09:00","0.6125271","0.37170056","-0.38605547"
"2022-04-29 17:30:56.988 GMT+09:00","-0.32283276","0.016645588","0.2507528"
"2022-04-29 17:30:57.190 GMT+09:00","-0.70125264","0.20753536","0.10185878"
"2022-04-29 17:30:57.386 GMT+09:00","-0.3733804","-0.17409147","0.15439165"
"2022-04-29 17:30:57.589 GMT+09:00","0.4341597","0.8722899","-0.41171107"
"2022-04-29 17:30:57.790 GMT+09:00","1.192832","-0.08964183","0.58610797"
"2022-04-29 17:30:57.990 GMT+09:00","-0.11667182","-0.14370182","0.37551835"
"2022-04-29 17:30:58.186 GMT+09:00","0.30404922","0.025655584","0.18905723"
"2022-04-29 17:30:58.386 GMT+09:00","0.52288526","0.09773556","0.27457583"
"2022-04-29 17:30:58.588 GMT+09:00","-0.52303797","-0.07559235","0.53388053"
"2022-04-29 17:30:58.789 GMT+09:00","-0.14446537","0.060779303","0.661853"
"2022-04-29 17:30:58.991 GMT+09:00","0.26144263","-0.33016294","-6.1084726E-4"
"2022-04-29 17:30:59.187 GMT+09:00","-0.62092626","1.0013313","-0.74508095"
"2022-04-29 17:30:59.387 GMT+09:00","0.9811734","-0.003970507","0.9503256"
"2022-04-29 17:30:59.589 GMT+09:00","0.4947863","0.0865876","0.3721587"
"2022-04-29 17:30:59.790 GMT+09:00","0.2892362","-0.64398575","0.28908345"
"2022-04-29 17:30:59.986 GMT+09:00","0.5183039","0.27060533","0.5242597"
"2022-04-29 17:31:00.187 GMT+09:00","-0.47859883","-0.3582619","0.32145837"
"2022-04-29 17:31:00.388 GMT+09:00","-0.44271156","6.1084726E-4","0.27091077"
"2022-04-29 17:31:00.590 GMT+09:00","-0.5311317","-0.1655396","0.616803"
"2022-04-29 17:31:00.791 GMT+09:00","0.42530242","0.16172181","-0.4031592"
"2022-04-29 17:31:00.987 GMT+09:00","0.40575528","0.06154286","0.31825143"
"2022-04-29 17:31:01.188 GMT+09:00","0.6881194","-0.19119519","0.32161108"
"2022-04-29 17:31:01.388 GMT+09:00","0.12552911","-0.6103891","0.051616594"
"2022-04-29 17:31:01.590 GMT+09:00","0.13224843","0.93688697","-0.5244124"
"2022-04-29 17:31:01.786 GMT+09:00","0.19363858","0.4033119","0.12598725"
"2022-04-29 17:31:01.987 GMT+09:00","-0.3814741","-0.90283227","-0.26831466"
"2022-04-29 17:31:02.188 GMT+09:00","-0.62840915","-0.7009472","0.703696"
"2022-04-29 17:31:02.389 GMT+09:00","0.09239065","0.61634487","0.03939965"
"2022-04-29 17:31:02.591 GMT+09:00","0.21791977","0.33902022","-0.19073705"
"2022-04-29 17:31:02.789 GMT+09:00","0.32527617","0.028404398","0.09147438"
"2022-04-29 17:31:02.991 GMT+09:00","0.33520243","-0.1021642","0.09651387"
"2022-04-29 17:31:03.190 GMT+09:00","0.037414394","-0.5013529","0.13560809"
"2022-04-29 17:31:03.389 GMT+09:00","0.39979953","0.4512634","0.33734038"
"2022-04-29 17:31:03.592 GMT+09:00","0.38468108","0.008399149","0.3633014"
"2022-04-29 17:31:03.793 GMT+09:00","-0.17286977","-0.17409147","0.30939415"
"2022-04-29 17:31:04.026 GMT+09:00","-0.5173876","-0.03130592","0.14981028"
"2022-04-29 17:31:04.226 GMT+09:00","-0.28404397","-0.044439137","-0.2519745"
"2022-04-29 17:31:04.427 GMT+09:00","-3.0542363E-4","0.3115321","-0.45294324"
"2022-04-29 17:31:04.629 GMT+09:00","0.045966256","-0.078035735","-0.24113196"
"2022-04-29 17:31:04.832 GMT+09:00","0.18523943","0.12980504","-0.055434387"
"2022-04-29 17:31:05.025 GMT+09:00","-0.030542362","-0.6838435","-0.26587126"
"2022-04-29 17:31:05.226 GMT+09:00","0.35627666","0.16095825","-0.40575528"
"2022-04-29 17:31:05.428 GMT+09:00","-0.10659285","-0.08124269","0.042606596"
"2022-04-29 17:31:05.630 GMT+09:00","-0.5085303","-0.06429167","0.28496024"
"2022-04-29 17:31:05.825 GMT+09:00","-0.5871769","-0.014507622","0.29274854"
"2022-04-29 17:31:06.026 GMT+09:00","0.15530792","0.12171131","0.18905723"
"2022-04-29 17:31:06.227 GMT+09:00","0.9817843","0.31168482","0.4278985"
"2022-04-29 17:31:06.428 GMT+09:00","1.2155861","-0.043064732","1.079978"
"2022-04-29 17:31:06.629 GMT+09:00","0.6613949","-0.018478129","1.2412416"
"2022-04-29 17:31:06.829 GMT+09:00","-0.33413345","-0.12552911","0.09743014"
"2022-04-29 17:31:07.027 GMT+09:00","-0.0045813546","-0.25777754","-0.6722374"
"2022-04-29 17:31:07.228 GMT+09:00","-1.002095","0.20310672","-0.76035213"
"2022-04-29 17:31:07.429 GMT+09:00","-0.86633414","0.10582929","-0.37704548"
