"time","data"
"2022-04-29 17:33:58.496 GMT+09:00","3.8262498"
"2022-04-29 17:33:58.497 GMT+09:00","4.08625"
"2022-04-29 17:33:59.001 GMT+09:00","4.60625"
"2022-04-29 17:33:59.719 GMT+09:00","5.2799997"
"2022-04-29 17:34:00.027 GMT+09:00","4.6025"
"2022-04-29 17:34:00.129 GMT+09:00","4.2525"
"2022-04-29 17:34:00.539 GMT+09:00","5.01125"
"2022-04-29 17:34:00.644 GMT+09:00","5.6037498"
"2022-04-29 17:34:00.746 GMT+09:00","5.9575"
"2022-04-29 17:34:01.155 GMT+09:00","6.5499997"
"2022-04-29 17:34:01.463 GMT+09:00","7.1549997"
"2022-04-29 17:34:01.975 GMT+09:00","7.8325"
"2022-04-29 17:34:02.592 GMT+09:00","8.4425"
"2022-04-29 17:34:02.899 GMT+09:00","9.8012495"
"2022-04-29 17:34:03.104 GMT+09:00","10.7387495"
"2022-04-29 17:34:03.309 GMT+09:00","12.57"
"2022-04-29 17:34:03.513 GMT+09:00","13.755"
"2022-04-29 17:34:03.720 GMT+09:00","14.943749"
"2022-04-29 17:34:04.028 GMT+09:00","16.17125"
"2022-04-29 17:34:04.129 GMT+09:00","19.2225"
"2022-04-29 17:34:04.233 GMT+09:00","21.41625"
"2022-04-29 17:34:04.540 GMT+09:00","23.533749"
"2022-04-29 17:34:04.643 GMT+09:00","26.176249"
"2022-04-29 17:34:04.949 GMT+09:00","30.676249"
"2022-04-29 17:34:05.155 GMT+09:00","33.295"
"2022-04-29 17:34:05.259 GMT+09:00","36.8475"
"2022-04-29 17:34:05.360 GMT+09:00","48.07375"
"2022-04-29 17:34:05.464 GMT+09:00","55.4175"
"2022-04-29 17:34:05.669 GMT+09:00","66.05125"
"2022-04-29 17:34:06.592 GMT+09:00","78.353745"
"2022-04-29 17:34:06.797 GMT+09:00","96.18125"
"2022-04-29 17:34:06.899 GMT+09:00","115.32125"
"2022-04-29 17:34:08.233 GMT+09:00","126.1475"
"2022-04-29 17:34:08.335 GMT+09:00","140.88625"
"2022-04-29 17:34:08.439 GMT+09:00","152.5725"
"2022-04-29 17:34:08.642 GMT+09:00","166.3875"
"2022-04-29 17:34:09.163 GMT+09:00","143.59999"
"2022-04-29 17:34:09.258 GMT+09:00","123.314995"
"2022-04-29 17:34:09.360 GMT+09:00","111.95875"
"2022-04-29 17:34:10.079 GMT+09:00","124.94625"
"2022-04-29 17:34:10.694 GMT+09:00","107.854996"
"2022-04-29 17:34:11.104 GMT+09:00","121.759995"
"2022-04-29 17:34:11.411 GMT+09:00","142.71124"
"2022-04-29 17:34:11.923 GMT+09:00","108.35625"
"2022-04-29 17:34:12.130 GMT+09:00","93.4075"
"2022-04-29 17:34:12.641 GMT+09:00","75.441246"
"2022-04-29 17:34:13.769 GMT+09:00","84.76625"
"2022-04-29 17:34:13.872 GMT+09:00","96.31"
"2022-04-29 17:34:14.180 GMT+09:00","81.2125"
"2022-04-29 17:34:14.283 GMT+09:00","71.8275"
"2022-04-29 17:34:14.591 GMT+09:00","64.23125"
"2022-04-29 17:34:14.695 GMT+09:00","75.70375"
"2022-04-29 17:34:14.796 GMT+09:00","66.67625"
"2022-04-29 17:34:14.899 GMT+09:00","55.817497"
"2022-04-29 17:34:15.002 GMT+09:00","45.556248"
"2022-04-29 17:34:15.313 GMT+09:00","36.896248"
"2022-04-29 17:34:15.412 GMT+09:00","45.12125"
"2022-04-29 17:34:15.823 GMT+09:00","41.2575"
"2022-04-29 17:34:16.337 GMT+09:00","35.21375"
"2022-04-29 17:34:16.439 GMT+09:00","29.75375"
"2022-04-29 17:34:16.541 GMT+09:00","25.5625"
"2022-04-29 17:34:16.646 GMT+09:00","20.02125"
"2022-04-29 17:34:16.746 GMT+09:00","17.84"
"2022-04-29 17:34:16.953 GMT+09:00","16.2425"
"2022-04-29 17:34:17.055 GMT+09:00","18.42375"
"2022-04-29 17:34:17.156 GMT+09:00","22.1075"
"2022-04-29 17:34:17.260 GMT+09:00","27.9"
"2022-04-29 17:34:17.363 GMT+09:00","32.44125"
"2022-04-29 17:34:17.773 GMT+09:00","27.30375"
"2022-04-29 17:34:17.876 GMT+09:00","24.365"
"2022-04-29 17:34:17.979 GMT+09:00","22.345"
"2022-04-29 17:34:18.081 GMT+09:00","19.33"
"2022-04-29 17:34:18.183 GMT+09:00","16.8125"
"2022-04-29 17:34:18.594 GMT+09:00","14.88375"
"2022-04-29 17:34:18.901 GMT+09:00","17.23"
"2022-04-29 17:34:19.005 GMT+09:00","19.49125"
"2022-04-29 17:34:19.107 GMT+09:00","23.18875"
"2022-04-29 17:34:19.217 GMT+09:00","26.11875"
"2022-04-29 17:34:19.723 GMT+09:00","22.16125"
"2022-04-29 17:34:19.825 GMT+09:00","20.061249"
"2022-04-29 17:34:20.030 GMT+09:00","17.62125"
"2022-04-29 17:34:20.237 GMT+09:00","14.77625"
"2022-04-29 17:34:20.342 GMT+09:00","11.4325"
"2022-04-29 17:34:20.647 GMT+09:00","13.7625"
"2022-04-29 17:34:20.749 GMT+09:00","16.359999"
"2022-04-29 17:34:20.952 GMT+09:00","18.37875"
"2022-04-29 17:34:21.158 GMT+09:00","16.1175"
"2022-04-29 17:34:21.364 GMT+09:00","14.60125"
"2022-04-29 17:34:21.568 GMT+09:00","12.83375"
"2022-04-29 17:34:21.773 GMT+09:00","11.0824995"
"2022-04-29 17:34:21.983 GMT+09:00","8.9025"
"2022-04-29 17:34:22.082 GMT+09:00","6.6499996"
"2022-04-29 17:34:22.287 GMT+09:00","5.9725"
"2022-04-29 17:34:22.698 GMT+09:00","7.1612496"
"2022-04-29 17:34:22.801 GMT+09:00","8.0"
"2022-04-29 17:34:23.006 GMT+09:00","5.9987497"
"2022-04-29 17:34:23.109 GMT+09:00","5.1637497"
"2022-04-29 17:34:23.520 GMT+09:00","4.725"
"2022-04-29 17:34:23.724 GMT+09:00","3.8899999"
"2022-04-29 17:34:23.931 GMT+09:00","3.46375"
"2022-04-29 17:34:24.136 GMT+09:00","2.71375"
"2022-04-29 17:34:24.442 GMT+09:00","3.2124999"
"2022-04-29 17:34:24.649 GMT+09:00","3.7099998"
"2022-04-29 17:34:24.852 GMT+09:00","4.0475"
"2022-04-29 17:34:26.096 GMT+09:00","3.625"
"2022-04-29 17:34:26.412 GMT+09:00","3.96625"
"2022-04-29 17:34:27.039 GMT+09:00","4.47375"
"2022-04-29 17:34:27.244 GMT+09:00","4.81875"
"2022-04-29 17:34:27.963 GMT+09:00","5.33"
"2022-04-29 17:34:28.372 GMT+09:00","5.77375"
"2022-04-29 17:34:29.191 GMT+09:00","6.6749997"
"2022-04-29 17:34:29.501 GMT+09:00","6.36125"
"2022-04-29 17:34:30.525 GMT+09:00","5.765"
"2022-04-29 17:34:34.009 GMT+09:00","6.11875"
"2022-04-29 17:34:34.828 GMT+09:00","6.6349998"
"2022-04-29 17:34:35.546 GMT+09:00","7.33875"
"2022-04-29 17:34:36.467 GMT+09:00","8.27625"
"2022-04-29 17:34:36.776 GMT+09:00","8.881249"
"2022-04-29 17:34:37.186 GMT+09:00","10.2325"
"2022-04-29 17:34:37.391 GMT+09:00","11.6762495"
"2022-04-29 17:34:37.698 GMT+09:00","12.94625"
"2022-04-29 17:34:38.007 GMT+09:00","14.045"
"2022-04-29 17:34:38.417 GMT+09:00","15.495"
"2022-04-29 17:34:38.520 GMT+09:00","16.9525"
"2022-04-29 17:34:38.725 GMT+09:00","18.98"
"2022-04-29 17:34:38.931 GMT+09:00","20.68"
"2022-04-29 17:34:39.340 GMT+09:00","24.0"
"2022-04-29 17:34:39.444 GMT+09:00","27.39625"
"2022-04-29 17:34:39.546 GMT+09:00","29.76"
"2022-04-29 17:34:39.649 GMT+09:00","32.806248"
"2022-04-29 17:34:39.853 GMT+09:00","38.22625"
"2022-04-29 17:34:39.956 GMT+09:00","44.07125"
"2022-04-29 17:34:40.060 GMT+09:00","50.73875"
"2022-04-29 17:34:40.366 GMT+09:00","58.84625"
"2022-04-29 17:34:40.982 GMT+09:00","47.32875"
"2022-04-29 17:34:41.187 GMT+09:00","54.524998"
"2022-04-29 17:34:41.290 GMT+09:00","62.344997"
"2022-04-29 17:34:41.495 GMT+09:00","70.3425"
"2022-04-29 17:34:41.701 GMT+09:00","80.3575"
"2022-04-29 17:34:41.907 GMT+09:00","99.064995"
"2022-04-29 17:34:42.317 GMT+09:00","109.542496"
"2022-04-29 17:34:43.237 GMT+09:00","121.369995"
"2022-04-29 17:34:43.443 GMT+09:00","140.7525"
"2022-04-29 17:34:43.545 GMT+09:00","155.81874"
"2022-04-29 17:34:43.751 GMT+09:00","177.1975"
"2022-04-29 17:34:44.468 GMT+09:00","156.64125"
"2022-04-29 17:34:45.084 GMT+09:00","143.49374"
"2022-04-29 17:34:45.291 GMT+09:00","129.075"
"2022-04-29 17:34:45.392 GMT+09:00","118.545"
"2022-04-29 17:34:45.700 GMT+09:00","95.798744"
