"time","x","y","z"
"2022-04-29 17:37:19.902 GMT+09:00","6.0251274","3.1004999","6.285945"
"2022-04-29 17:37:20.103 GMT+09:00","6.087939","2.7338","6.4444695"
"2022-04-29 17:37:20.304 GMT+09:00","6.9942207","2.0207388","7.2693954"
"2022-04-29 17:37:20.505 GMT+09:00","6.3475604","-0.9379865","8.59143"
"2022-04-29 17:37:20.707 GMT+09:00","5.2983074","-1.0887343","6.875776"
"2022-04-29 17:37:20.902 GMT+09:00","6.061618","-0.47258246","7.872985"
"2022-04-29 17:37:21.103 GMT+09:00","7.5906315","-0.74117684","7.752745"
"2022-04-29 17:37:21.305 GMT+09:00","6.1788664","1.5391831","6.7854466"
"2022-04-29 17:37:21.508 GMT+09:00","6.6071815","2.0614166","6.2805614"
"2022-04-29 17:37:21.702 GMT+09:00","6.946364","1.1240284","6.0191455"
"2022-04-29 17:37:21.905 GMT+09:00","7.919645","0.2650051","6.8488564"
"2022-04-29 17:37:22.107 GMT+09:00","6.134001","-0.9302098","8.081161"
"2022-04-29 17:37:22.307 GMT+09:00","5.2031927","-0.19202402","7.798209"
"2022-04-29 17:37:22.509 GMT+09:00","5.9790654","0.023928227","8.079366"
"2022-04-29 17:37:22.704 GMT+09:00","7.509874","-1.0348958","8.078768"
"2022-04-29 17:37:22.905 GMT+09:00","5.298906","1.1437693","6.2081785"
"2022-04-29 17:37:23.106 GMT+09:00","6.285945","0.7920243","6.7722864"
"2022-04-29 17:37:23.307 GMT+09:00","6.172884","1.0749756","7.219146"
"2022-04-29 17:37:23.504 GMT+09:00","7.896913","-0.7495517","7.9944205"
"2022-04-29 17:37:23.704 GMT+09:00","4.6552362","-2.8133612","8.590832"
"2022-04-29 17:37:23.905 GMT+09:00","4.2299123","0.4959125","7.3698936"
"2022-04-29 17:37:24.106 GMT+09:00","5.0739803","-0.4863412","9.236296"
"2022-04-29 17:37:24.309 GMT+09:00","6.4995046","-0.8249256","8.327621"
"2022-04-29 17:37:24.504 GMT+09:00","4.144967","2.0745773","8.270791"
"2022-04-29 17:37:24.706 GMT+09:00","5.28754","1.622932","7.2269225"
"2022-04-29 17:37:24.906 GMT+09:00","4.8885365","2.2725832","8.601001"
"2022-04-29 17:37:25.106 GMT+09:00","6.556334","0.96849495","8.886345"
"2022-04-29 17:37:25.305 GMT+09:00","4.8436713","-0.9625129","7.4644103"
"2022-04-29 17:37:25.504 GMT+09:00","5.4753766","-1.0456635","7.5290165"
"2022-04-29 17:37:25.706 GMT+09:00","5.587839","-0.99900347","7.7994056"
"2022-04-29 17:37:25.906 GMT+09:00","7.063014","-1.3573287","8.75474"
"2022-04-29 17:37:26.109 GMT+09:00","4.858028","0.9726824","7.2556367"
"2022-04-29 17:37:26.304 GMT+09:00","5.933004","1.3316058","7.515258"
"2022-04-29 17:37:26.505 GMT+09:00","6.68435","0.8392825","6.579664"
"2022-04-29 17:37:26.707 GMT+09:00","7.5792656","-0.09451649","7.844869"
"2022-04-29 17:37:26.908 GMT+09:00","5.6237316","-0.70169526","7.2245297"
"2022-04-29 17:37:27.109 GMT+09:00","5.6739807","-1.2867404","7.0845494"
"2022-04-29 17:37:27.310 GMT+09:00","6.3457656","-0.92542416","7.6803627"
"2022-04-29 17:37:27.544 GMT+09:00","5.9838514","-0.4546363","7.41117"
"2022-04-29 17:37:27.745 GMT+09:00","7.315457","-1.4835501","8.178069"
"2022-04-29 17:37:27.946 GMT+09:00","6.381658","-1.3591232","5.701498"
"2022-04-29 17:37:28.148 GMT+09:00","6.1244297","-0.715454","7.09113"
"2022-04-29 17:37:28.350 GMT+09:00","6.9894347","-0.24107689","7.381858"
"2022-04-29 17:37:28.545 GMT+09:00","6.7058854","-0.68494546","6.574878"
