"time","x","y","z"
"2022-04-29 17:28:23.044 GMT+09:00","-1.611267","5.2680984","7.8646097"
"2022-04-29 17:28:23.120 GMT+09:00","-1.6328024","5.022834","8.2094755"
"2022-04-29 17:28:23.123 GMT+09:00","-2.8405795","3.7911284","7.6109705"
"2022-04-29 17:28:23.125 GMT+09:00","-3.2416766","5.205885","7.8610206"
"2022-04-29 17:28:23.128 GMT+09:00","-1.9187447","4.369294","8.606684"
"2022-04-29 17:28:23.130 GMT+09:00","-1.1826526","4.4207397","9.6326065"
"2022-04-29 17:28:23.133 GMT+09:00","-0.9840483","4.4315076","10.147363"
"2022-04-29 17:28:23.227 GMT+09:00","-1.3154542","4.4518466","10.368699"
"2022-04-29 17:28:23.230 GMT+09:00","-1.4365909","4.0962133","9.93799"
"2022-04-29 17:28:23.232 GMT+09:00","-1.2496517","4.171587","9.0436735"
"2022-04-29 17:28:23.237 GMT+09:00","-1.1623136","4.442275","8.589934"
"2022-04-29 17:28:23.359 GMT+09:00","-0.9314062","4.6755753","8.676076"
"2022-04-29 17:28:23.362 GMT+09:00","-0.7480562","4.57747","8.455936"
"2022-04-29 17:28:23.364 GMT+09:00","-0.67148584","4.793123","8.410473"
"2022-04-29 17:28:23.366 GMT+09:00","-0.59970117","4.851747","8.612666"
"2022-04-29 17:28:23.368 GMT+09:00","-0.78394854","4.8696933","8.682058"
"2022-04-29 17:28:23.371 GMT+09:00","-1.049851","5.142475","8.7673025"
"2022-04-29 17:28:23.373 GMT+09:00","-0.7289136","4.9319067","8.756535"
"2022-04-29 17:28:23.375 GMT+09:00","-0.325723","5.2680984","8.428419"
"2022-04-29 17:28:23.405 GMT+09:00","-0.0849452","5.0515475","8.412866"
"2022-04-29 17:28:23.408 GMT+09:00","0.17826529","3.618546","8.861818"
"2022-04-29 17:28:23.548 GMT+09:00","0.2213361","4.281956","9.502198"
"2022-04-29 17:28:23.558 GMT+09:00","0.21296121","4.945067","9.550055"
"2022-04-29 17:28:23.563 GMT+09:00","0.3281158","5.201099","9.504591"
"2022-04-29 17:28:23.567 GMT+09:00","0.17108682","4.6325045","9.227921"
"2022-04-29 17:28:23.569 GMT+09:00","0.14237295","3.8724844","9.226724"
"2022-04-29 17:28:23.570 GMT+09:00","0.09810573","3.5144582","9.423235"
"2022-04-29 17:28:23.572 GMT+09:00","0.21774685","3.0921252","9.46152"
"2022-04-29 17:28:23.599 GMT+09:00","0.17228323","2.9877381","9.436396"
"2022-04-29 17:28:23.602 GMT+09:00","0.28743783","2.9542387","9.046066"
"2022-04-29 17:28:23.605 GMT+09:00","0.36041892","3.063112","8.633005"
"2022-04-29 17:28:23.625 GMT+09:00","0.3185445","3.1232316","8.516953"
"2022-04-29 17:28:23.646 GMT+09:00","0.038285162","3.114857","8.664112"
"2022-04-29 17:28:23.685 GMT+09:00","-0.3819543","3.0272198","8.9108715"
"2022-04-29 17:28:23.688 GMT+09:00","-0.67148584","3.1292138","8.927621"
"2022-04-29 17:28:23.702 GMT+09:00","-0.48006004","3.559922","8.449954"
"2022-04-29 17:28:23.804 GMT+09:00","-0.39391842","4.08066","7.7210402"
"2022-04-29 17:28:23.806 GMT+09:00","-0.2656033","4.523631","7.3773713"
"2022-04-29 17:28:23.809 GMT+09:00","-0.02871387","4.662415","7.882556"
"2022-04-29 17:28:23.811 GMT+09:00","-0.19740787","4.470989","8.453544"
"2022-04-29 17:28:23.813 GMT+09:00","-0.38913277","4.4949174","8.500203"
"2022-04-29 17:28:23.836 GMT+09:00","-0.69182485","4.554738","8.311171"
"2022-04-29 17:28:23.839 GMT+09:00","-1.1563315","4.4434714","8.134998"
"2022-04-29 17:28:24.005 GMT+09:00","-1.5394822","4.753342","8.2681"
"2022-04-29 17:28:24.007 GMT+09:00","-2.012364","4.7365923","8.48465"
"2022-04-29 17:28:24.009 GMT+09:00","-2.5462625","4.8445687","8.812766"
"2022-04-29 17:28:24.010 GMT+09:00","-2.3976083","5.0383873","9.107083"
"2022-04-29 17:28:24.012 GMT+09:00","-1.7763717","5.172385","9.449555"
"2022-04-29 17:28:24.013 GMT+09:00","-1.6220347","5.1149573","9.645767"
"2022-04-29 17:28:24.015 GMT+09:00","-2.1391835","5.232206","9.731909"
"2022-04-29 17:28:24.016 GMT+09:00","-2.4382863","5.2250276","9.380164"
"2022-04-29 17:28:24.045 GMT+09:00","-2.347359","5.219045","8.72782"
"2022-04-29 17:28:24.048 GMT+09:00","-2.1451654","5.0922256","8.466703"
"2022-04-29 17:28:24.204 GMT+09:00","-1.8158532","5.0994043","8.970692"
"2022-04-29 17:28:24.206 GMT+09:00","-2.1224337","5.4227343","9.70798"
"2022-04-29 17:28:24.208 GMT+09:00","-2.1834507","4.7114677","9.631411"
"2022-04-29 17:28:24.210 GMT+09:00","-2.07697","4.4889355","9.333504"
