"time","data"
"2022-04-29 17:33:34.136 GMT+09:00","47.0"
"2022-04-29 17:33:34.367 GMT+09:00","52.0"
"2022-04-29 17:33:34.606 GMT+09:00","73.0"
"2022-04-29 17:33:34.851 GMT+09:00","84.0"
"2022-04-29 17:33:35.090 GMT+09:00","86.0"
"2022-04-29 17:33:35.332 GMT+09:00","92.0"
"2022-04-29 17:33:35.806 GMT+09:00","91.0"
"2022-04-29 17:33:36.051 GMT+09:00","93.0"
"2022-04-29 17:33:36.288 GMT+09:00","92.0"
"2022-04-29 17:33:36.533 GMT+09:00","91.0"
"2022-04-29 17:33:36.769 GMT+09:00","85.0"
"2022-04-29 17:33:37.007 GMT+09:00","83.0"
"2022-04-29 17:33:37.251 GMT+09:00","81.0"
"2022-04-29 17:33:37.494 GMT+09:00","77.0"
"2022-04-29 17:33:37.728 GMT+09:00","71.0"
"2022-04-29 17:33:38.208 GMT+09:00","75.0"
"2022-04-29 17:33:38.452 GMT+09:00","66.0"
"2022-04-29 17:33:38.691 GMT+09:00","65.0"
"2022-04-29 17:33:38.937 GMT+09:00","57.0"
"2022-04-29 17:33:39.174 GMT+09:00","53.0"
"2022-04-29 17:33:39.407 GMT+09:00","50.0"
"2022-04-29 17:33:39.650 GMT+09:00","45.0"
"2022-04-29 17:33:39.894 GMT+09:00","42.0"
"2022-04-29 17:33:40.135 GMT+09:00","39.0"
"2022-04-29 17:33:40.373 GMT+09:00","36.0"
"2022-04-29 17:33:40.606 GMT+09:00","34.0"
"2022-04-29 17:33:40.851 GMT+09:00","30.0"
"2022-04-29 17:33:41.090 GMT+09:00","29.0"
"2022-04-29 17:33:41.331 GMT+09:00","28.0"
"2022-04-29 17:33:41.807 GMT+09:00","29.0"
"2022-04-29 17:33:42.294 GMT+09:00","28.0"
"2022-04-29 17:33:42.528 GMT+09:00","24.0"
"2022-04-29 17:33:42.773 GMT+09:00","13.0"
"2022-04-29 17:33:43.008 GMT+09:00","10.0"
"2022-04-29 17:33:43.495 GMT+09:00","7.0"
"2022-04-29 17:33:43.979 GMT+09:00","11.0"
"2022-04-29 17:33:44.209 GMT+09:00","13.0"
"2022-04-29 17:33:44.448 GMT+09:00","11.0"
"2022-04-29 17:33:44.689 GMT+09:00","10.0"
"2022-04-29 17:33:44.938 GMT+09:00","12.0"
"2022-04-29 17:33:45.651 GMT+09:00","10.0"
"2022-04-29 17:33:46.134 GMT+09:00","9.0"
"2022-04-29 17:33:46.606 GMT+09:00","11.0"
"2022-04-29 17:33:46.853 GMT+09:00","12.0"
"2022-04-29 17:33:47.096 GMT+09:00","11.0"
"2022-04-29 17:33:47.337 GMT+09:00","9.0"
"2022-04-29 17:33:47.567 GMT+09:00","7.0"
"2022-04-29 17:33:47.808 GMT+09:00","6.0"
"2022-04-29 17:33:48.296 GMT+09:00","5.0"
"2022-04-29 17:33:48.528 GMT+09:00","6.0"
"2022-04-29 17:33:48.771 GMT+09:00","6.0"
"2022-04-29 17:33:49.014 GMT+09:00","5.0"
"2022-04-29 17:33:49.249 GMT+09:00","3.0"
"2022-04-29 17:33:49.730 GMT+09:00","2.0"
"2022-04-29 17:33:49.974 GMT+09:00","1.0"
"2022-04-29 17:33:50.218 GMT+09:00","2.0"
"2022-04-29 17:33:50.931 GMT+09:00","3.0"
"2022-04-29 17:33:51.655 GMT+09:00","4.0"
"2022-04-29 17:33:52.130 GMT+09:00","3.0"
"2022-04-29 17:33:52.373 GMT+09:00","5.0"
"2022-04-29 17:33:53.089 GMT+09:00","4.0"
"2022-04-29 17:33:53.334 GMT+09:00","3.0"
"2022-04-29 17:33:53.817 GMT+09:00","4.0"
"2022-04-29 17:33:54.059 GMT+09:00","3.0"
