"time","x","y","z"
"2022-04-29 17:34:41.938 GMT+09:00","-1.5405568","-0.5352549","0.85587335"
"2022-04-29 17:34:42.147 GMT+09:00","-0.095063105","-0.40858045","1.5338374"
"2022-04-29 17:34:42.358 GMT+09:00","-0.1485886","0.580534","0.410413"
"2022-04-29 17:34:42.568 GMT+09:00","-0.47233763","-0.39941776","0.46767992"
"2022-04-29 17:34:42.775 GMT+09:00","0.87702394","-0.54311955","-0.11025793"
"2022-04-29 17:34:42.984 GMT+09:00","0.4064425","-0.57190573","-0.47638452"
"2022-04-29 17:34:43.194 GMT+09:00","-0.14309096","-0.11697725","-0.3368059"
"2022-04-29 17:34:43.403 GMT+09:00","-0.29885703","-0.16378342","-0.36169794"
"2022-04-29 17:34:43.612 GMT+09:00","-0.31909135","-0.006795676","-0.65482825"
"2022-04-29 17:34:43.826 GMT+09:00","-0.5551838","0.06161922","-0.7825717"
"2022-04-29 17:34:44.035 GMT+09:00","-0.19745637","0.13263021","-0.64291674"
"2022-04-29 17:34:44.244 GMT+09:00","-0.17134266","-0.13629529","-0.63764817"
"2022-04-29 17:34:44.450 GMT+09:00","-0.16447063","-0.19547112","-0.6261948"
"2022-04-29 17:34:44.658 GMT+09:00","-0.30389652","-0.1446181","-0.62795097"
"2022-04-29 17:34:44.868 GMT+09:00","-0.2814479","0.03504736","-0.4871507"
"2022-04-29 17:34:45.077 GMT+09:00","-0.36322504","0.031687703","-0.40117395"
"2022-04-29 17:34:45.286 GMT+09:00","-0.2223484","-0.058946762","-0.40415183"
"2022-04-29 17:34:45.501 GMT+09:00","-0.19745637","-0.0011453386","-0.22547899"
"2022-04-29 17:34:45.703 GMT+09:00","-0.16355436","-0.016034741","-0.28030252"
"2022-04-29 17:34:45.915 GMT+09:00","-0.37757996","0.2022668","-0.46783265"
"2022-04-29 17:34:46.123 GMT+09:00","-0.18577392","0.13996038","-0.509523"
"2022-04-29 17:34:46.332 GMT+09:00","0.0020616094","-0.08712209","-0.40514445"
"2022-04-29 17:34:46.542 GMT+09:00","-0.16301987","-0.24479704","-0.26938364"
"2022-04-29 17:34:46.750 GMT+09:00","-0.26854372","0.07887565","-0.4161397"
"2022-04-29 17:34:46.960 GMT+09:00","-0.30939415","0.086969376","-0.5236488"
"2022-04-29 17:34:47.170 GMT+09:00","-0.3051182","-0.08506048","-0.5261686"
"2022-04-29 17:34:47.378 GMT+09:00","-0.41751412","0.004886778","-0.5919874"
"2022-04-29 17:34:47.587 GMT+09:00","-0.3660502","-0.12881242","-0.5347204"
"2022-04-29 17:34:47.804 GMT+09:00","-0.44584215","0.12850699","-0.73904884"
"2022-04-29 17:34:48.006 GMT+09:00","-0.3989596","0.18439952","-0.8641198"
"2022-04-29 17:34:48.216 GMT+09:00","-0.11018158","0.046500746","-0.64444387"
"2022-04-29 17:34:48.425 GMT+09:00","-0.17554224","-0.056274302","-0.46233502"
"2022-04-29 17:34:48.633 GMT+09:00","-0.08536591","-0.17798562","-0.26304612"
"2022-04-29 17:34:48.843 GMT+09:00","-0.36910444","0.013133216","-0.34833565"
"2022-04-29 17:34:49.052 GMT+09:00","-0.16057648","0.0017561859","-0.09964446"
"2022-04-29 17:34:49.260 GMT+09:00","-0.16737215","-0.060779303","-0.04359922"
"2022-04-29 17:34:49.471 GMT+09:00","0.123391144","-0.0056503373","0.37635827"
"2022-04-29 17:34:49.681 GMT+09:00","0.25014195","-0.26067907","0.3305447"
"2022-04-29 17:34:49.896 GMT+09:00","0.21074231","0.1246892","0.1563769"
"2022-04-29 17:34:50.099 GMT+09:00","0.13285927","0.0645971","0.23364908"
"2022-04-29 17:34:50.308 GMT+09:00","0.04421007","-0.1317903","0.11346488"
"2022-04-29 17:34:50.517 GMT+09:00","0.09750649","-0.06177193","0.008246438"
"2022-04-29 17:34:50.726 GMT+09:00","0.13805148","-0.07154548","0.20127417"
"2022-04-29 17:34:50.936 GMT+09:00","0.0077119465","0.12132954","0.14881766"
"2022-04-29 17:34:51.145 GMT+09:00","-0.00167983","0.22051586","-0.03917058"
"2022-04-29 17:34:51.354 GMT+09:00","0.046958882","-0.30870694","0.42354622"
"2022-04-29 17:34:51.563 GMT+09:00","0.33321717","-0.3560476","0.6647545"
"2022-04-29 17:34:51.773 GMT+09:00","0.5813739","-0.49463356","0.83930415"
"2022-04-29 17:34:51.980 GMT+09:00","1.0284377","-0.44477317","0.5891622"
"2022-04-29 17:34:52.190 GMT+09:00","1.017366","-0.20677179","0.9031377"
"2022-04-29 17:34:52.399 GMT+09:00","1.0376004","-0.011835165","0.861371"
"2022-04-29 17:34:52.615 GMT+09:00","1.1015867","0.08903099","1.0562313"
"2022-04-29 17:34:52.818 GMT+09:00","1.0868499","-0.03634541","1.040502"
"2022-04-29 17:34:53.027 GMT+09:00","0.9994225","-0.016798299","0.865876"
"2022-04-29 17:34:53.237 GMT+09:00","0.88893545","-0.05054761","0.69071555"
"2022-04-29 17:34:53.446 GMT+09:00","0.63543385","0.03260397","0.5882459"
"2022-04-29 17:34:53.655 GMT+09:00","0.43011284","0.15874393","0.24388076"
"2022-04-29 17:34:53.871 GMT+09:00","0.07062922","0.033825666","0.012446013"
"2022-04-29 17:34:54.073 GMT+09:00","-0.039323293","-0.0413849","-0.28205872"
"2022-04-29 17:34:54.283 GMT+09:00","-0.21799612","-0.114992","-0.23387815"
"2022-04-29 17:34:54.491 GMT+09:00","-0.16332528","0.006566608","-0.06001574"
"2022-04-29 17:34:54.701 GMT+09:00","0.09918632","0.1653869","0.06696413"
"2022-04-29 17:34:54.910 GMT+09:00","-0.13843326","0.3006132","0.14576343"
"2022-04-29 17:34:55.119 GMT+09:00","-0.033596598","0.21440738","0.15301724"
"2022-04-29 17:34:55.328 GMT+09:00","0.25411245","0.0092390645","0.1518719"
"2022-04-29 17:34:55.538 GMT+09:00","-0.0035887277","-0.18256697","-0.2280751"
"2022-04-29 17:34:55.750 GMT+09:00","-0.18714833","-0.0014507623","-0.16439427"
"2022-04-29 17:34:55.968 GMT+09:00","0.081395395","0.03565821","-0.040774055"
"2022-04-29 17:34:56.165 GMT+09:00","-0.029778805","-0.055739813","-0.19478393"
"2022-04-29 17:34:56.375 GMT+09:00","-0.34627405","-0.068033114","-0.2816006"
"2022-04-29 17:34:56.585 GMT+09:00","-0.37086064","-0.2914505","-0.587406"
"2022-04-29 17:34:56.793 GMT+09:00","-0.36933354","-0.14102936","-0.32794863"
"2022-04-29 17:34:57.002 GMT+09:00","-0.4201102","0.017485503","-0.21937053"
"2022-04-29 17:34:57.211 GMT+09:00","-0.40942037","0.071927264","-0.2832804"
"2022-04-29 17:34:57.420 GMT+09:00","-0.17706935","-0.011529742","-0.20600824"
"2022-04-29 17:34:57.630 GMT+09:00","-0.03191677","0.03565821","0.1582858"
"2022-04-29 17:34:57.846 GMT+09:00","0.026648212","-0.0104607595","-0.014125843"
"2022-04-29 17:34:58.048 GMT+09:00","-0.13247749","0.19699824","0.010308048"
"2022-04-29 17:34:58.259 GMT+09:00","-0.08192989","0.12713258","-0.12163496"
