"time","x","y","z"
"2022-04-29 17:48:57.675 GMT+09:00","-0.033597562","0.03138318","1.9746968"
"2022-04-29 17:48:57.875 GMT+09:00","-0.39461866","0.17569998","1.2127193"
"2022-04-29 17:48:58.075 GMT+09:00","-1.220966","1.006476","1.7751731"
"2022-04-29 17:48:58.275 GMT+09:00","-0.019394957","-0.9984585","1.3599377"
"2022-04-29 17:48:58.476 GMT+09:00","0.08880447","-0.99250257","0.4709004"
"2022-04-29 17:48:58.681 GMT+09:00","0.027947064","-1.0060943","-0.37911797"
"2022-04-29 17:48:58.881 GMT+09:00","-0.075289086","0.14637847","0.14332415"
"2022-04-29 17:48:59.082 GMT+09:00","-0.54458594","1.0326669","-0.058337588"
"2022-04-29 17:48:59.282 GMT+09:00","0.17608178","0.07834341","-1.527162E-4"
"2022-04-29 17:48:59.483 GMT+09:00","-0.06406444","0.15897755","-0.25159994"
"2022-04-29 17:48:59.683 GMT+09:00","-0.03367392","-0.66759884","-0.30879214"
"2022-04-29 17:48:59.884 GMT+09:00","-0.14416409","-0.25022548","-0.17142393"
"2022-04-29 17:49:00.081 GMT+09:00","-0.16478078","0.19257513","-0.37132943"
"2022-04-29 17:49:00.280 GMT+09:00","-0.5449678","-0.22174391","-0.5862775"
"2022-04-29 17:49:00.480 GMT+09:00","-0.9104176","-0.03291034","-0.7519745"
"2022-04-29 17:49:00.681 GMT+09:00","-1.3362668","-0.29252788","-1.0907754"
"2022-04-29 17:49:00.882 GMT+09:00","-1.4513384","-0.2787834","-1.2935061"
"2022-04-29 17:49:01.082 GMT+09:00","-1.1491894","0.01962403","-0.7271582"
"2022-04-29 17:49:01.283 GMT+09:00","-0.76465","0.12301289","-0.41370818"
"2022-04-29 17:49:01.483 GMT+09:00","-0.27595815","0.0042760535","-0.43684468"
"2022-04-29 17:49:01.683 GMT+09:00","-0.102396205","-0.6163626","-1.2147046"
"2022-04-29 17:49:01.889 GMT+09:00","-0.87277305","-0.45165816","-0.583834"
"2022-04-29 17:49:02.089 GMT+09:00","-0.89774215","-0.08613193","-0.5864302"
"2022-04-29 17:49:02.290 GMT+09:00","-0.981507","0.2775617","-0.59269154"
"2022-04-29 17:49:02.490 GMT+09:00","-0.47280934","-0.27091852","-0.43944085"
"2022-04-29 17:49:02.690 GMT+09:00","-0.4262309","0.032986697","-0.27046037"
"2022-04-29 17:49:02.891 GMT+09:00","-0.3903426","0.03901899","-0.25243986"
"2022-04-29 17:49:03.091 GMT+09:00","0.05894845","0.34697118","-0.38835728"
"2022-04-29 17:49:03.292 GMT+09:00","0.18883358","-0.5038107","-0.09628756"
"2022-04-29 17:49:03.493 GMT+09:00","-0.2602284","-0.16485713","-0.07826705"
"2022-04-29 17:49:03.688 GMT+09:00","-1.2230277","-0.0820086","-0.558025"
"2022-04-29 17:49:03.888 GMT+09:00","-0.75487614","-0.08452842","-0.29290965"
"2022-04-29 17:49:04.090 GMT+09:00","-0.13515383","-0.074067354","0.23380849"
"2022-04-29 17:49:04.289 GMT+09:00","0.3904953","0.37751442","0.7560215"
"2022-04-29 17:49:04.490 GMT+09:00","0.62071496","0.50159633","0.48426306"
"2022-04-29 17:49:04.690 GMT+09:00","0.7536544","-0.5103775","0.10071633"
"2022-04-29 17:49:04.891 GMT+09:00","0.5619956","-0.3894263","0.021914775"
"2022-04-29 17:49:05.091 GMT+09:00","0.67302024","-0.18807","0.16432263"
"2022-04-29 17:49:05.296 GMT+09:00","-0.34139705","-0.27511823","0.2623664"
"2022-04-29 17:49:05.497 GMT+09:00","-0.57955796","0.015653409","-0.14767656"
"2022-04-29 17:49:05.698 GMT+09:00","-0.7404445","-0.010919208","-0.33841908"
"2022-04-29 17:49:05.897 GMT+09:00","-0.6573669","-0.008170316","-0.12606722"
"2022-04-29 17:49:06.098 GMT+09:00","-0.14958552","-0.15409064","-0.4187478"
"2022-04-29 17:49:06.300 GMT+09:00","0.11346813","0.13897173","-0.2154062"
"2022-04-29 17:49:06.500 GMT+09:00","0.27183482","-0.45127636","-0.25709772"
"2022-04-29 17:49:06.701 GMT+09:00","0.22212571","-0.17180572","0.1452331"
"2022-04-29 17:49:06.895 GMT+09:00","-0.60765773","0.36453354","-0.09185879"
"2022-04-29 17:49:07.096 GMT+09:00","-0.3442223","0.24694209","0.027412556"
"2022-04-29 17:49:07.296 GMT+09:00","-0.29871288","-0.34697118","-0.0035124724"
