"time","x","y","z"
"2022-04-29 17:51:11.847 GMT+09:00","2.2881367","6.1764736","8.5728855"
"2022-04-29 17:51:11.849 GMT+09:00","1.8574286","6.1639113","8.452047"
"2022-04-29 17:51:11.850 GMT+09:00","1.8311075","6.0867424","8.015956"
"2022-04-29 17:51:11.851 GMT+09:00","2.134996","6.1627145","7.763513"
"2022-04-29 17:51:11.851 GMT+09:00","2.248057","6.04427","7.7754774"
"2022-04-29 17:51:11.851 GMT+09:00","2.2636101","5.9527445","7.731808"
"2022-04-29 17:51:11.852 GMT+09:00","2.3491535","5.986842","7.5637126"
"2022-04-29 17:51:11.852 GMT+09:00","2.4915266","6.092725","7.3166533"
"2022-04-29 17:51:11.853 GMT+09:00","2.5549364","6.2087765","7.07438"
"2022-04-29 17:51:11.853 GMT+09:00","2.716452","6.2931237","6.7112694"
"2022-04-29 17:51:11.854 GMT+09:00","2.9306095","6.4157557","6.5850477"
"2022-04-29 17:51:11.854 GMT+09:00","2.8779674","6.530611","6.835098"
"2022-04-29 17:51:12.064 GMT+09:00","2.5310082","6.5647087","7.292725"
"2022-04-29 17:51:12.065 GMT+09:00","2.0823538","6.739385","7.4901333"
"2022-04-29 17:51:12.066 GMT+09:00","1.6791633","6.9559355","7.646863"
"2022-04-29 17:51:12.067 GMT+09:00","1.1940185","7.149754","7.756335"
"2022-04-29 17:51:12.068 GMT+09:00","0.87936234","7.3028946","7.8059855"
"2022-04-29 17:51:12.068 GMT+09:00","0.8877372","7.3226357","7.9657063"
"2022-04-29 17:51:12.069 GMT+09:00","0.97567344","7.2705917","8.297112"
"2022-04-29 17:51:12.070 GMT+09:00","0.9242278","7.2508507","8.711071"
"2022-04-29 17:51:12.071 GMT+09:00","0.89371926","7.246065","8.775079"
"2022-04-29 17:51:12.072 GMT+09:00","0.81954175","7.0486574","8.183454"
"2022-04-29 17:51:12.073 GMT+09:00","1.1988041","7.2676005","7.6570325"
"2022-04-29 17:51:12.280 GMT+09:00","1.2364911","7.1694946","7.262815"
"2022-04-29 17:51:12.280 GMT+09:00","1.0827522","6.951748","7.516454"
"2022-04-29 17:51:12.281 GMT+09:00","0.9415757","6.5754766","8.349156"
"2022-04-29 17:51:12.281 GMT+09:00","0.67058855","5.930611","9.214162"
"2022-04-29 17:51:12.281 GMT+09:00","0.67836523","5.605187","9.784252"
"2022-04-29 17:51:12.282 GMT+09:00","0.73399836","5.447261","9.876974"
"2022-04-29 17:51:12.282 GMT+09:00","0.5922236","5.4466624","9.601201"
"2022-04-29 17:51:12.282 GMT+09:00","0.26081768","5.483153","8.995817"
"2022-04-29 17:51:12.282 GMT+09:00","-0.20458634","5.439484","8.0345"
"2022-04-29 17:51:12.283 GMT+09:00","-0.7830512","5.383851","7.203593"
"2022-04-29 17:51:12.283 GMT+09:00","-1.4614165","5.5633125","6.9936223"
"2022-04-29 17:51:12.283 GMT+09:00","-1.6707884","5.5657053","7.2957163"
"2022-04-29 17:51:12.514 GMT+09:00","-1.2879368","5.17089","7.8538423"
"2022-04-29 17:51:12.517 GMT+09:00","-0.72382885","4.784449","8.264212"
"2022-04-29 17:51:12.519 GMT+09:00","-0.3361916","4.732405","8.465208"
"2022-04-29 17:51:12.520 GMT+09:00","-0.48454657","4.9956155","8.452047"
"2022-04-29 17:51:12.522 GMT+09:00","-0.62811595","5.415556","8.46102"
"2022-04-29 17:51:12.524 GMT+09:00","-0.50428736","5.681159","8.222935"
"2022-04-29 17:51:12.525 GMT+09:00","-0.0029910284","5.7451673","7.6941214"
"2022-04-29 17:51:12.526 GMT+09:00","0.5910272","5.941977","7.2011995"
"2022-04-29 17:51:12.527 GMT+09:00","0.6119644","6.166902","7.062416"
"2022-04-29 17:51:12.527 GMT+09:00","0.12861422","6.2213387","7.0432734"
"2022-04-29 17:51:12.528 GMT+09:00","-0.37567315","6.2925253","7.1359954"
"2022-04-29 17:51:12.528 GMT+09:00","-0.7082755","6.3326054","7.3543406"
"2022-04-29 17:51:12.562 GMT+09:00","-0.38763726","6.1603217","7.286743"
"2022-04-29 17:51:12.563 GMT+09:00","0.28893334","6.0394845","7.1018977"
"2022-04-29 17:51:12.783 GMT+09:00","0.6346962","6.013163","7.350153"
"2022-04-29 17:51:12.786 GMT+09:00","0.4534399","6.065207","8.212168"
"2022-04-29 17:51:12.788 GMT+09:00","0.2117648","5.9234324","9.027522"
"2022-04-29 17:51:12.789 GMT+09:00","0.36670008","5.8546386","8.935398"
"2022-04-29 17:51:12.791 GMT+09:00","0.83389866","6.099305","8.740383"
"2022-04-29 17:51:12.792 GMT+09:00","0.96789676","6.431907","9.045467"
"2022-04-29 17:51:12.793 GMT+09:00","0.062213387","6.4875402","9.688539"
"2022-04-29 17:51:12.794 GMT+09:00","-0.6897311","5.8307104","10.122238"
"2022-04-29 17:51:12.795 GMT+09:00","0.61076796","5.4293146","9.95175"
"2022-04-29 17:51:12.795 GMT+09:00","1.8233309","4.8879385","9.542577"
"2022-04-29 17:51:12.796 GMT+09:00","2.5812573","4.179663","9.11486"
"2022-04-29 17:51:12.796 GMT+09:00","2.1451654","3.1483564","8.426325"
"2022-04-29 17:51:13.011 GMT+09:00","5.118846","3.5934215","7.636095"
"2022-04-29 17:51:13.013 GMT+09:00","6.7130637","4.110271","7.0450683"
"2022-04-29 17:51:13.015 GMT+09:00","7.0689964","3.9595232","6.9678993"
"2022-04-29 17:51:13.017 GMT+09:00","6.390033","3.5605202","7.78445"
"2022-04-29 17:51:13.018 GMT+09:00","4.851448","3.714259","9.269794"
"2022-04-29 17:51:13.019 GMT+09:00","3.098107","3.606582","9.807582"
"2022-04-29 17:51:13.019 GMT+09:00","1.9172492","3.4079776","9.486345"
"2022-04-29 17:51:13.019 GMT+09:00","1.3782659","2.8671997","8.610572"
"2022-04-29 17:51:13.020 GMT+09:00","1.4841483","2.548356","7.7072816"
"2022-04-29 17:51:13.020 GMT+09:00","2.158326","2.868396","7.023533"
"2022-04-29 17:51:13.021 GMT+09:00","2.6488547","3.3840494","6.4498534"
"2022-04-29 17:51:13.021 GMT+09:00","2.986841","4.2107697","6.4271216"
"2022-04-29 17:51:13.061 GMT+09:00","3.0550363","4.983053","9.055637"
"2022-04-29 17:51:13.062 GMT+09:00","2.5034907","4.246662","10.934003"
"2022-04-29 17:51:13.278 GMT+09:00","2.359323","3.6209388","11.679367"
"2022-04-29 17:51:13.279 GMT+09:00","1.5846468","3.3032916","11.93181"
"2022-04-29 17:51:13.279 GMT+09:00","0.7196414","2.8486555","11.643475"
"2022-04-29 17:51:13.280 GMT+09:00","1.797608","3.2542388","10.934601"
"2022-04-29 17:51:13.280 GMT+09:00","3.5473595","3.4995031","9.469596"
"2022-04-29 17:51:13.281 GMT+09:00","3.5318062","2.7433712","8.4400835"
"2022-04-29 17:51:13.281 GMT+09:00","3.3930225","1.6624135","7.864012"
"2022-04-29 17:51:13.282 GMT+09:00","3.8895333","1.1718849","7.5475607"
"2022-04-29 17:51:13.282 GMT+09:00","4.4207397","0.91405827","7.387242"
"2022-04-29 17:51:13.283 GMT+09:00","4.4004006","1.0522437","7.815557"
"2022-04-29 17:51:13.283 GMT+09:00","4.128217","1.3435699","8.590233"
"2022-04-29 17:51:13.283 GMT+09:00","4.4985065","1.4267205","9.227921"
"2022-04-29 17:51:13.506 GMT+09:00","5.061418","1.2197413","11.26182"
"2022-04-29 17:51:13.507 GMT+09:00","5.087739","-0.14656039","10.587642"
"2022-04-29 17:51:13.507 GMT+09:00","4.1760736","-0.4779663","9.489935"
"2022-04-29 17:51:13.508 GMT+09:00","3.1914272","-0.3182454","11.996416"
"2022-04-29 17:51:13.508 GMT+09:00","2.6991038","0.34337005","12.166905"
"2022-04-29 17:51:13.509 GMT+09:00","2.2660031","-0.2961118","11.592628"
"2022-04-29 17:51:13.509 GMT+09:00","3.3918262","-0.69930243","10.063614"
"2022-04-29 17:51:13.510 GMT+09:00","5.9910297","-0.7040881","8.99462"
"2022-04-29 17:51:13.510 GMT+09:00","7.5266237","-0.9517452","7.9968133"
"2022-04-29 17:51:13.511 GMT+09:00","7.3340015","-0.7399804","7.475178"
"2022-04-29 17:51:13.511 GMT+09:00","6.108876","0.36311084","6.808777"
"2022-04-29 17:51:13.511 GMT+09:00","5.2217374","1.9680966","6.751349"
"2022-04-29 17:51:13.562 GMT+09:00","4.753342","3.0472596","7.2819576"
"2022-04-29 17:51:13.563 GMT+09:00","5.2929235","3.0263224","7.9680996"
"2022-04-29 17:51:13.563 GMT+09:00","6.259026","2.5818555","8.184649"
