"time","data"
"2022-04-29 17:54:31.456 GMT+09:00","49.005"
"2022-04-29 17:54:31.616 GMT+09:00","63.99"
"2022-04-29 17:54:31.776 GMT+09:00","73.98"
"2022-04-29 17:54:31.937 GMT+09:00","72.96751"
"2022-04-29 17:54:32.095 GMT+09:00","76.005005"
"2022-04-29 17:54:32.255 GMT+09:00","69.997505"
"2022-04-29 17:54:32.416 GMT+09:00","72.0225"
"2022-04-29 17:54:32.576 GMT+09:00","77.0175"
"2022-04-29 17:54:32.737 GMT+09:00","95.985"
"2022-04-29 17:54:32.897 GMT+09:00","112.995"
"2022-04-29 17:54:33.057 GMT+09:00","122.98501"
"2022-04-29 17:54:33.216 GMT+09:00","137.97"
"2022-04-29 17:54:33.376 GMT+09:00","148.02751"
"2022-04-29 17:54:33.536 GMT+09:00","148.9725"
"2022-04-29 17:54:33.696 GMT+09:00","144.99"
"2022-04-29 17:54:33.856 GMT+09:00","153.9675"
"2022-04-29 17:54:34.018 GMT+09:00","160.9875"
"2022-04-29 17:54:34.336 GMT+09:00","168.0075"
"2022-04-29 17:54:34.496 GMT+09:00","170.0325"
"2022-04-29 17:54:34.656 GMT+09:00","174.015"
"2022-04-29 17:54:34.829 GMT+09:00","164.02501"
"2022-04-29 17:54:34.976 GMT+09:00","159.03"
"2022-04-29 17:54:35.137 GMT+09:00","175.02751"
"2022-04-29 17:54:35.296 GMT+09:00","170.0325"
"2022-04-29 17:54:35.457 GMT+09:00","164.97"
"2022-04-29 17:54:35.617 GMT+09:00","158.0175"
"2022-04-29 17:54:35.777 GMT+09:00","162.0"
"2022-04-29 17:54:35.937 GMT+09:00","170.97751"
"2022-04-29 17:54:36.096 GMT+09:00","165.98251"
"2022-04-29 17:54:36.176 GMT+09:00","169.02"
"2022-04-29 17:54:36.257 GMT+09:00","166.99501"
"2022-04-29 17:54:36.418 GMT+09:00","170.97751"
"2022-04-29 17:54:36.588 GMT+09:00","163.01251"
"2022-04-29 17:54:36.737 GMT+09:00","148.9725"
"2022-04-29 17:54:36.896 GMT+09:00","136.01251"
"2022-04-29 17:54:37.057 GMT+09:00","126.02251"
"2022-04-29 17:54:37.218 GMT+09:00","126.96751"
"2022-04-29 17:54:37.377 GMT+09:00","128.99251"
"2022-04-29 17:54:37.539 GMT+09:00","116.0325"
"2022-04-29 17:54:37.699 GMT+09:00","93.01501"
"2022-04-29 17:54:37.872 GMT+09:00","78.975006"
"2022-04-29 17:54:38.018 GMT+09:00","60.007504"
"2022-04-29 17:54:38.177 GMT+09:00","52.987503"
"2022-04-29 17:54:38.338 GMT+09:00","54.000004"
"2022-04-29 17:54:38.497 GMT+09:00","50.0175"
"2022-04-29 17:54:38.657 GMT+09:00","45.022503"
"2022-04-29 17:54:38.817 GMT+09:00","50.0175"
"2022-04-29 17:54:38.977 GMT+09:00","54.000004"
"2022-04-29 17:54:39.137 GMT+09:00","56.025"
"2022-04-29 17:54:39.298 GMT+09:00","51.030003"
"2022-04-29 17:54:39.459 GMT+09:00","47.9925"
"2022-04-29 17:54:39.618 GMT+09:00","41.985"
"2022-04-29 17:54:39.777 GMT+09:00","40.0275"
"2022-04-29 17:54:39.938 GMT+09:00","35.0325"
"2022-04-29 17:54:40.111 GMT+09:00","30.982502"
"2022-04-29 17:54:40.259 GMT+09:00","29.025002"
"2022-04-29 17:54:40.418 GMT+09:00","28.0125"
"2022-04-29 17:54:40.580 GMT+09:00","27.000002"
"2022-04-29 17:54:40.737 GMT+09:00","25.987501"
"2022-04-29 17:54:40.898 GMT+09:00","24.975"
"2022-04-29 17:54:41.058 GMT+09:00","29.970001"
"2022-04-29 17:54:41.218 GMT+09:00","30.982502"
"2022-04-29 17:54:41.538 GMT+09:00","28.0125"
"2022-04-29 17:54:41.698 GMT+09:00","24.03"
"2022-04-29 17:54:41.862 GMT+09:00","23.017502"
"2022-04-29 17:54:42.177 GMT+09:00","24.03"
"2022-04-29 17:54:42.839 GMT+09:00","20.9925"
"2022-04-29 17:54:43.137 GMT+09:00","18.9675"
"2022-04-29 17:54:43.298 GMT+09:00","19.980001"
"2022-04-29 17:54:43.459 GMT+09:00","18.9675"
"2022-04-29 17:54:43.616 GMT+09:00","17.01"
"2022-04-29 17:54:43.783 GMT+09:00","11.002501"
"2022-04-29 17:54:43.938 GMT+09:00","8.0325"
"2022-04-29 17:54:44.257 GMT+09:00","7.0200005"
"2022-04-29 17:54:44.419 GMT+09:00","11.002501"
"2022-04-29 17:54:44.583 GMT+09:00","8.0325"
"2022-04-29 17:54:44.739 GMT+09:00","4.9950004"
"2022-04-29 17:54:44.897 GMT+09:00","6.0075"
"2022-04-29 17:54:45.058 GMT+09:00","7.0200005"
"2022-04-29 17:54:45.218 GMT+09:00","8.0325"
"2022-04-29 17:54:45.538 GMT+09:00","8.9775"
"2022-04-29 17:54:45.856 GMT+09:00","8.0325"
"2022-04-29 17:54:46.018 GMT+09:00","11.002501"
"2022-04-29 17:54:46.257 GMT+09:00","9.990001"
"2022-04-29 17:54:46.336 GMT+09:00","8.9775"
"2022-04-29 17:54:46.498 GMT+09:00","8.0325"
"2022-04-29 17:54:46.829 GMT+09:00","11.002501"
"2022-04-29 17:54:47.137 GMT+09:00","9.990001"
"2022-04-29 17:54:47.321 GMT+09:00","8.0325"
"2022-04-29 17:54:47.458 GMT+09:00","7.0200005"
"2022-04-29 17:54:47.778 GMT+09:00","8.0325"
"2022-04-29 17:54:47.941 GMT+09:00","11.002501"
"2022-04-29 17:54:48.099 GMT+09:00","8.0325"
"2022-04-29 17:54:48.258 GMT+09:00","7.0200005"
"2022-04-29 17:54:48.417 GMT+09:00","4.9950004"
"2022-04-29 17:54:48.898 GMT+09:00","7.0200005"
"2022-04-29 17:54:49.058 GMT+09:00","6.0075"
"2022-04-29 17:54:49.219 GMT+09:00","15.9975"
"2022-04-29 17:54:49.377 GMT+09:00","13.0275"
"2022-04-29 17:54:49.538 GMT+09:00","13.972501"
"2022-04-29 17:54:49.698 GMT+09:00","17.01"
"2022-04-29 17:54:49.863 GMT+09:00","11.002501"
"2022-04-29 17:54:50.017 GMT+09:00","6.0075"
"2022-04-29 17:54:50.177 GMT+09:00","7.0200005"
"2022-04-29 17:54:50.499 GMT+09:00","8.0325"
"2022-04-29 17:54:50.831 GMT+09:00","8.9775"
"2022-04-29 17:54:50.978 GMT+09:00","8.0325"
"2022-04-29 17:54:51.297 GMT+09:00","7.0200005"
"2022-04-29 17:54:51.778 GMT+09:00","8.0325"
"2022-04-29 17:54:52.096 GMT+09:00","7.0200005"
"2022-04-29 17:54:52.258 GMT+09:00","6.0075"
"2022-04-29 17:54:52.417 GMT+09:00","7.0200005"
"2022-04-29 17:54:52.593 GMT+09:00","8.0325"
"2022-04-29 17:54:52.737 GMT+09:00","7.0200005"
