"time","x","y","z"
"2022-04-29 17:29:19.654 GMT+09:00","0.013315806","0.0058589545","0.011185277"
"2022-04-29 17:29:19.811 GMT+09:00","0.013315806","0.0058589545","0.011185277"
"2022-04-29 17:29:19.971 GMT+09:00","-5.326322E-4","-0.09427591","-0.3190467"
"2022-04-29 17:29:20.131 GMT+09:00","0.18695392","0.267914","1.4311827"
"2022-04-29 17:29:20.289 GMT+09:00","-1.7145431","2.1358552","2.6945865"
"2022-04-29 17:29:20.450 GMT+09:00","-0.029827405","0.97045594","0.03355583"
"2022-04-29 17:29:20.609 GMT+09:00","-0.041545313","0.48842376","1.6634104"
"2022-04-29 17:29:20.769 GMT+09:00","0.6535397","-0.39787626","0.26365295"
"2022-04-29 17:29:20.929 GMT+09:00","-0.6040049","-1.33957","0.55127436"
"2022-04-29 17:29:21.089 GMT+09:00","-0.41385525","-0.5123922","-0.22849922"
"2022-04-29 17:29:21.249 GMT+09:00","1.2037488","2.3046997","-0.5699165"
"2022-04-29 17:29:21.409 GMT+09:00","0.1949434","0.6940198","-0.6844324"
"2022-04-29 17:29:21.569 GMT+09:00","0.24927188","0.5182512","-0.4261058"
"2022-04-29 17:29:21.730 GMT+09:00","0.05273059","-0.087884314","0.40959418"
"2022-04-29 17:29:21.888 GMT+09:00","-0.1571265","0.19387813","0.25193503"
"2022-04-29 17:29:22.049 GMT+09:00","-0.0063915867","0.87032104","0.3520699"
"2022-04-29 17:29:22.207 GMT+09:00","-0.28442562","-0.0015978967","-0.6892261"
"2022-04-29 17:29:22.368 GMT+09:00","-0.6514092","-1.5536882","-0.34088463"
"2022-04-29 17:29:22.527 GMT+09:00","-0.70467246","-0.4745753","-0.3323625"
"2022-04-29 17:29:22.689 GMT+09:00","-0.27537087","-0.5885586","-0.7057377"
"2022-04-29 17:29:22.846 GMT+09:00","0.2727077","-0.4708469","0.12197278"
"2022-04-29 17:29:23.008 GMT+09:00","0.16192019","-0.6114618","0.4676511"
"2022-04-29 17:29:23.167 GMT+09:00","0.18375812","0.13954964","0.087884314"
"2022-04-29 17:29:23.327 GMT+09:00","0.4825648","-2.3382554","0.763262"
"2022-04-29 17:29:23.498 GMT+09:00","0.5800365","-0.85966843","0.05752428"
"2022-04-29 17:29:23.654 GMT+09:00","-0.19121496","0.41864893","-0.47723848"
"2022-04-29 17:29:23.807 GMT+09:00","-0.24980451","0.58909124","0.002130529"
"2022-04-29 17:29:23.966 GMT+09:00","-0.02130529","-1.1483551","0.036751624"
"2022-04-29 17:29:24.125 GMT+09:00","-0.084155895","-1.3097427","0.21145499"
"2022-04-29 17:29:24.286 GMT+09:00","0.22530343","0.77924097","-0.30146983"
"2022-04-29 17:29:24.443 GMT+09:00","0.046871636","1.3741912","-0.386691"
"2022-04-29 17:29:24.603 GMT+09:00","-0.2977414","-0.24501082","-0.45220476"
"2022-04-29 17:29:24.763 GMT+09:00","-0.15126756","1.1249193","-0.1917476"
"2022-04-29 17:29:24.922 GMT+09:00","0.1257012","0.624245","0.33768883"
