"time","data"
"2022-04-29 17:36:08.159 GMT+09:00","90.0"
"2022-04-29 17:36:08.177 GMT+09:00","93.0"
"2022-04-29 17:36:08.209 GMT+09:00","90.0"
"2022-04-29 17:36:08.244 GMT+09:00","87.0"
"2022-04-29 17:36:08.281 GMT+09:00","86.0"
"2022-04-29 17:36:08.316 GMT+09:00","84.0"
"2022-04-29 17:36:08.389 GMT+09:00","83.0"
"2022-04-29 17:36:08.425 GMT+09:00","85.0"
"2022-04-29 17:36:08.532 GMT+09:00","87.0"
"2022-04-29 17:36:08.569 GMT+09:00","90.0"
"2022-04-29 17:36:08.625 GMT+09:00","94.0"
"2022-04-29 17:36:08.644 GMT+09:00","95.0"
"2022-04-29 17:36:08.676 GMT+09:00","96.0"
"2022-04-29 17:36:08.712 GMT+09:00","100.0"
"2022-04-29 17:36:08.747 GMT+09:00","104.0"
"2022-04-29 17:36:08.784 GMT+09:00","110.0"
"2022-04-29 17:36:08.819 GMT+09:00","119.0"
"2022-04-29 17:36:08.856 GMT+09:00","127.0"
"2022-04-29 17:36:08.891 GMT+09:00","128.0"
"2022-04-29 17:36:08.928 GMT+09:00","133.0"
"2022-04-29 17:36:08.963 GMT+09:00","134.0"
"2022-04-29 17:36:09.000 GMT+09:00","141.0"
"2022-04-29 17:36:09.035 GMT+09:00","149.0"
"2022-04-29 17:36:09.072 GMT+09:00","153.0"
"2022-04-29 17:36:09.107 GMT+09:00","161.0"
"2022-04-29 17:36:09.143 GMT+09:00","162.0"
"2022-04-29 17:36:09.179 GMT+09:00","163.0"
"2022-04-29 17:36:09.215 GMT+09:00","165.0"
"2022-04-29 17:36:09.251 GMT+09:00","166.0"
"2022-04-29 17:36:09.287 GMT+09:00","159.0"
"2022-04-29 17:36:09.323 GMT+09:00","149.0"
"2022-04-29 17:36:09.359 GMT+09:00","143.0"
"2022-04-29 17:36:09.395 GMT+09:00","141.0"
"2022-04-29 17:36:09.431 GMT+09:00","139.0"
"2022-04-29 17:36:09.466 GMT+09:00","141.0"
"2022-04-29 17:36:09.503 GMT+09:00","142.0"
"2022-04-29 17:36:09.610 GMT+09:00","144.0"
"2022-04-29 17:36:09.647 GMT+09:00","148.0"
"2022-04-29 17:36:09.683 GMT+09:00","154.0"
"2022-04-29 17:36:09.719 GMT+09:00","158.0"
"2022-04-29 17:36:09.754 GMT+09:00","163.0"
"2022-04-29 17:36:09.791 GMT+09:00","169.0"
"2022-04-29 17:36:09.826 GMT+09:00","172.0"
"2022-04-29 17:36:09.898 GMT+09:00","169.0"
"2022-04-29 17:36:09.935 GMT+09:00","161.0"
"2022-04-29 17:36:09.970 GMT+09:00","154.0"
"2022-04-29 17:36:10.007 GMT+09:00","149.0"
"2022-04-29 17:36:10.042 GMT+09:00","144.0"
"2022-04-29 17:36:10.079 GMT+09:00","142.0"
"2022-04-29 17:36:10.150 GMT+09:00","143.0"
"2022-04-29 17:36:10.186 GMT+09:00","147.0"
"2022-04-29 17:36:10.223 GMT+09:00","149.0"
"2022-04-29 17:36:10.258 GMT+09:00","151.0"
"2022-04-29 17:36:10.294 GMT+09:00","152.0"
"2022-04-29 17:36:10.474 GMT+09:00","151.0"
"2022-04-29 17:36:10.545 GMT+09:00","150.0"
"2022-04-29 17:36:10.621 GMT+09:00","149.0"
"2022-04-29 17:36:10.658 GMT+09:00","147.0"
"2022-04-29 17:36:10.692 GMT+09:00","146.0"
"2022-04-29 17:36:10.763 GMT+09:00","144.0"
"2022-04-29 17:36:10.802 GMT+09:00","143.0"
"2022-04-29 17:36:10.874 GMT+09:00","142.0"
"2022-04-29 17:36:10.946 GMT+09:00","143.0"
"2022-04-29 17:36:11.051 GMT+09:00","142.0"
"2022-04-29 17:36:11.087 GMT+09:00","143.0"
"2022-04-29 17:36:11.413 GMT+09:00","148.0"
"2022-04-29 17:36:11.448 GMT+09:00","154.0"
"2022-04-29 17:36:11.484 GMT+09:00","162.0"
"2022-04-29 17:36:11.521 GMT+09:00","167.0"
"2022-04-29 17:36:11.558 GMT+09:00","168.0"
"2022-04-29 17:36:11.627 GMT+09:00","166.0"
"2022-04-29 17:36:11.675 GMT+09:00","165.0"
"2022-04-29 17:36:11.699 GMT+09:00","162.0"
"2022-04-29 17:36:11.740 GMT+09:00","154.0"
"2022-04-29 17:36:11.772 GMT+09:00","145.0"
"2022-04-29 17:36:11.808 GMT+09:00","135.0"
"2022-04-29 17:36:11.843 GMT+09:00","125.0"
"2022-04-29 17:36:11.879 GMT+09:00","119.0"
"2022-04-29 17:36:11.916 GMT+09:00","116.0"
"2022-04-29 17:36:11.953 GMT+09:00","115.0"
"2022-04-29 17:36:11.992 GMT+09:00","114.0"
"2022-04-29 17:36:12.097 GMT+09:00","113.0"
"2022-04-29 17:36:12.132 GMT+09:00","114.0"
"2022-04-29 17:36:12.167 GMT+09:00","115.0"
"2022-04-29 17:36:12.203 GMT+09:00","116.0"
"2022-04-29 17:36:12.240 GMT+09:00","121.0"
"2022-04-29 17:36:12.274 GMT+09:00","127.0"
"2022-04-29 17:36:12.314 GMT+09:00","132.0"
"2022-04-29 17:36:12.347 GMT+09:00","139.0"
"2022-04-29 17:36:12.382 GMT+09:00","140.0"
"2022-04-29 17:36:12.418 GMT+09:00","141.0"
"2022-04-29 17:36:12.455 GMT+09:00","140.0"
"2022-04-29 17:36:12.489 GMT+09:00","139.0"
"2022-04-29 17:36:12.525 GMT+09:00","140.0"
"2022-04-29 17:36:12.561 GMT+09:00","143.0"
"2022-04-29 17:36:12.598 GMT+09:00","146.0"
"2022-04-29 17:36:12.634 GMT+09:00","149.0"
"2022-04-29 17:36:12.673 GMT+09:00","148.0"
"2022-04-29 17:36:12.706 GMT+09:00","146.0"
"2022-04-29 17:36:12.776 GMT+09:00","143.0"
"2022-04-29 17:36:12.812 GMT+09:00","133.0"
"2022-04-29 17:36:12.848 GMT+09:00","125.0"
"2022-04-29 17:36:12.885 GMT+09:00","121.0"
"2022-04-29 17:36:12.992 GMT+09:00","118.0"
"2022-04-29 17:36:13.028 GMT+09:00","115.0"
"2022-04-29 17:36:13.063 GMT+09:00","110.0"
"2022-04-29 17:36:13.100 GMT+09:00","107.0"
"2022-04-29 17:36:13.136 GMT+09:00","104.0"
"2022-04-29 17:36:13.174 GMT+09:00","101.0"
"2022-04-29 17:36:13.208 GMT+09:00","100.0"
"2022-04-29 17:36:13.244 GMT+09:00","98.0"
"2022-04-29 17:36:13.280 GMT+09:00","96.0"
"2022-04-29 17:36:13.316 GMT+09:00","95.0"
"2022-04-29 17:36:13.356 GMT+09:00","93.0"
"2022-04-29 17:36:13.566 GMT+09:00","94.0"
"2022-04-29 17:36:13.604 GMT+09:00","95.0"
"2022-04-29 17:36:13.677 GMT+09:00","96.0"
"2022-04-29 17:36:13.718 GMT+09:00","98.0"
"2022-04-29 17:36:13.822 GMT+09:00","99.0"
"2022-04-29 17:36:13.858 GMT+09:00","102.0"
"2022-04-29 17:36:13.893 GMT+09:00","107.0"
"2022-04-29 17:36:13.928 GMT+09:00","111.0"
"2022-04-29 17:36:13.965 GMT+09:00","117.0"
"2022-04-29 17:36:14.001 GMT+09:00","120.0"
"2022-04-29 17:36:14.038 GMT+09:00","121.0"
"2022-04-29 17:36:14.179 GMT+09:00","120.0"
"2022-04-29 17:36:14.216 GMT+09:00","116.0"
"2022-04-29 17:36:14.254 GMT+09:00","107.0"
"2022-04-29 17:36:14.292 GMT+09:00","99.0"
"2022-04-29 17:36:14.324 GMT+09:00","91.0"
"2022-04-29 17:36:14.397 GMT+09:00","86.0"
"2022-04-29 17:36:14.542 GMT+09:00","85.0"
