"time","x","y","z"
"2022-04-29 17:37:12.102 GMT+09:00","5.9639564","1.7429788","8.461109"
"2022-04-29 17:37:12.261 GMT+09:00","4.7141833","1.436521","7.0006456"
"2022-04-29 17:37:12.431 GMT+09:00","9.16261","-0.78529817","6.991069"
"2022-04-29 17:37:12.580 GMT+09:00","5.2624555","1.3551182","7.750031"
"2022-04-29 17:37:12.740 GMT+09:00","6.6654577","3.6846764","6.6367273"
"2022-04-29 17:37:12.900 GMT+09:00","5.595249","1.6663644","7.979874"
"2022-04-29 17:37:13.060 GMT+09:00","5.6551046","0.011971008","5.6910176"
"2022-04-29 17:37:13.220 GMT+09:00","7.0006456","0.48841715","6.5337763"
"2022-04-29 17:37:13.379 GMT+09:00","8.118738","0.30885202","7.2185183"
"2022-04-29 17:37:13.539 GMT+09:00","7.8745294","0.9648633","7.302315"
"2022-04-29 17:37:13.699 GMT+09:00","4.9320555","0.8451532","6.9479733"
"2022-04-29 17:37:13.859 GMT+09:00","7.0820484","0.92895025","5.511452"
"2022-04-29 17:37:14.019 GMT+09:00","8.209718","0.90979666","5.932832"
"2022-04-29 17:37:14.179 GMT+09:00","7.2664022","1.4460979","6.5601125"
"2022-04-29 17:37:14.338 GMT+09:00","7.2304893","1.1875241","7.2328835"
"2022-04-29 17:37:14.501 GMT+09:00","6.1626754","0.5674258","6.291962"
"2022-04-29 17:37:14.659 GMT+09:00","6.505046","0.770933","6.289568"
"2022-04-29 17:37:14.821 GMT+09:00","7.599196","0.581791","6.931214"
"2022-04-29 17:37:14.987 GMT+09:00","7.505822","1.2569559","7.1251445"
"2022-04-29 17:37:15.140 GMT+09:00","4.999093","1.5873557","6.6510925"
"2022-04-29 17:37:15.301 GMT+09:00","7.2424603","1.4197617","5.707777"
"2022-04-29 17:37:15.462 GMT+09:00","6.7253127","1.5059528","6.155493"
"2022-04-29 17:37:15.621 GMT+09:00","7.091625","1.3503298","7.2304893"
"2022-04-29 17:37:15.786 GMT+09:00","8.623915","2.0853498","7.776367"
"2022-04-29 17:37:15.939 GMT+09:00","5.149928","-0.45968673","6.045359"
"2022-04-29 17:37:16.098 GMT+09:00","6.1890116","0.35913026","6.3326635"
"2022-04-29 17:37:16.258 GMT+09:00","6.0645127","0.6631939","7.050924"
"2022-04-29 17:37:16.419 GMT+09:00","7.33344","0.6847417","8.647857"
