"time","data"
"2022-04-29 17:49:19.250 GMT+09:00","24.414772"
"2022-04-29 17:49:19.449 GMT+09:00","19.838064"
"2022-04-29 17:49:19.649 GMT+09:00","19.752996"
"2022-04-29 17:49:19.848 GMT+09:00","20.331463"
"2022-04-29 17:49:20.047 GMT+09:00","19.752996"
"2022-04-29 17:49:20.452 GMT+09:00","9.275699"
"2022-04-29 17:49:20.645 GMT+09:00","8.041138"
"2022-04-29 17:49:20.845 GMT+09:00","6.795941"
"2022-04-29 17:49:21.048 GMT+09:00","8.035819"
"2022-04-29 17:49:21.247 GMT+09:00","8.041138"
"2022-04-29 17:49:21.444 GMT+09:00","11.692719"
"2022-04-29 17:49:21.640 GMT+09:00","14.665877"
"2022-04-29 17:49:21.839 GMT+09:00","15.44851"
"2022-04-29 17:49:22.038 GMT+09:00","13.453647"
"2022-04-29 17:49:22.238 GMT+09:00","13.674827"
"2022-04-29 17:49:22.437 GMT+09:00","14.46065"
"2022-04-29 17:49:22.636 GMT+09:00","13.473847"
"2022-04-29 17:49:22.835 GMT+09:00","12.461531"
"2022-04-29 17:49:23.036 GMT+09:00","11.230157"
"2022-04-29 17:49:23.235 GMT+09:00","10.467727"
"2022-04-29 17:49:23.435 GMT+09:00","7.2053347"
"2022-04-29 17:49:23.634 GMT+09:00","8.220844"
"2022-04-29 17:49:23.845 GMT+09:00","11.230157"
"2022-04-29 17:49:24.032 GMT+09:00","10.216776"
"2022-04-29 17:49:24.232 GMT+09:00","7.9677653"
"2022-04-29 17:49:24.431 GMT+09:00","5.239179"
"2022-04-29 17:49:24.634 GMT+09:00","2.252199"
"2022-04-29 17:49:24.829 GMT+09:00","2.5020888"
"2022-04-29 17:49:25.028 GMT+09:00","2.5361164"
"2022-04-29 17:49:25.229 GMT+09:00","2.507406"
"2022-04-29 17:49:25.427 GMT+09:00","3.2677088"
"2022-04-29 17:49:25.625 GMT+09:00","3.747285"
"2022-04-29 17:49:25.825 GMT+09:00","2.7626123"
"2022-04-29 17:49:26.023 GMT+09:00","2.252199"
"2022-04-29 17:49:26.222 GMT+09:00","1.7471025"
"2022-04-29 17:49:26.620 GMT+09:00","2.0278296"
"2022-04-29 17:49:26.821 GMT+09:00","2.252199"
"2022-04-29 17:49:27.018 GMT+09:00","2.7860062"
"2022-04-29 17:49:27.218 GMT+09:00","2.2468822"
"2022-04-29 17:49:27.417 GMT+09:00","2.0278296"
"2022-04-29 17:49:27.616 GMT+09:00","2.2468822"
"2022-04-29 17:49:27.817 GMT+09:00","2.0278296"
"2022-04-29 17:49:28.015 GMT+09:00","2.5361164"
"2022-04-29 17:49:28.214 GMT+09:00","2.5020888"
"2022-04-29 17:49:28.415 GMT+09:00","2.2830365"
"2022-04-29 17:49:29.015 GMT+09:00","2.288353"
"2022-04-29 17:49:29.211 GMT+09:00","2.2830365"
"2022-04-29 17:49:30.008 GMT+09:00","2.0331469"
"2022-04-29 17:49:30.604 GMT+09:00","2.2830365"
