"time","x","y","z"
"2022-04-29 17:50:34.437 GMT+09:00","-0.37489554","-0.32927817","0.32370588"
"2022-04-29 17:50:34.596 GMT+09:00","-0.1559837","1.0017698","0.69867903"
"2022-04-29 17:50:34.758 GMT+09:00","0.00487123","2.1778219","0.5314325"
"2022-04-29 17:50:34.921 GMT+09:00","0.03629653","-0.30690762","0.6235779"
"2022-04-29 17:50:35.083 GMT+09:00","-1.521135","-1.4238219","1.3500763"
"2022-04-29 17:50:35.244 GMT+09:00","-0.050004683","0.1948474","1.7218536"
"2022-04-29 17:50:35.407 GMT+09:00","-0.23802386","-0.75483584","1.7442242"
"2022-04-29 17:50:35.571 GMT+09:00","-0.2864934","-0.886396","0.6981345"
"2022-04-29 17:50:35.741 GMT+09:00","-0.21194474","0.32323253","0.12979993"
"2022-04-29 17:50:35.896 GMT+09:00","0.021348178","-0.31592613","0.28532854"
"2022-04-29 17:50:36.057 GMT+09:00","-0.37120178","0.21936928","1.2105107"
"2022-04-29 17:50:36.218 GMT+09:00","-0.12192989","-0.039489992","0.58679837"
"2022-04-29 17:50:36.383 GMT+09:00","0.81093115","0.16552375","0.2325746"
"2022-04-29 17:50:36.541 GMT+09:00","-0.027964631","0.16179532","0.7987627"
"2022-04-29 17:50:36.703 GMT+09:00","0.0023954052","-0.5258329","1.1700072"
"2022-04-29 17:50:36.867 GMT+09:00","0.48922125","0.24115752","0.09409021"
"2022-04-29 17:50:37.027 GMT+09:00","0.5733742","0.095751986","0.070652045"
"2022-04-29 17:50:37.189 GMT+09:00","-0.26765206","-0.52529716","0.64802533"
"2022-04-29 17:50:37.353 GMT+09:00","-0.40294063","-0.65579206","1.6099592"
"2022-04-29 17:50:37.513 GMT+09:00","1.3345058","0.24648692","0.47758305"
"2022-04-29 17:50:37.674 GMT+09:00","-0.12650451","-0.42729288","0.08236995"
"2022-04-29 17:50:37.836 GMT+09:00","-0.5488819","0.02757506","0.075445734"
"2022-04-29 17:50:37.998 GMT+09:00","-1.0202613","-0.7937438","-0.27555892"
"2022-04-29 17:50:38.160 GMT+09:00","-0.20746462","-0.041134495","-1.0191134"
"2022-04-29 17:50:38.328 GMT+09:00","-1.6471808","-1.0877451","-1.942707"
"2022-04-29 17:50:38.484 GMT+09:00","-2.3310807","-1.1777599","-0.8566697"
"2022-04-29 17:50:38.646 GMT+09:00","-1.1678118","-0.8230268","-0.38049653"
"2022-04-29 17:50:38.808 GMT+09:00","0.044991773","-0.77935094","-0.16051942"
"2022-04-29 17:50:38.970 GMT+09:00","1.0521994","0.87660265","0.5457509"
"2022-04-29 17:50:39.139 GMT+09:00","-0.8871146","-0.21529342","0.29701167"
"2022-04-29 17:50:39.300 GMT+09:00","1.0101213","0.5266633","0.6384289"
"2022-04-29 17:50:39.458 GMT+09:00","2.3896387","1.3501127","2.6118312"
"2022-04-29 17:50:39.620 GMT+09:00","3.0074878","-0.027802192","1.0512153"
"2022-04-29 17:50:39.782 GMT+09:00","-0.70176303","0.520809","-0.19461149"
"2022-04-29 17:50:39.943 GMT+09:00","0.8295546","-0.012888489","0.6096632"
"2022-04-29 17:50:40.106 GMT+09:00","1.2087886","-0.052835908","0.32470495"
"2022-04-29 17:50:40.269 GMT+09:00","0.5792116","0.4995178","0.9878302"
"2022-04-29 17:50:40.429 GMT+09:00","0.34804925","-0.52366877","0.2581241"
