"time","x","y","z"
"2022-04-29 17:57:26.359 GMT+09:00","1.7483643","3.9422023","9.484278"
"2022-04-29 17:57:26.474 GMT+09:00","1.1208692","4.1146436","9.326206"
"2022-04-29 17:57:26.656 GMT+09:00","-0.3305127","4.7133985","8.291558"
"2022-04-29 17:57:26.818 GMT+09:00","0.2682422","5.5468655","8.387359"
"2022-04-29 17:57:26.982 GMT+09:00","-0.06706055","5.968389","9.8866415"
"2022-04-29 17:57:27.142 GMT+09:00","1.4465919","1.3795313","10.94524"
"2022-04-29 17:57:27.304 GMT+09:00","1.6381935","4.5553274","8.454419"
"2022-04-29 17:57:27.466 GMT+09:00","5.4031644","3.6021094","7.9802055"
"2022-04-29 17:57:27.630 GMT+09:00","5.5468655","2.8500733","5.388794"
"2022-04-29 17:57:27.792 GMT+09:00","6.5048733","3.0368848","10.93087"
"2022-04-29 17:57:27.959 GMT+09:00","7.29523","-1.3891114","5.0918117"
"2022-04-29 17:57:28.115 GMT+09:00","4.5601172","-0.8286768","8.186177"
"2022-04-29 17:57:28.278 GMT+09:00","6.4042826","0.488584","8.133487"
"2022-04-29 17:57:28.438 GMT+09:00","5.350474","0.20118165","8.090376"
"2022-04-29 17:57:28.600 GMT+09:00","4.239185","-0.12454102","7.3622904"
"2022-04-29 17:57:28.762 GMT+09:00","5.350474","0.20597169","10.8925495"
"2022-04-29 17:57:28.924 GMT+09:00","4.5744877","-1.5184424","12.473262"
"2022-04-29 17:57:29.086 GMT+09:00","2.7159522","0.7568262","10.518927"
"2022-04-29 17:57:29.248 GMT+09:00","3.7458107","1.1927198","6.940767"
"2022-04-29 17:57:29.411 GMT+09:00","6.0498195","2.4333398","9.057964"
"2022-04-29 17:57:29.578 GMT+09:00","8.032896","2.4956105","8.56938"
"2022-04-29 17:57:29.734 GMT+09:00","4.90979","0.15328126","5.2355127"
"2022-04-29 17:57:29.897 GMT+09:00","7.917935","1.3220508","8.008945"
"2022-04-29 17:57:30.063 GMT+09:00","6.672525","1.8441651","7.223379"
"2022-04-29 17:57:30.222 GMT+09:00","6.638994","2.7830129","5.096602"
"2022-04-29 17:57:30.383 GMT+09:00","7.568262","1.9064356","10.585987"
"2022-04-29 17:57:30.545 GMT+09:00","7.429351","2.4860303","6.686895"
"2022-04-29 17:57:30.707 GMT+09:00","7.692803","2.0166066","8.411309"
"2022-04-29 17:57:30.867 GMT+09:00","5.240303","1.346001","8.234077"
"2022-04-29 17:57:31.031 GMT+09:00","6.5384035","1.4849122","7.8891945"
"2022-04-29 17:57:31.195 GMT+09:00","7.3096","2.3854396","6.1647806"
"2022-04-29 17:57:31.355 GMT+09:00","7.822134","3.8272414","8.420889"
"2022-04-29 17:57:31.521 GMT+09:00","5.0822315","0.46463382","9.72857"
"2022-04-29 17:57:31.680 GMT+09:00","8.109536","0.22992188","6.615044"
"2022-04-29 17:57:31.842 GMT+09:00","7.807764","1.0250684","7.213799"
"2022-04-29 17:57:32.004 GMT+09:00","6.950347","2.43813","6.1504107"
"2022-04-29 17:57:32.168 GMT+09:00","7.4580913","1.4513819","7.563472"
