"time","data"
"2022-04-29 17:30:24.574 GMT+09:00","25.0"
"2022-04-29 17:30:24.822 GMT+09:00","26.0"
"2022-04-29 17:30:25.072 GMT+09:00","30.0"
"2022-04-29 17:30:25.324 GMT+09:00","39.0"
"2022-04-29 17:30:25.571 GMT+09:00","41.0"
"2022-04-29 17:30:25.823 GMT+09:00","46.0"
"2022-04-29 17:30:26.073 GMT+09:00","56.0"
"2022-04-29 17:30:26.323 GMT+09:00","74.0"
"2022-04-29 17:30:26.572 GMT+09:00","85.0"
"2022-04-29 17:30:26.822 GMT+09:00","124.0"
"2022-04-29 17:30:27.073 GMT+09:00","165.0"
"2022-04-29 17:30:27.323 GMT+09:00","168.0"
"2022-04-29 17:30:27.574 GMT+09:00","151.0"
"2022-04-29 17:30:27.822 GMT+09:00","157.0"
"2022-04-29 17:30:28.076 GMT+09:00","193.0"
"2022-04-29 17:30:28.324 GMT+09:00","282.0"
"2022-04-29 17:30:28.573 GMT+09:00","439.0"
"2022-04-29 17:30:28.824 GMT+09:00","498.0"
"2022-04-29 17:30:29.073 GMT+09:00","403.0"
"2022-04-29 17:30:29.324 GMT+09:00","369.0"
"2022-04-29 17:30:29.573 GMT+09:00","365.0"
"2022-04-29 17:30:29.823 GMT+09:00","372.0"
"2022-04-29 17:30:30.072 GMT+09:00","375.0"
"2022-04-29 17:30:30.324 GMT+09:00","396.0"
"2022-04-29 17:30:30.573 GMT+09:00","372.0"
"2022-04-29 17:30:30.825 GMT+09:00","344.0"
"2022-04-29 17:30:30.886 GMT+09:00","352.0"
"2022-04-29 17:30:31.136 GMT+09:00","401.0"
"2022-04-29 17:30:31.385 GMT+09:00","422.0"
"2022-04-29 17:30:31.637 GMT+09:00","480.0"
"2022-04-29 17:30:31.886 GMT+09:00","493.0"
"2022-04-29 17:30:32.136 GMT+09:00","498.0"
"2022-04-29 17:30:32.385 GMT+09:00","450.0"
"2022-04-29 17:30:32.635 GMT+09:00","392.0"
"2022-04-29 17:30:32.886 GMT+09:00","427.0"
"2022-04-29 17:30:33.134 GMT+09:00","494.0"
"2022-04-29 17:30:33.385 GMT+09:00","488.0"
"2022-04-29 17:30:33.636 GMT+09:00","455.0"
"2022-04-29 17:30:33.886 GMT+09:00","397.0"
"2022-04-29 17:30:34.137 GMT+09:00","368.0"
"2022-04-29 17:30:34.386 GMT+09:00","378.0"
"2022-04-29 17:30:34.636 GMT+09:00","390.0"
"2022-04-29 17:30:34.887 GMT+09:00","365.0"
"2022-04-29 17:30:35.136 GMT+09:00","302.0"
"2022-04-29 17:30:35.387 GMT+09:00","266.0"
"2022-04-29 17:30:35.637 GMT+09:00","246.0"
"2022-04-29 17:30:35.887 GMT+09:00","272.0"
"2022-04-29 17:30:36.136 GMT+09:00","323.0"
"2022-04-29 17:30:36.386 GMT+09:00","316.0"
"2022-04-29 17:30:36.637 GMT+09:00","275.0"
"2022-04-29 17:30:36.886 GMT+09:00","242.0"
"2022-04-29 17:30:37.140 GMT+09:00","228.0"
"2022-04-29 17:30:37.386 GMT+09:00","262.0"
"2022-04-29 17:30:37.637 GMT+09:00","317.0"
"2022-04-29 17:30:37.888 GMT+09:00","285.0"
"2022-04-29 17:30:38.139 GMT+09:00","266.0"
"2022-04-29 17:30:38.386 GMT+09:00","322.0"
"2022-04-29 17:30:38.636 GMT+09:00","226.0"
"2022-04-29 17:30:38.887 GMT+09:00","186.0"
"2022-04-29 17:30:39.137 GMT+09:00","179.0"
"2022-04-29 17:30:39.386 GMT+09:00","152.0"
"2022-04-29 17:30:39.636 GMT+09:00","161.0"
"2022-04-29 17:30:39.887 GMT+09:00","135.0"
"2022-04-29 17:30:40.136 GMT+09:00","48.0"
"2022-04-29 17:30:40.386 GMT+09:00","45.0"
"2022-04-29 17:30:40.637 GMT+09:00","29.0"
"2022-04-29 17:30:40.887 GMT+09:00","24.0"
"2022-04-29 17:30:40.954 GMT+09:00","24.0"
"2022-04-29 17:30:41.199 GMT+09:00","19.0"
"2022-04-29 17:30:41.449 GMT+09:00","18.0"
"2022-04-29 17:30:41.699 GMT+09:00","15.0"
"2022-04-29 17:30:43.202 GMT+09:00","18.0"
"2022-04-29 17:30:43.451 GMT+09:00","19.0"
"2022-04-29 17:30:43.699 GMT+09:00","18.0"
"2022-04-29 17:30:43.949 GMT+09:00","136.0"
"2022-04-29 17:30:44.199 GMT+09:00","214.0"
"2022-04-29 17:30:44.449 GMT+09:00","70.0"
"2022-04-29 17:30:44.699 GMT+09:00","103.0"
"2022-04-29 17:30:44.949 GMT+09:00","101.0"
