"time","x","y","z"
"2022-04-29 17:35:51.082 GMT+09:00","-0.26151899","0.088343784","0.6852943"
"2022-04-29 17:35:51.285 GMT+09:00","-0.15080291","0.668725","0.41415444"
"2022-04-29 17:35:51.487 GMT+09:00","0.25342527","-0.18959172","0.48890686"
"2022-04-29 17:35:51.693 GMT+09:00","0.4476747","0.11728267","0.65559185"
"2022-04-29 17:35:51.898 GMT+09:00","0.46989426","-0.25922832","0.47279578"
"2022-04-29 17:35:52.101 GMT+09:00","0.0503949","-0.83327204","-0.14431266"
"2022-04-29 17:35:52.305 GMT+09:00","0.43667942","0.3075616","0.5024982"
"2022-04-29 17:35:52.510 GMT+09:00","0.11911522","-0.021150587","0.21517095"
"2022-04-29 17:35:52.717 GMT+09:00","-0.36704284","-0.27113983","0.18256697"
"2022-04-29 17:35:52.918 GMT+09:00","-0.76172656","-0.2121167","-0.40300646"
"2022-04-29 17:35:53.123 GMT+09:00","-0.0510821","0.3892624","-0.106440134"
"2022-04-29 17:35:53.327 GMT+09:00","0.20440477","0.17218257","0.026571855"
"2022-04-29 17:35:53.534 GMT+09:00","0.2757212","-0.083380654","0.055358034"
"2022-04-29 17:35:53.743 GMT+09:00","0.33260635","0.15393351","0.24716407"
"2022-04-29 17:35:53.943 GMT+09:00","0.27197975","-0.013362284","0.07131642"
"2022-04-29 17:35:54.145 GMT+09:00","-0.30259845","0.25144","-0.24640052"
"2022-04-29 17:35:54.348 GMT+09:00","-0.19722731","-0.17286977","-0.61222166"
"2022-04-29 17:35:54.553 GMT+09:00","-0.42224815","0.021303298","-0.31351736"
"2022-04-29 17:35:54.760 GMT+09:00","-0.4272113","-0.1887518","-0.06872032"
"2022-04-29 17:35:54.964 GMT+09:00","-0.15523157","-0.43477052","-0.022906773"
"2022-04-29 17:35:55.166 GMT+09:00","0.14881766","0.2313584","0.3991123"
"2022-04-29 17:35:55.372 GMT+09:00","0.12743801","0.12423106","0.35406235"
"2022-04-29 17:35:55.576 GMT+09:00","0.348412","0.025502874","0.24113196"
"2022-04-29 17:35:55.780 GMT+09:00","0.61519957","-0.25273806","0.20852798"
"2022-04-29 17:35:55.984 GMT+09:00","0.011224318","-0.11270132","0.057496"
"2022-04-29 17:35:56.189 GMT+09:00","0.034054734","0.26052636","0.070858285"
"2022-04-29 17:35:56.392 GMT+09:00","-0.006490252","0.19234054","-0.34146363"
"2022-04-29 17:35:56.602 GMT+09:00","-0.17271706","0.18753012","-0.21074231"
"2022-04-29 17:35:56.807 GMT+09:00","-0.48134765","-0.1643179","-0.074752435"
"2022-04-29 17:35:57.007 GMT+09:00","-0.2422773","-0.5339569","0.090023614"
"2022-04-29 17:35:57.211 GMT+09:00","0.005726693","-0.18775918","0.57297474"
"2022-04-29 17:35:57.413 GMT+09:00","0.44706383","0.27251422","0.6407024"
