"time","x","y","z"
"2022-04-29 17:36:55.232 GMT+09:00","0.8575278","3.9373896","9.157631"
"2022-04-29 17:36:55.435 GMT+09:00","0.8461619","4.188636","9.159426"
"2022-04-29 17:36:55.639 GMT+09:00","0.16630118","4.7488556","9.377472"
"2022-04-29 17:36:55.843 GMT+09:00","-0.5344968","2.4562325","9.862318"
"2022-04-29 17:36:56.047 GMT+09:00","0.695115","3.4163525","8.310572"
"2022-04-29 17:36:56.253 GMT+09:00","0.9379865","5.4341","7.666903"
"2022-04-29 17:36:56.457 GMT+09:00","2.6662025","5.180461","8.85135"
"2022-04-29 17:36:56.660 GMT+09:00","2.7891338","5.037789","8.988638"
"2022-04-29 17:36:56.865 GMT+09:00","2.539383","3.3750763","7.348059"
"2022-04-29 17:36:57.070 GMT+09:00","4.512265","0.5608178","7.618747"
"2022-04-29 17:36:57.274 GMT+09:00","4.7395835","-0.19411774","9.6275215"
"2022-04-29 17:36:57.478 GMT+09:00","4.956433","0.7821539","8.653344"
"2022-04-29 17:36:57.685 GMT+09:00","5.163412","1.8068802","7.3313093"
"2022-04-29 17:36:57.887 GMT+09:00","4.979464","1.9130617","9.668798"
"2022-04-29 17:36:58.091 GMT+09:00","1.5960127","2.0748763","9.309875"
"2022-04-29 17:36:58.297 GMT+09:00","2.9578278","2.7466612","7.9366937"
"2022-04-29 17:36:58.501 GMT+09:00","4.0160537","2.853441","8.330911"
"2022-04-29 17:36:58.706 GMT+09:00","4.1629133","2.0778673","9.273684"
"2022-04-29 17:36:58.909 GMT+09:00","4.5484567","1.6082759","9.675977"
"2022-04-29 17:36:59.115 GMT+09:00","2.6171498","-0.031405795","8.408678"
"2022-04-29 17:36:59.318 GMT+09:00","2.3476582","0.5165506","9.489935"
"2022-04-29 17:36:59.522 GMT+09:00","3.6251264","-0.37298122","9.578469"
"2022-04-29 17:36:59.727 GMT+09:00","5.0303116","0.7013961","8.7682"
"2022-04-29 17:36:59.932 GMT+09:00","4.543671","2.7290142","8.492725"
"2022-04-29 17:37:00.137 GMT+09:00","2.1242282","2.597409","9.605687"
"2022-04-29 17:37:00.340 GMT+09:00","1.9007984","3.8054852","7.635497"
"2022-04-29 17:37:00.545 GMT+09:00","2.8453653","2.9093733","8.692825"
