"time","x","y","z"
"2022-04-29 17:30:44.989 GMT+09:00","-0.6186538","0.2496148","0.8065712"
"2022-04-29 17:30:45.164 GMT+09:00","0.6207918","-0.3386484","1.6422348"
"2022-04-29 17:30:45.342 GMT+09:00","0.29947668","-0.85849476","1.2360095"
"2022-04-29 17:30:45.522 GMT+09:00","0.10522154","-2.2030091","1.7857882"
"2022-04-29 17:30:45.702 GMT+09:00","0.41248676","-0.39668062","0.5304601"
"2022-04-29 17:30:45.882 GMT+09:00","0.8492554","-0.5811619","0.39790234"
"2022-04-29 17:30:46.062 GMT+09:00","0.48701233","-0.7326565","0.4828126"
"2022-04-29 17:30:46.242 GMT+09:00","-0.12812899","-0.21036673","-0.33513594"
"2022-04-29 17:30:46.423 GMT+09:00","0.10399981","-0.38812852","-0.19097175"
"2022-04-29 17:30:46.603 GMT+09:00","-0.09025534","-0.03688099","0.25862506"
"2022-04-29 17:30:46.782 GMT+09:00","0.22250767","-0.019165898","0.16455182"
"2022-04-29 17:30:46.963 GMT+09:00","0.40393466","-0.18898644","0.003894266"
"2022-04-29 17:30:47.145 GMT+09:00","0.3556763","-0.13706289","0.064369924"
"2022-04-29 17:30:47.329 GMT+09:00","0.2658791","0.35895967","0.31726813"
"2022-04-29 17:30:47.505 GMT+09:00","-0.0364992","0.013209961","0.06253733"
"2022-04-29 17:30:47.687 GMT+09:00","-0.32177326","-0.20120373","-0.014431692"
"2022-04-29 17:30:47.868 GMT+09:00","-0.31138855","-0.02893974","-0.2447279"
"2022-04-29 17:30:48.044 GMT+09:00","-0.23258694","0.052916203","-0.36506835"
"2022-04-29 17:30:48.227 GMT+09:00","0.11133019","0.10056369","0.0081703225"
"2022-04-29 17:30:48.405 GMT+09:00","0.4027129","0.022372939","0.10102184"
"2022-04-29 17:30:48.584 GMT+09:00","0.5010622","-0.13645202","0.31054863"
"2022-04-29 17:30:48.772 GMT+09:00","0.2835942","0.112780996","0.022831088"
"2022-04-29 17:30:48.948 GMT+09:00","0.4466952","0.25022566","0.29405525"
"2022-04-29 17:30:49.128 GMT+09:00","0.07895433","0.06574437","0.31482467"
"2022-04-29 17:30:49.304 GMT+09:00","-0.3284928","-0.1297325","0.13706289"
"2022-04-29 17:30:49.486 GMT+09:00","-0.2759584","-0.03932445","-0.2410627"
"2022-04-29 17:30:49.664 GMT+09:00","-0.16355917","0.27221683","-0.03214678"
"2022-04-29 17:30:49.844 GMT+09:00","0.14920384","0.07490735","-0.08651379"
"2022-04-29 17:30:50.028 GMT+09:00","0.25488353","0.32841644","0.21647537"
"2022-04-29 17:30:50.207 GMT+09:00","0.72402805","0.040698897","0.38385245"
"2022-04-29 17:30:50.391 GMT+09:00","0.4625777","0.0828486","0.38568506"
"2022-04-29 17:30:50.569 GMT+09:00","0.47662762","0.2587778","0.4779257"
"2022-04-29 17:30:50.748 GMT+09:00","0.14065172","0.2007456","0.72960216"
"2022-04-29 17:30:50.929 GMT+09:00","-0.28512135","0.012599096","0.5603925"
"2022-04-29 17:30:51.105 GMT+09:00","0.032528576","-0.526184","0.044211373"
"2022-04-29 17:30:51.285 GMT+09:00","0.0154243475","-0.2683989","0.54023397"
"2022-04-29 17:30:51.464 GMT+09:00","0.33673948","-0.2616794","0.76869756"
"2022-04-29 17:30:51.650 GMT+09:00","0.9317222","-0.36735907","0.93240947"
"2022-04-29 17:30:51.829 GMT+09:00","0.8846856","-0.6685157","0.5451209"
"2022-04-29 17:30:52.008 GMT+09:00","0.9421069","-0.3392593","0.30993775"
"2022-04-29 17:30:52.193 GMT+09:00","0.5395467","-0.29222265","0.49808425"
"2022-04-29 17:30:52.369 GMT+09:00","0.21762075","-0.2671772","0.35758525"
"2022-04-29 17:30:52.544 GMT+09:00","-0.09819659","0.23128885","-0.16959146"
"2022-04-29 17:30:52.728 GMT+09:00","-0.027947085","0.61796653","-0.024816401"
"2022-04-29 17:30:52.905 GMT+09:00","0.16508633","0.19646953","-0.2447279"
"2022-04-29 17:30:53.088 GMT+09:00","0.5120578","0.45853072","0.33681583"
"2022-04-29 17:30:53.268 GMT+09:00","1.0581713","0.09323331","0.5933792"
"2022-04-29 17:30:53.448 GMT+09:00","0.49189925","-0.013057245","1.0197631"
"2022-04-29 17:30:53.625 GMT+09:00","0.2848159","0.11827879","0.6025422"
"2022-04-29 17:30:53.808 GMT+09:00","-0.44333544","-0.25862506","0.18104519"
"2022-04-29 17:30:53.991 GMT+09:00","-0.07009678","-0.707611","-0.16653714"
"2022-04-29 17:30:54.167 GMT+09:00","0.18768835","0.037033707","0.43516514"
"2022-04-29 17:30:54.348 GMT+09:00","0.5010622","0.2129629","0.18104519"
"2022-04-29 17:30:54.524 GMT+09:00","0.69043046","-0.115071744","0.35941783"
"2022-04-29 17:30:54.711 GMT+09:00","0.84864455","0.1811979","0.3862959"
"2022-04-29 17:30:54.884 GMT+09:00","0.55848354","0.18730655","0.562836"
"2022-04-29 17:30:55.067 GMT+09:00","0.45158213","0.14454599","0.27695104"
"2022-04-29 17:30:55.250 GMT+09:00","-0.1611157","-0.017944166","0.09369145"
"2022-04-29 17:30:55.425 GMT+09:00","-0.24174993","-0.2561816","0.09430232"
"2022-04-29 17:30:55.604 GMT+09:00","-0.4005749","-0.16455182","-0.2007456"
"2022-04-29 17:30:55.800 GMT+09:00","-0.007788532","0.16470455","-0.025427265"
"2022-04-29 17:30:55.968 GMT+09:00","0.1797471","0.040698897","0.20975585"
