"time","x","y","z"
"2022-04-29 17:34:05.139 GMT+09:00","6.751948","1.6687586","6.988974"
"2022-04-29 17:34:05.319 GMT+09:00","4.94672","1.0965444","6.438308"
"2022-04-29 17:34:05.502 GMT+09:00","4.048595","0.48602295","6.3616934"
"2022-04-29 17:34:05.678 GMT+09:00","5.480627","-0.4189853","8.111855"
"2022-04-29 17:34:05.858 GMT+09:00","5.0472765","-0.20590134","9.998486"
"2022-04-29 17:34:06.038 GMT+09:00","3.181894","0.557849","7.340922"
"2022-04-29 17:34:06.218 GMT+09:00","2.9735985","1.3623008","9.411906"
"2022-04-29 17:34:06.398 GMT+09:00","4.2880154","0.4261679","9.349657"
"2022-04-29 17:34:06.578 GMT+09:00","5.207688","-0.25378537","8.585907"
"2022-04-29 17:34:06.758 GMT+09:00","5.8517284","-0.5363012","8.643368"
"2022-04-29 17:34:06.938 GMT+09:00","4.4125137","-0.6607997","7.640197"
"2022-04-29 17:34:07.118 GMT+09:00","3.8402996","-0.038307227","8.109461"
"2022-04-29 17:34:07.298 GMT+09:00","4.733337","-0.78050977","8.700829"
"2022-04-29 17:34:07.479 GMT+09:00","4.9610853","-0.39264908","8.741529"
"2022-04-29 17:34:07.659 GMT+09:00","5.942708","-0.16759412","9.016863"
"2022-04-29 17:34:07.844 GMT+09:00","4.0462008","0.93373865","8.348881"
"2022-04-29 17:34:08.020 GMT+09:00","3.2609026","0.6799533","7.7551184"
"2022-04-29 17:34:08.200 GMT+09:00","3.9217024","2.2577322","8.504503"
"2022-04-29 17:34:08.380 GMT+09:00","4.2880154","1.9608512","9.526828"
"2022-04-29 17:34:08.561 GMT+09:00","4.4101195","1.6807296","9.325715"
"2022-04-29 17:34:08.740 GMT+09:00","3.6870706","0.90500826","8.66731"
"2022-04-29 17:34:08.918 GMT+09:00","3.7325604","1.7118542","8.442254"
"2022-04-29 17:34:09.098 GMT+09:00","3.5553896","1.1228806","9.045593"
"2022-04-29 17:34:09.281 GMT+09:00","3.7110126","1.3623008","10.003274"
"2022-04-29 17:34:09.459 GMT+09:00","2.3080103","2.432509","10.534787"
"2022-04-29 17:34:09.639 GMT+09:00","2.7485435","3.2728736","8.66731"
"2022-04-29 17:34:09.819 GMT+09:00","3.3039982","3.13401","9.893141"
"2022-04-29 17:34:09.999 GMT+09:00","3.7588966","2.7748797","8.4231"
"2022-04-29 17:34:10.179 GMT+09:00","4.642357","1.9393034","9.00968"
"2022-04-29 17:34:10.360 GMT+09:00","3.1124623","1.5945383","8.157345"
"2022-04-29 17:34:10.539 GMT+09:00","1.4556746","0.15083471","10.422259"
"2022-04-29 17:34:10.721 GMT+09:00","2.135628","0.5650316","10.242694"
"2022-04-29 17:34:10.900 GMT+09:00","3.9312792","0.6536171","9.270648"
"2022-04-29 17:34:11.079 GMT+09:00","2.7748797","3.098097","11.54514"
"2022-04-29 17:34:11.258 GMT+09:00","1.4269443","4.0318356","9.737517"
"2022-04-29 17:34:11.440 GMT+09:00","2.1883004","2.755726","7.9203186"
"2022-04-29 17:34:11.618 GMT+09:00","4.096479","2.6192567","9.229947"
"2022-04-29 17:34:11.799 GMT+09:00","4.7524905","2.1188686","9.296985"
"2022-04-29 17:34:11.979 GMT+09:00","3.5984852","1.4867992","7.082348"
"2022-04-29 17:34:12.162 GMT+09:00","3.6128504","1.283292","5.59076"
"2022-04-29 17:34:12.339 GMT+09:00","3.8953662","0.62009823","8.700829"
"2022-04-29 17:34:12.519 GMT+09:00","4.582502","1.1420342","8.617031"
"2022-04-29 17:34:12.700 GMT+09:00","4.795586","1.6017209","10.391134"
"2022-04-29 17:34:12.879 GMT+09:00","3.5051112","2.9855695","8.923489"
"2022-04-29 17:34:13.059 GMT+09:00","3.940856","1.3215994","8.796597"
"2022-04-29 17:34:13.239 GMT+09:00","3.9743748","2.291251","8.461408"
"2022-04-29 17:34:13.419 GMT+09:00","5.23163","1.2473791","8.492533"
"2022-04-29 17:34:13.600 GMT+09:00","5.4830213","0.34237084","9.471761"
"2022-04-29 17:34:13.779 GMT+09:00","3.5889084","-0.37828386","7.4295073"
"2022-04-29 17:34:13.961 GMT+09:00","3.6583402","1.328782","9.241918"
"2022-04-29 17:34:14.139 GMT+09:00","4.8219223","-1.2856863","9.052776"
"2022-04-29 17:34:14.320 GMT+09:00","5.466262","-1.1133038","8.370428"
"2022-04-29 17:34:14.499 GMT+09:00","5.3441577","0.34237084","8.688857"
"2022-04-29 17:34:14.681 GMT+09:00","3.8786068","-0.62728083","8.387188"
"2022-04-29 17:34:14.859 GMT+09:00","4.1659107","0.62967503","8.614637"
"2022-04-29 17:34:15.041 GMT+09:00","4.3622355","-0.09816227","8.858846"
"2022-04-29 17:34:15.222 GMT+09:00","4.3143516","-0.6823475","9.471761"
"2022-04-29 17:34:15.400 GMT+09:00","5.2292356","-0.91937345","8.494926"
"2022-04-29 17:34:15.581 GMT+09:00","3.3303347","-0.78290397","8.612243"
"2022-04-29 17:34:15.760 GMT+09:00","4.7524905","-1.3096284","8.042423"
"2022-04-29 17:34:15.941 GMT+09:00","4.7884035","-1.3814543","9.170092"
"2022-04-29 17:34:16.120 GMT+09:00","4.1611223","-0.90740246","11.044752"
"2022-04-29 17:34:16.300 GMT+09:00","4.9993925","0.16280572","7.762301"
"2022-04-29 17:34:16.483 GMT+09:00","4.3981485","-0.6703765","8.810962"
"2022-04-29 17:34:16.662 GMT+09:00","7.022493","-1.4173675","6.8596873"
"2022-04-29 17:34:16.840 GMT+09:00","7.633014","-1.388637","5.9259486"
"2022-04-29 17:34:17.021 GMT+09:00","6.7088523","-1.283292","8.111855"
"2022-04-29 17:34:17.200 GMT+09:00","7.142203","-2.078167","5.159804"
"2022-04-29 17:34:17.380 GMT+09:00","7.1852984","-1.5035586","7.000945"
"2022-04-29 17:34:17.560 GMT+09:00","7.6354084","-1.8555063","5.7846904"
"2022-04-29 17:34:17.742 GMT+09:00","7.84131","-0.91458505","6.9961567"
"2022-04-29 17:34:17.921 GMT+09:00","6.136638","0.7445967","5.514146"
"2022-04-29 17:34:18.102 GMT+09:00","7.352893","0.08379706","7.712023"
"2022-04-29 17:34:18.280 GMT+09:00","6.7136407","-0.7062895","6.9793973"
"2022-04-29 17:34:18.460 GMT+09:00","7.3481045","-1.0582372","6.8405337"
"2022-04-29 17:34:18.639 GMT+09:00","7.525275","-1.127669","7.946655"
"2022-04-29 17:34:18.821 GMT+09:00","5.6889224","-2.1308396","7.240365"
"2022-04-29 17:34:19.000 GMT+09:00","6.2491655","-0.22026655","6.6250553"
"2022-04-29 17:34:19.180 GMT+09:00","6.586748","-0.81163436","7.668927"
"2022-04-29 17:34:19.360 GMT+09:00","6.064812","-1.2545617","8.897153"
"2022-04-29 17:34:19.539 GMT+09:00","5.432743","0.6560113","6.668151"
"2022-04-29 17:34:19.719 GMT+09:00","5.813421","0.58657944","8.12622"
"2022-04-29 17:34:19.900 GMT+09:00","6.01214","0.4165911","7.7982144"
"2022-04-29 17:34:20.081 GMT+09:00","6.9841857","-0.46208093","6.8285627"
"2022-04-29 17:34:20.260 GMT+09:00","7.8939824","-1.4221559","7.5659766"
"2022-04-29 17:34:20.440 GMT+09:00","4.980239","-1.8315643","7.7670894"
"2022-04-29 17:34:20.621 GMT+09:00","5.645827","-0.51475334","6.842928"
"2022-04-29 17:34:20.801 GMT+09:00","5.734412","-0.7062895","8.370428"
"2022-04-29 17:34:20.980 GMT+09:00","6.2108583","-0.7038953","8.420707"
"2022-04-29 17:34:21.161 GMT+09:00","4.7620673","0.016759412","9.562741"
"2022-04-29 17:34:21.340 GMT+09:00","3.7493198","2.1308396","9.455002"
"2022-04-29 17:34:21.521 GMT+09:00","5.638644","1.7980455","7.3337393"
"2022-04-29 17:34:21.700 GMT+09:00","5.327398","0.25857377","8.751106"
"2022-04-29 17:34:21.880 GMT+09:00","6.016928","-0.91697925","8.2794485"
"2022-04-29 17:34:22.060 GMT+09:00","4.7309427","-1.1851299","7.096713"
"2022-04-29 17:34:22.240 GMT+09:00","3.5410242","-1.508347","10.008062"
"2022-04-29 17:34:22.420 GMT+09:00","5.969044","-0.16998832","8.023269"
"2022-04-29 17:34:22.600 GMT+09:00","5.430349","-0.81881696","8.600272"
"2022-04-29 17:34:22.785 GMT+09:00","5.803844","-1.6352397","8.748713"
"2022-04-29 17:34:22.960 GMT+09:00","4.24492","1.0055647","8.119038"
"2022-04-29 17:34:23.141 GMT+09:00","5.1071315","-0.055066638","7.666533"
"2022-04-29 17:34:23.320 GMT+09:00","5.5189342","0.11492168","7.702446"
"2022-04-29 17:34:23.500 GMT+09:00","5.8373632","-0.49799395","8.298602"
"2022-04-29 17:34:23.680 GMT+09:00","6.253954","-0.6823475","9.184457"
"2022-04-29 17:34:23.860 GMT+09:00","4.879383","-2.5737667","7.7215996"
"2022-04-29 17:34:24.041 GMT+09:00","4.8841715","-1.0199299","7.5875244"
"2022-04-29 17:34:24.222 GMT+09:00","5.1406503","-1.5131354","8.521263"
"2022-04-29 17:34:24.400 GMT+09:00","5.336975","-1.3383588","8.803779"
"2022-04-29 17:34:24.582 GMT+09:00","4.43885","0.2681506","9.313744"
"2022-04-29 17:34:24.761 GMT+09:00","3.1866825","1.8746599","9.739912"
"2022-04-29 17:34:24.940 GMT+09:00","5.0975547","0.91937345","7.728782"
"2022-04-29 17:34:25.120 GMT+09:00","5.1909285","-0.062249243","8.48535"
"2022-04-29 17:34:25.301 GMT+09:00","5.3226094","-0.93373865","8.619426"
"2022-04-29 17:34:25.481 GMT+09:00","3.5769374","-0.24899697","8.6218195"
"2022-04-29 17:34:25.660 GMT+09:00","3.3063924","-1.1683705","9.603442"
"2022-04-29 17:34:25.842 GMT+09:00","4.841076","-0.4141969","8.523658"
"2022-04-29 17:34:26.020 GMT+09:00","4.510676","-0.48362875","9.122208"
"2022-04-29 17:34:26.200 GMT+09:00","5.2483892","-1.0989386","8.79899"
"2022-04-29 17:34:26.381 GMT+09:00","2.753332","0.7422025","9.306561"
