"time","data"
"2022-04-29 17:36:17.434 GMT+09:00","120.0"
"2022-04-29 17:36:17.452 GMT+09:00","93.0"
"2022-04-29 17:36:17.512 GMT+09:00","115.0"
"2022-04-29 17:36:17.572 GMT+09:00","112.0"
"2022-04-29 17:36:17.632 GMT+09:00","111.0"
"2022-04-29 17:36:17.692 GMT+09:00","113.0"
"2022-04-29 17:36:17.754 GMT+09:00","117.0"
"2022-04-29 17:36:17.823 GMT+09:00","120.0"
"2022-04-29 17:36:17.875 GMT+09:00","121.0"
"2022-04-29 17:36:18.231 GMT+09:00","122.0"
"2022-04-29 17:36:18.291 GMT+09:00","123.0"
"2022-04-29 17:36:18.412 GMT+09:00","124.0"
"2022-04-29 17:36:18.471 GMT+09:00","123.0"
"2022-04-29 17:36:18.591 GMT+09:00","122.0"
"2022-04-29 17:36:18.652 GMT+09:00","120.0"
"2022-04-29 17:36:18.712 GMT+09:00","117.0"
"2022-04-29 17:36:18.772 GMT+09:00","116.0"
"2022-04-29 17:36:18.891 GMT+09:00","114.0"
"2022-04-29 17:36:18.952 GMT+09:00","112.0"
"2022-04-29 17:36:19.011 GMT+09:00","110.0"
"2022-04-29 17:36:19.071 GMT+09:00","109.0"
"2022-04-29 17:36:19.131 GMT+09:00","107.0"
"2022-04-29 17:36:19.611 GMT+09:00","108.0"
"2022-04-29 17:36:19.672 GMT+09:00","107.0"
"2022-04-29 17:36:19.732 GMT+09:00","104.0"
"2022-04-29 17:36:19.793 GMT+09:00","101.0"
"2022-04-29 17:36:19.853 GMT+09:00","99.0"
"2022-04-29 17:36:19.974 GMT+09:00","98.0"
"2022-04-29 17:36:20.034 GMT+09:00","96.0"
"2022-04-29 17:36:20.093 GMT+09:00","95.0"
"2022-04-29 17:36:20.153 GMT+09:00","93.0"
"2022-04-29 17:36:20.215 GMT+09:00","92.0"
"2022-04-29 17:36:20.273 GMT+09:00","89.0"
"2022-04-29 17:36:20.333 GMT+09:00","87.0"
"2022-04-29 17:36:20.394 GMT+09:00","86.0"
"2022-04-29 17:36:20.513 GMT+09:00","85.0"
"2022-04-29 17:36:20.573 GMT+09:00","84.0"
"2022-04-29 17:36:20.632 GMT+09:00","82.0"
"2022-04-29 17:36:20.692 GMT+09:00","81.0"
"2022-04-29 17:36:20.752 GMT+09:00","80.0"
"2022-04-29 17:36:20.813 GMT+09:00","79.0"
"2022-04-29 17:36:21.112 GMT+09:00","77.0"
"2022-04-29 17:36:21.174 GMT+09:00","73.0"
"2022-04-29 17:36:21.232 GMT+09:00","72.0"
"2022-04-29 17:36:21.295 GMT+09:00","71.0"
"2022-04-29 17:36:21.353 GMT+09:00","69.0"
"2022-04-29 17:36:21.412 GMT+09:00","68.0"
"2022-04-29 17:36:21.473 GMT+09:00","69.0"
"2022-04-29 17:36:21.592 GMT+09:00","70.0"
"2022-04-29 17:36:21.652 GMT+09:00","72.0"
"2022-04-29 17:36:21.712 GMT+09:00","76.0"
"2022-04-29 17:36:21.772 GMT+09:00","79.0"
"2022-04-29 17:36:21.832 GMT+09:00","80.0"
"2022-04-29 17:36:21.893 GMT+09:00","79.0"
"2022-04-29 17:36:21.953 GMT+09:00","77.0"
"2022-04-29 17:36:22.014 GMT+09:00","76.0"
"2022-04-29 17:36:22.072 GMT+09:00","75.0"
"2022-04-29 17:36:22.255 GMT+09:00","73.0"
"2022-04-29 17:36:22.313 GMT+09:00","71.0"
"2022-04-29 17:36:22.493 GMT+09:00","72.0"
"2022-04-29 17:36:22.553 GMT+09:00","70.0"
"2022-04-29 17:36:22.613 GMT+09:00","68.0"
"2022-04-29 17:36:22.673 GMT+09:00","64.0"
"2022-04-29 17:36:22.794 GMT+09:00","63.0"
"2022-04-29 17:36:22.854 GMT+09:00","61.0"
"2022-04-29 17:36:22.913 GMT+09:00","58.0"
"2022-04-29 17:36:22.972 GMT+09:00","55.0"
"2022-04-29 17:36:23.033 GMT+09:00","54.0"
"2022-04-29 17:36:23.333 GMT+09:00","55.0"
"2022-04-29 17:36:23.453 GMT+09:00","53.0"
"2022-04-29 17:36:23.512 GMT+09:00","49.0"
"2022-04-29 17:36:23.574 GMT+09:00","46.0"
"2022-04-29 17:36:23.632 GMT+09:00","42.0"
"2022-04-29 17:36:23.693 GMT+09:00","38.0"
"2022-04-29 17:36:23.754 GMT+09:00","34.0"
"2022-04-29 17:36:23.813 GMT+09:00","31.0"
"2022-04-29 17:36:23.873 GMT+09:00","29.0"
"2022-04-29 17:36:24.053 GMT+09:00","30.0"
"2022-04-29 17:36:24.112 GMT+09:00","31.0"
