"time","x","y","z"
"2022-04-29 17:58:51.630 GMT+09:00","0.048562355","-0.27503398","-0.036650836"
"2022-04-29 17:58:51.823 GMT+09:00","-0.45905173","-0.6420005","-0.2870982"
"2022-04-29 17:58:52.013 GMT+09:00","-0.124001995","-0.24479704","-0.27304873"
"2022-04-29 17:58:52.205 GMT+09:00","0.26571855","-0.0581832","0.20982604"
"2022-04-29 17:58:52.396 GMT+09:00","-0.09758285","1.358677","2.4041421"
"2022-04-29 17:58:52.588 GMT+09:00","-0.7009472","0.9394831","1.7619889"
"2022-04-29 17:58:52.780 GMT+09:00","-0.46684003","-0.11071607","1.712663"
"2022-04-29 17:58:52.971 GMT+09:00","-0.26083177","-0.5891622","0.9933904"
"2022-04-29 17:58:53.164 GMT+09:00","-0.20600824","-0.45141613","0.25548688"
"2022-04-29 17:58:53.353 GMT+09:00","0.047493376","0.16844113","0.11560284"
"2022-04-29 17:58:53.545 GMT+09:00","-0.118198946","-0.16401249","-0.040163208"
"2022-04-29 17:58:53.737 GMT+09:00","0.2247918","-0.012064233","0.229984"
"2022-04-29 17:58:53.928 GMT+09:00","0.17607673","0.2947338","0.7631009"
"2022-04-29 17:58:54.120 GMT+09:00","-0.20173231","-0.123391144","0.28114244"
"2022-04-29 17:58:54.311 GMT+09:00","0.16141638","-0.6322269","0.014049487"
"2022-04-29 17:58:54.504 GMT+09:00","0.16126367","-0.3309265","0.044286426"
"2022-04-29 17:58:54.694 GMT+09:00","0.6424586","0.15744588","0.08994726"
"2022-04-29 17:58:54.888 GMT+09:00","0.2831277","0.3271087","0.099568106"
"2022-04-29 17:58:55.078 GMT+09:00","-0.031458635","0.10582929","0.10613471"
"2022-04-29 17:58:55.270 GMT+09:00","-0.2959555","-0.11209047","0.19287503"
"2022-04-29 17:58:55.461 GMT+09:00","0.22983128","0.21959959","0.29015246"
"2022-04-29 17:58:55.654 GMT+09:00","0.37780902","0.058641337","0.37261683"
"2022-04-29 17:58:55.845 GMT+09:00","-0.07482879","-0.39399648","0.13240114"
"2022-04-29 17:58:56.036 GMT+09:00","0.066124216","0.094528615","-0.07314896"
"2022-04-29 17:58:56.228 GMT+09:00","-7.635591E-4","-0.012064233","0.030542362"
"2022-04-29 17:58:56.420 GMT+09:00","-0.03787253","0.47081053","-0.06139015"
"2022-04-29 17:58:56.609 GMT+09:00","-0.11575556","0.12568182","-0.15362808"
"2022-04-29 17:58:56.802 GMT+09:00","0.18447587","-0.043370154","-0.05207473"
"2022-04-29 17:58:56.994 GMT+09:00","0.17775655","0.49432814","0.14415996"
"2022-04-29 17:58:57.185 GMT+09:00","0.3008423","0.0038177953","0.9982771"
"2022-04-29 17:58:57.376 GMT+09:00","0.09407048","-0.40407547","-0.22769332"
"2022-04-29 17:58:57.569 GMT+09:00","0.0132859275","-0.49463356","-0.22860959"
"2022-04-29 17:58:57.760 GMT+09:00","-0.38300124","-0.16401249","0.013744064"
"2022-04-29 17:58:57.950 GMT+09:00","0.013896775","0.15133741","-0.14049487"
"2022-04-29 17:58:58.142 GMT+09:00","0.1021642","-0.11438115","-0.055892523"
"2022-04-29 17:58:58.335 GMT+09:00","-0.092237934","0.10949437","0.09926268"
"2022-04-29 17:58:58.525 GMT+09:00","0.20173231","0.42194274","0.13453911"
"2022-04-29 17:58:58.716 GMT+09:00","-0.1873774","0.048409645","-0.1007898"
"2022-04-29 17:58:58.908 GMT+09:00","-0.6415423","-0.2637333","-0.5010475"
"2022-04-29 17:58:59.101 GMT+09:00","-0.45447037","-0.06383354","-0.6499415"
"2022-04-29 17:58:59.292 GMT+09:00","-0.34421244","-0.2881672","-0.5402944"
"2022-04-29 17:58:59.482 GMT+09:00","-0.5393781","0.22524993","-0.5969505"
"2022-04-29 17:58:59.674 GMT+09:00","-0.5873296","-0.018019995","-0.5868715"
"2022-04-29 17:58:59.868 GMT+09:00","-0.49997848","-0.19699824","-0.44637662"
"2022-04-29 17:59:00.057 GMT+09:00","-0.56106323","-0.21272756","-0.4743229"
"2022-04-29 17:59:00.249 GMT+09:00","-0.6250495","0.010231691","-0.7795938"
"2022-04-29 17:59:00.441 GMT+09:00","-0.8052494","-0.13805148","-0.8156338"
"2022-04-29 17:59:00.631 GMT+09:00","-0.81212145","-0.19027892","-0.6965186"
"2022-04-29 17:59:00.825 GMT+09:00","-0.9196305","-0.25380704","-0.37948886"
"2022-04-29 17:59:01.018 GMT+09:00","-0.51906747","0.0019852535","-0.45905173"
"2022-04-29 17:59:01.206 GMT+09:00","-0.009009997","0.2935121","-0.35093176"
"2022-04-29 17:59:01.397 GMT+09:00","-0.02107423","0.052991","0.07314896"
"2022-04-29 17:59:01.591 GMT+09:00","-0.01175881","-0.4344651","-0.060932014"
"2022-04-29 17:59:01.781 GMT+09:00","0.2560977","0.067498624","-0.25105822"
"2022-04-29 17:59:01.972 GMT+09:00","-0.15057385","0.62795097","0.07009472"
"2022-04-29 17:59:02.164 GMT+09:00","0.37689275","-0.19669282","0.13102673"
"2022-04-29 17:59:02.357 GMT+09:00","0.1317903","-0.24678229","0.114992"
"2022-04-29 17:59:02.547 GMT+09:00","-0.15149012","0.22127941","0.20921518"
"2022-04-29 17:59:02.739 GMT+09:00","-0.34161633","0.14797775","-0.10750912"
"2022-04-29 17:59:02.929 GMT+09:00","0.023823043","-0.3092414","-0.008551862"
"2022-04-29 17:59:03.122 GMT+09:00","-0.09910997","-0.47004697","-0.09529217"
"2022-04-29 17:59:03.313 GMT+09:00","-0.17607673","-0.03802524","0.08826743"
"2022-04-29 17:59:03.505 GMT+09:00","-0.12216945","0.2325801","-0.12507097"
"2022-04-29 17:59:03.697 GMT+09:00","-0.19745637","-0.04795151","-0.21104772"
"2022-04-29 17:59:03.887 GMT+09:00","-0.6342122","-0.18249062","-0.29885703"
"2022-04-29 17:59:04.078 GMT+09:00","-0.20921518","-0.19088978","-0.46821442"
"2022-04-29 17:59:04.270 GMT+09:00","-0.4121692","0.47890425","-0.21807247"
"2022-04-29 17:59:04.462 GMT+09:00","-0.13942589","-0.055739813","-0.13805148"
"2022-04-29 17:59:04.651 GMT+09:00","-0.086434886","-0.15469708","-0.1927223"
"2022-04-29 17:59:04.844 GMT+09:00","-0.15820944","0.15439165","-0.02687728"
"2022-04-29 17:59:05.036 GMT+09:00","0.0029015245","0.24510247","-0.26923093"
"2022-04-29 17:59:05.228 GMT+09:00","-0.3281777","-0.11880979","-0.22906773"
"2022-04-29 17:59:05.420 GMT+09:00","-0.06291727","-0.19959435","-0.23349637"
"2022-04-29 17:59:05.611 GMT+09:00","-0.00503949","0.11178505","-0.31764057"
"2022-04-29 17:59:05.803 GMT+09:00","-0.6531484","0.18019994","-0.20325942"
"2022-04-29 17:59:05.993 GMT+09:00","-0.22021043","0.028862532","-0.4304946"
"2022-04-29 17:59:06.186 GMT+09:00","-0.19119519","-0.2261662","-0.15164283"
"2022-04-29 17:59:06.377 GMT+09:00","0.1603474","-0.3310792","-0.046271678"
"2022-04-29 17:59:06.569 GMT+09:00","-0.6143596","0.3463504","-0.27350685"
"2022-04-29 17:59:06.761 GMT+09:00","-0.6757498","0.0035123718","-0.30572906"
"2022-04-29 17:59:06.952 GMT+09:00","-0.58900946","-0.18325418","-0.36818817"
"2022-04-29 17:59:07.142 GMT+09:00","-0.19043164","-0.19867808","-0.3865136"
"2022-04-29 17:59:07.333 GMT+09:00","-0.4989095","-0.103996746","-0.32206923"
"2022-04-29 17:59:07.526 GMT+09:00","-0.30175856","0.25380704","-0.35474956"
"2022-04-29 17:59:07.716 GMT+09:00","-0.15057385","-0.016187452","-0.33657685"
"2022-04-29 17:59:07.909 GMT+09:00","0.011606098","0.087962","-0.21623993"
"2022-04-29 17:59:08.101 GMT+09:00","-0.2664821","0.0021379655","-0.008399149"
"2022-04-29 17:59:08.292 GMT+09:00","-0.5945071","0.0022906773","-0.17821468"
"2022-04-29 17:59:08.482 GMT+09:00","-0.58900946","-0.2495311","-0.26296973"
"2022-04-29 17:59:08.674 GMT+09:00","-0.29381752","-0.1447708","-0.381016"
"2022-04-29 17:59:08.866 GMT+09:00","-0.3851392","-0.24876754","-0.09849912"
"2022-04-29 17:59:09.058 GMT+09:00","0.15668233","0.32359633","-0.06520794"
"2022-04-29 17:59:09.249 GMT+09:00","0.2417428","0.12751436","0.20280129"
