"time","x","y","z"
"2022-04-29 17:51:50.029 GMT+09:00","-2.4831517","6.094519","7.891529"
"2022-04-29 17:51:50.222 GMT+09:00","-1.9094725","5.4574304","6.963712"
"2022-04-29 17:51:50.414 GMT+09:00","-1.753939","5.6668024","7.82453"
"2022-04-29 17:51:50.604 GMT+09:00","-1.8568304","6.2416778","8.084749"
"2022-04-29 17:51:50.794 GMT+09:00","-1.5810575","6.0083776","8.429914"
"2022-04-29 17:51:50.986 GMT+09:00","-1.7766708","4.2885365","6.9744797"
"2022-04-29 17:51:51.179 GMT+09:00","-1.3441681","4.3519464","9.008977"
"2022-04-29 17:51:51.371 GMT+09:00","3.6915271","3.4271202","8.925827"
"2022-04-29 17:51:51.560 GMT+09:00","6.645467","1.9525433","7.5409803"
"2022-04-29 17:51:51.752 GMT+09:00","6.1196437","1.1593226","6.79442"
"2022-04-29 17:51:51.944 GMT+09:00","6.8105717","0.80518484","6.6741805"
"2022-04-29 17:51:52.136 GMT+09:00","7.5457664","0.5766702","6.622735"
"2022-04-29 17:51:52.327 GMT+09:00","7.5493555","0.3499503","6.9296145"
"2022-04-29 17:51:52.518 GMT+09:00","6.4331036","0.09571291","6.9481587"
"2022-04-29 17:51:52.709 GMT+09:00","5.77089","0.20279172","7.0678"
"2022-04-29 17:51:52.902 GMT+09:00","5.6745787","0.41934216","8.13799"
"2022-04-29 17:51:53.094 GMT+09:00","5.941977","1.2059826","8.437093"
"2022-04-29 17:51:53.286 GMT+09:00","5.3294144","1.9328024","7.9770727"
"2022-04-29 17:51:53.476 GMT+09:00","5.511867","0.29312077","7.6947193"
"2022-04-29 17:51:53.668 GMT+09:00","6.3972116","0.44027936","7.483553"
"2022-04-29 17:51:53.860 GMT+09:00","6.9499536","0.4564309","7.5385876"
"2022-04-29 17:51:54.051 GMT+09:00","6.597012","0.049052864","7.389036"
"2022-04-29 17:51:54.243 GMT+09:00","6.466005","-0.74835527","7.3340015"
"2022-04-29 17:51:54.434 GMT+09:00","6.945766","-0.39361933","6.7854466"
"2022-04-29 17:51:54.626 GMT+09:00","7.283154","0.5796613","6.5659056"
"2022-04-29 17:51:54.820 GMT+09:00","6.982855","1.1270195","6.268597"
"2022-04-29 17:51:55.010 GMT+09:00","7.299904","1.2023934","6.250651"
"2022-04-29 17:51:55.201 GMT+09:00","8.472386","1.0307083","5.7373905"
"2022-04-29 17:51:55.392 GMT+09:00","8.946166","1.082154","4.7730827"
"2022-04-29 17:51:55.585 GMT+09:00","7.60798","0.7082755","4.377669"
"2022-04-29 17:51:55.775 GMT+09:00","7.90469","-0.27816564","5.4873405"
"2022-04-29 17:51:55.967 GMT+09:00","8.238488","0.18305093","5.8037915"
"2022-04-29 17:51:56.157 GMT+09:00","8.907282","0.6125626","5.8061843"
"2022-04-29 17:51:56.350 GMT+09:00","6.99781","1.1264212","4.901099"
"2022-04-29 17:51:56.542 GMT+09:00","8.16431","0.9170493","5.523233"
"2022-04-29 17:51:56.734 GMT+09:00","8.111669","0.5521438","5.9551373"
"2022-04-29 17:51:56.922 GMT+09:00","8.742776","0.42891344","5.962914"
"2022-04-29 17:51:57.113 GMT+09:00","6.9858456","-0.037686955","5.4957156"
"2022-04-29 17:51:57.307 GMT+09:00","7.7001033","-0.31286156","5.7284174"
"2022-04-29 17:51:57.499 GMT+09:00","7.7258263","-0.17766708","5.7966127"
"2022-04-29 17:51:57.691 GMT+09:00","8.446664","0.2548356","5.6961145"
"2022-04-29 17:51:57.881 GMT+09:00","6.89432","1.1599208","5.6793647"
"2022-04-29 17:51:58.073 GMT+09:00","7.289136","0.509073","6.5928245"
"2022-04-29 17:51:58.265 GMT+09:00","7.6073813","0.93619186","7.305886"
"2022-04-29 17:51:58.458 GMT+09:00","7.5056863","1.2023934","7.100103"
"2022-04-29 17:51:58.646 GMT+09:00","6.2027946","0.63828546","6.329614"
"2022-04-29 17:51:58.837 GMT+09:00","6.5521464","-0.5300102","6.7902327"
"2022-04-29 17:51:59.030 GMT+09:00","6.875178","-0.15134603","7.7072816"
"2022-04-29 17:51:59.222 GMT+09:00","6.882356","-0.13160525","7.0809603"
"2022-04-29 17:51:59.414 GMT+09:00","7.643872","-0.018544376","6.6502523"
"2022-04-29 17:51:59.606 GMT+09:00","5.5112686","0.6646065","6.9499536"
"2022-04-29 17:51:59.796 GMT+09:00","6.921838","0.293719","7.493124"
"2022-04-29 17:51:59.988 GMT+09:00","6.641279","0.82731843","7.0863442"
"2022-04-29 17:52:00.180 GMT+09:00","6.6855464","1.0570294","7.69113"
"2022-04-29 17:52:00.371 GMT+09:00","5.6961145","1.0660025","6.9595246"
"2022-04-29 17:52:00.562 GMT+09:00","7.678568","-0.8955139","6.174081"
"2022-04-29 17:52:00.753 GMT+09:00","6.853044","0.95712906","7.2101727"
"2022-04-29 17:52:00.945 GMT+09:00","7.810173","1.0019945","6.7316084"
"2022-04-29 17:52:01.137 GMT+09:00","7.1880393","0.8033902","5.9437714"
"2022-04-29 17:52:01.330 GMT+09:00","7.3286176","1.146162","5.580661"
"2022-04-29 17:52:01.519 GMT+09:00","7.793423","1.0342976","5.791229"
"2022-04-29 17:52:01.709 GMT+09:00","7.913663","1.2293127","5.9318075"
"2022-04-29 17:52:01.902 GMT+09:00","8.016554","0.67178494","6.34098"
