"time","data"
"2022-04-29 17:55:21.473 GMT+09:00","3.5662498"
"2022-04-29 17:55:23.697 GMT+09:00","3.705"
"2022-04-29 17:55:23.800 GMT+09:00","3.9275"
"2022-04-29 17:55:24.522 GMT+09:00","4.9224997"
"2022-04-29 17:55:24.625 GMT+09:00","4.0625"
"2022-04-29 17:55:24.730 GMT+09:00","3.93375"
"2022-04-29 17:55:24.937 GMT+09:00","4.61125"
"2022-04-29 17:55:25.555 GMT+09:00","4.8849998"
"2022-04-29 17:55:25.762 GMT+09:00","5.315"
"2022-04-29 17:55:26.278 GMT+09:00","5.8312497"
"2022-04-29 17:55:26.486 GMT+09:00","6.34625"
"2022-04-29 17:55:26.692 GMT+09:00","7.1099997"
"2022-04-29 17:55:27.002 GMT+09:00","7.7324996"
"2022-04-29 17:55:27.309 GMT+09:00","8.66125"
"2022-04-29 17:55:27.621 GMT+09:00","9.58125"
"2022-04-29 17:55:27.827 GMT+09:00","10.688749"
"2022-04-29 17:55:28.139 GMT+09:00","11.7074995"
"2022-04-29 17:55:28.345 GMT+09:00","13.4574995"
"2022-04-29 17:55:28.450 GMT+09:00","14.88875"
"2022-04-29 17:55:28.655 GMT+09:00","16.75125"
"2022-04-29 17:55:29.066 GMT+09:00","18.375"
"2022-04-29 17:55:29.171 GMT+09:00","19.984999"
"2022-04-29 17:55:29.378 GMT+09:00","22.8025"
"2022-04-29 17:55:29.584 GMT+09:00","25.252499"
"2022-04-29 17:55:29.790 GMT+09:00","28.46"
"2022-04-29 17:55:29.998 GMT+09:00","33.01875"
"2022-04-29 17:55:30.102 GMT+09:00","36.22125"
"2022-04-29 17:55:30.207 GMT+09:00","40.175"
"2022-04-29 17:55:30.413 GMT+09:00","48.03125"
"2022-04-29 17:55:30.515 GMT+09:00","54.348747"
"2022-04-29 17:55:30.619 GMT+09:00","60.2525"
"2022-04-29 17:55:30.724 GMT+09:00","67.32875"
"2022-04-29 17:55:30.826 GMT+09:00","75.3325"
"2022-04-29 17:55:30.931 GMT+09:00","82.6725"
"2022-04-29 17:55:31.241 GMT+09:00","92.31875"
"2022-04-29 17:55:31.549 GMT+09:00","105.96625"
"2022-04-29 17:55:31.860 GMT+09:00","118.96125"
"2022-04-29 17:55:32.582 GMT+09:00","108.4825"
"2022-04-29 17:55:34.544 GMT+09:00","97.825"
"2022-04-29 17:55:34.854 GMT+09:00","86.65625"
"2022-04-29 17:55:35.061 GMT+09:00","75.3375"
"2022-04-29 17:55:35.162 GMT+09:00","68.042496"
"2022-04-29 17:55:35.265 GMT+09:00","61.45125"
"2022-04-29 17:55:35.370 GMT+09:00","54.83875"
"2022-04-29 17:55:35.472 GMT+09:00","48.805"
"2022-04-29 17:55:35.577 GMT+09:00","44.2025"
"2022-04-29 17:55:35.681 GMT+09:00","40.204998"
"2022-04-29 17:55:35.889 GMT+09:00","34.665"
"2022-04-29 17:55:36.094 GMT+09:00","30.102499"
"2022-04-29 17:55:36.301 GMT+09:00","25.715"
"2022-04-29 17:55:36.404 GMT+09:00","21.824999"
"2022-04-29 17:55:36.507 GMT+09:00","18.685"
"2022-04-29 17:55:36.612 GMT+09:00","16.635"
"2022-04-29 17:55:36.715 GMT+09:00","15.023749"
"2022-04-29 17:55:37.130 GMT+09:00","12.987499"
"2022-04-29 17:55:37.333 GMT+09:00","11.62875"
"2022-04-29 17:55:37.540 GMT+09:00","9.83875"
"2022-04-29 17:55:37.644 GMT+09:00","8.653749"
"2022-04-29 17:55:37.747 GMT+09:00","7.5587497"
"2022-04-29 17:55:37.852 GMT+09:00","6.46375"
"2022-04-29 17:55:38.058 GMT+09:00","5.53125"
"2022-04-29 17:55:38.779 GMT+09:00","5.015"
"2022-04-29 17:55:39.193 GMT+09:00","4.4275"
"2022-04-29 17:55:39.502 GMT+09:00","3.8349998"
"2022-04-29 17:55:39.707 GMT+09:00","3.32"
"2022-04-29 17:55:40.533 GMT+09:00","3.6599998"
"2022-04-29 17:55:40.844 GMT+09:00","4.2574997"
"2022-04-29 17:55:40.947 GMT+09:00","5.3525"
"2022-04-29 17:55:41.050 GMT+09:00","6.36625"
"2022-04-29 17:55:41.152 GMT+09:00","7.71625"
"2022-04-29 17:55:41.359 GMT+09:00","6.94875"
"2022-04-29 17:55:41.463 GMT+09:00","6.025"
"2022-04-29 17:55:41.570 GMT+09:00","4.4275"
"2022-04-29 17:55:41.669 GMT+09:00","3.32"
"2022-04-29 17:55:41.774 GMT+09:00","2.73125"
"2022-04-29 17:55:42.703 GMT+09:00","4.75125"
"2022-04-29 17:55:42.807 GMT+09:00","5.75625"
"2022-04-29 17:55:43.219 GMT+09:00","4.325"
"2022-04-29 17:55:43.323 GMT+09:00","3.48625"
"2022-04-29 17:55:43.426 GMT+09:00","2.7224998"
"2022-04-29 17:55:43.532 GMT+09:00","2.38625"
"2022-04-29 17:55:44.767 GMT+09:00","2.6425"
"2022-04-29 17:55:45.075 GMT+09:00","3.39625"
"2022-04-29 17:55:45.179 GMT+09:00","4.67"
"2022-04-29 17:55:45.284 GMT+09:00","5.1949997"
"2022-04-29 17:55:45.491 GMT+09:00","4.00125"
"2022-04-29 17:55:45.591 GMT+09:00","3.5662498"
"2022-04-29 17:55:45.800 GMT+09:00","3.06875"
"2022-04-29 17:55:46.317 GMT+09:00","2.80875"
"2022-04-29 17:55:47.657 GMT+09:00","3.0725"
"2022-04-29 17:55:48.273 GMT+09:00","3.41375"
"2022-04-29 17:55:48.791 GMT+09:00","3.7549999"
"2022-04-29 17:55:50.029 GMT+09:00","4.1725"
"2022-04-29 17:55:51.989 GMT+09:00","4.13625"
"2022-04-29 17:55:54.673 GMT+09:00","3.4724998"
"2022-04-29 17:55:55.088 GMT+09:00","4.455"
"2022-04-29 17:55:55.190 GMT+09:00","5.8912497"
"2022-04-29 17:55:55.398 GMT+09:00","7.07125"
"2022-04-29 17:55:55.605 GMT+09:00","4.89"
"2022-04-29 17:55:55.706 GMT+09:00","4.0425"
"2022-04-29 17:55:56.019 GMT+09:00","3.6299999"
"2022-04-29 17:55:56.430 GMT+09:00","3.885"
"2022-04-29 17:55:57.566 GMT+09:00","4.3075"
"2022-04-29 17:55:58.702 GMT+09:00","4.34625"
"2022-04-29 17:55:59.010 GMT+09:00","4.78625"
"2022-04-29 17:55:59.629 GMT+09:00","5.2974997"
"2022-04-29 17:56:00.251 GMT+09:00","5.8174996"
"2022-04-29 17:56:00.559 GMT+09:00","6.3287497"
"2022-04-29 17:56:00.767 GMT+09:00","6.8575"
"2022-04-29 17:56:00.975 GMT+09:00","7.9525"
"2022-04-29 17:56:01.696 GMT+09:00","9.04375"
"2022-04-29 17:56:02.007 GMT+09:00","10.295"
"2022-04-29 17:56:02.314 GMT+09:00","11.07125"
"2022-04-29 17:56:02.523 GMT+09:00","12.01375"
"2022-04-29 17:56:02.730 GMT+09:00","13.53875"
"2022-04-29 17:56:02.937 GMT+09:00","14.80375"
"2022-04-29 17:56:03.245 GMT+09:00","16.328749"
"2022-04-29 17:56:03.452 GMT+09:00","18.262499"
"2022-04-29 17:56:03.759 GMT+09:00","20.39875"
"2022-04-29 17:56:03.968 GMT+09:00","23.18875"
"2022-04-29 17:56:04.172 GMT+09:00","25.98375"
"2022-04-29 17:56:04.382 GMT+09:00","28.2675"
"2022-04-29 17:56:04.693 GMT+09:00","31.807499"
"2022-04-29 17:56:04.897 GMT+09:00","34.675"
"2022-04-29 17:56:05.105 GMT+09:00","37.32125"
"2022-04-29 17:56:05.312 GMT+09:00","41.71375"
"2022-04-29 17:56:05.518 GMT+09:00","48.5375"
"2022-04-29 17:56:05.623 GMT+09:00","53.423748"
"2022-04-29 17:56:05.726 GMT+09:00","58.969997"
"2022-04-29 17:56:05.935 GMT+09:00","68.755"
"2022-04-29 17:56:06.140 GMT+09:00","75.84375"
"2022-04-29 17:56:06.345 GMT+09:00","84.1225"
"2022-04-29 17:56:06.661 GMT+09:00","91.24125"
"2022-04-29 17:56:07.072 GMT+09:00","103.74125"
"2022-04-29 17:56:07.379 GMT+09:00","114.689995"
"2022-04-29 17:56:07.790 GMT+09:00","124.98125"
"2022-04-29 17:56:08.412 GMT+09:00","114.493744"
"2022-04-29 17:56:09.339 GMT+09:00","123.63125"
"2022-04-29 17:56:10.068 GMT+09:00","114.174995"
"2022-04-29 17:56:10.579 GMT+09:00","99.95125"
"2022-04-29 17:56:10.787 GMT+09:00","90.865"
"2022-04-29 17:56:10.993 GMT+09:00","78.728745"
"2022-04-29 17:56:11.095 GMT+09:00","71.725"
"2022-04-29 17:56:11.303 GMT+09:00","62.039997"
"2022-04-29 17:56:11.406 GMT+09:00","56.606247"
"2022-04-29 17:56:11.615 GMT+09:00","49.3125"
"2022-04-29 17:56:11.924 GMT+09:00","44.62875"
"2022-04-29 17:56:12.232 GMT+09:00","40.30375"
"2022-04-29 17:56:12.442 GMT+09:00","32.745"
"2022-04-29 17:56:12.545 GMT+09:00","29.945"
"2022-04-29 17:56:12.748 GMT+09:00","26.31625"
"2022-04-29 17:56:12.955 GMT+09:00","22.84375"
"2022-04-29 17:56:13.166 GMT+09:00","19.2725"
"2022-04-29 17:56:13.265 GMT+09:00","17.15"
"2022-04-29 17:56:13.577 GMT+09:00","15.61625"
"2022-04-29 17:56:13.888 GMT+09:00","14.086249"
"2022-04-29 17:56:13.989 GMT+09:00","12.893749"
"2022-04-29 17:56:14.093 GMT+09:00","11.5425"
"2022-04-29 17:56:14.198 GMT+09:00","10.2775"
"2022-04-29 17:56:15.538 GMT+09:00","8.93625"
"2022-04-29 17:56:15.643 GMT+09:00","8.0075"
"2022-04-29 17:56:15.849 GMT+09:00","7.16"
"2022-04-29 17:56:16.054 GMT+09:00","6.06"
"2022-04-29 17:56:16.363 GMT+09:00","5.2125"
"2022-04-29 17:56:17.292 GMT+09:00","4.6025"
"2022-04-29 17:56:17.395 GMT+09:00","3.9199998"
"2022-04-29 17:56:17.706 GMT+09:00","3.49875"
"2022-04-29 17:56:18.224 GMT+09:00","4.00125"
"2022-04-29 17:56:18.326 GMT+09:00","4.4275"
"2022-04-29 17:56:18.428 GMT+09:00","4.935"
"2022-04-29 17:56:18.532 GMT+09:00","5.6037498"
"2022-04-29 17:56:18.742 GMT+09:00","6.375"
"2022-04-29 17:56:18.946 GMT+09:00","5.4375"
"2022-04-29 17:56:19.050 GMT+09:00","4.3375"
"2022-04-29 17:56:19.153 GMT+09:00","3.41375"
"2022-04-29 17:56:19.358 GMT+09:00","2.9875"
"2022-04-29 17:56:20.598 GMT+09:00","3.32375"
"2022-04-29 17:56:20.700 GMT+09:00","3.91625"
